 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-06-30,2004-12-31, 
 支付利息、手续费及佣金的现金(万元),13041300,9973400,6709600,3027700,11777500,8246900,5533000,2488400,9298700,6949100,4769000,2333600,11078800,8813700,5778900,3144000,10440100,7582200,5068900,2520700,8179000,5968100,3793900,1800800,7127500,5399708,3621543,1779631,5103508,3401782,1954061,881064,2452514,1670365,1023164,588845,2601602,1902152,1276483,715196,1963490,1564337,917867,609992,1245981,913056,553699,220622,999977,724928,472217,202423,635861,303161,488640, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2238200,1541300,985900,554000,2201400,1386000,945300,521100,2110700,1219900,819400,454300,1925500,1117600,765300,453200,1788300,1031600,710000,396300,1674300,956800,668100,411600,1402900,788523,561458,342071,1218102,670630,451242,261472,1047012,560809,385848,222480,789348,491274,324224,159362,744035,403610,281677,210056,350153,216409,198596,121604,238153,143103,99520,32372,133426,99532,126821, 
 支付的各项税费(万元),3010500,2255200,1656200,676500,3055700,2310000,1576600,655600,3229800,2499600,1916000,701900,2760400,2120400,1551000,744100,2477900,2051600,1448300,719400,1992400,1672100,1172100,524400,1647200,1408662,995477,388779,1185087,941970,619652,250480,835768,595328,372046,161083,748503,571575,381630,209264,661955,575009,438216,75065,526176,592213,313256,80018,409701,354091,261275,78539,314158,121460,208977, 
 支付的其他与经营活动有关的现金(万元),1146000,5139700,1921500,1740800,3872900,3867300,3014100,3480800,2586300,1719900,1415000,600300,3670800,3667700,3823200,2575600,2442200,1472800,915700,1214100,1042400,1092500,609800,1281300,1800800,3553035,1617715,939638,703360,2216965,1799662,1099614,592718,960037,1065424,856047,2118991,2088062,1831765,1042278,445910,1466169,267244,713563,587333,293279,245103,--,340913,280874,1625849,--,--,--,--, 
 经营活动现金流出小计(万元),77016000,73968800,37772800,19418700,68914200,54897000,48263600,36232100,91871700,61198800,41188500,24664800,46289900,34313800,29459800,22698200,48245800,36696700,34529900,23776900,37567800,33253000,22298200,20857500,48438100,48876549,39661334,12027620,39223431,36712596,33283308,10049479,25515361,16100928,11549624,7836458,39707160,33524820,37024670,22768157,23316673,16040186,11988160,5818507,16745976,12491787,9306923,572738,11776216,9141068,8213223,443322,1595407,713654,7264318, 
 经营活动产生的现金流量净额(万元),-33836000,-36207900,-11809500,-4872500,-14067300,-9838400,-25602600,-20097000,-19199300,-14979500,-13404900,-10158000,35882000,29464300,21069300,-8138900,19115800,5006900,-3038400,-7954900,30840600,27243200,25136700,10042200,9257800,3176655,2098967,7686269,19865578,4067807,975130,4010131,-550700,-2018296,-2781711,-7442253,10348189,4079309,674321,3350421,10550400,6193611,2183609,-473447,5542678,5294763,2721950,264577,1887227,-1639101,-921985,185058,708277,369427,2175693, 
 收回投资所收到的现金(万元),167302800,365666000,281215200,97229800,474019200,398191000,350309100,119057100,515805800,264248900,88635600,48367500,79297900,122749000,59245800,65299100,43935800,52781500,25438400,39480700,43708800,33949900,13530400,8744200,17023700,21041127,14722399,2856678,23359315,15054422,8913926,5657138,47429750,40468764,18138871,8515045,18558153,15958966,9477593,3643570,6417505,4633533,3575905,1995862,3360923,1720816,1280955,--,1080753,--,578117,--,--,--,3601, 
 取得投资收益所收到的现金(万元),7636300,6547600,4479100,1916100,6644100,7337800,5370100,1832400,6215200,6314400,5142000,2305800,3481200,5432800,3472200,1781300,3942500,4106200,1855800,1107100,3601600,2334600,1389500,520700,1434800,877056,454585,--,4951,2380,412395,--,4873,4915,2538,0,2895,2896,2897,0,3702,3535,3535,--,1971,1779,1779,--,2279,2304,1705,--,2198,1763,1535, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,34,--,--,--,--,1168,629,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,77900,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),8800,15300,900,3400,15100,6100,3500,10000,2300,1400,1000,500,9600,19100,8700,--,1600,1500,500,400,1600,5100,700,600,2300,2651,561,302,7067,12207,4776,5613,3558,9117,199,7583,882,2103,241,690,2400,1753,410,229,5325,880,661,--,1188,256,189,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),174947900,372228900,285695200,99149300,480678400,405534900,355682700,120899500,522101200,270642600,93856500,50751700,82788700,128200900,62726700,67081100,47879900,56889200,27294700,40588200,47312000,36289600,14920600,9265500,18460800,21920834,15177545,2856981,23371333,15069009,9331097,5662751,47438181,40482796,18141608,8522629,18561930,15963965,9480731,3644259,6423607,4638821,3579850,1996091,3368220,1723475,1283395,34,1084220,2560,580011,--,3366,2392,5136, 
