 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-09-30,2005-06-30, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3100,--,--,--,31800,16900,5000,0,--,--,0,--,--,0,0,0,45400,45400,45400,0,--,0,--,--,0,--, 
 筹资活动现金流出小计(万元),5644700,3910900,738900,556100,6149000,5627000,2561900,2218400,2772000,18891800,8988700,5374600,10196600,5903100,5417200,3222000,8784500,6190000,2587900,2553500,3702600,3467000,1040700,1032700,2264600,2115800,1624100,1001500,320300,310800,100700,99600,1591100,1013600,600500,104600,2385700,1895500,470200,109700,1513000,1022400,1003100,100400,634300,631300,96000,0,225500,227300,49700,--,0,--, 
 筹资活动产生的现金流量净额(万元),-1347600,-1208200,1479200,387100,3048200,679500,3244600,-261700,7786500,18163400,10244500,3121300,7695900,4268000,-334000,-70900,4369800,2835700,2062400,807400,605700,-424500,613000,520200,4467000,4602300,-951200,-485900,2674100,-308700,-98600,-99600,1889800,2467300,1130600,-97300,109800,600000,-470200,-109700,-1211900,-721100,-1003100,-100400,4399100,4402100,4919400,2499700,-225500,-227300,-49700,--,1692900,1458600, 
 汇率变动对现金及现金等价物的影响(万元),429700,281100,93100,-304100,-572700,-461100,-391100,-97200,797500,260300,192700,-41400,511700,382000,-5800,21000,17000,94400,52000,48300,-195200,-153300,-142100,-40900,7800,10900,-15200,31300,-90400,-34900,-14200,-8100,-154200,-126600,-93300,-4800,10800,-3000,-1300,600,-72900,-75500,-70000,-44900,-51600,-44900,-52400,-5500,-32100,-25700,2600,-9500,0,--, 
 现金及现金等价物净增加额(万元),1457300,-3159600,2213000,-3482900,-8747700,-8260300,-1648900,-740600,-1403900,-8318700,3096800,-9586100,1680900,2159800,18016300,-656800,7023200,3463200,1000200,-4986200,-2820400,1052600,-2062800,-2521500,6196300,4256900,16180600,1559000,5273600,5250200,1540400,-2668400,-1159900,-4526600,-3900400,-6632500,-5723400,-8147400,-4447200,-2405300,12982000,2478800,-191100,116700,-8981000,4080100,-3165800,-7052800,8384100,-1255300,737000,-1155000,1382500,2639800, 
 加:期初现金及现金等价物余额(万元),22891900,22891900,22891900,22891900,31639600,31639600,31639600,31639600,33043500,33043500,33043500,33043500,31362600,31362600,31362600,31362600,24339400,24339400,24339400,24339400,27159800,27159800,27159800,27159800,20963500,20963500,20963500,20963500,15689900,15689900,15689900,15689900,16849800,16849800,16849800,16849800,22573200,22573200,22573200,22573200,9591200,9591200,9591200,9591200,18572200,18572200,18572200,18572300,10113200,10116900,--,10130500,7575700,7575700, 
 期末现金及现金等价物余额(万元),24349200,19732300,25104900,19409000,22891900,23379300,29990700,30899000,31639600,24724800,36140300,23457400,33043500,33522400,49378900,30705800,31362600,27802600,25339600,19353200,24339400,28212400,25097000,24638300,27159800,25220400,37144100,22522500,20963500,20940100,17230300,13021500,15689900,12323200,12949400,10217300,16849800,14425800,18126000,20167900,22573200,12070000,9400100,9707900,9591200,22652300,15406400,11519500,18497300,8861600,--,8975500,8958200,10215500, 
 净利润(万元),7416500,--,4099400,--,7069100,--,3922200,--,6765100,--,3792300,--,6683100,--,3750600,--,6603500,--,3689500,--,6246100,--,3491800,--,5847600,--,3114000,--,5081700,--,2644800,--,3917200,--,2042800,0,3021100,--,1563500,--,2852000,0,1559300,0,2051300,--,898100,720000,1266900,0,925700,418600,1018500,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,12800,--,--,0,--,0,--,--,0,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 资产减值准备(万元),4351400,--,1666600,--,3146900,--,1494200,--,3021200,--,1516800,--,2891400,--,1204500,--,2286600,--,1108200,--,1915800,--,876400,--,1518700,--,767300,--,1269200,0,595200,0,1253300,0,539100,0,1089600,--,438500,--,1183500,0,412800,0,745800,--,292900,108200,755500,0,241200,120700,321500,234500, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1025000,--,495800,--,931500,--,449800,--,793900,--,378600,--,720000,--,307800,--,501800,--,256100,--,436400,--,206600,--,361600,--,179200,--,342300,--,165400,--,330700,--,148500,0,288000,--,133400,--,250700,0,122400,0,231400,--,114900,63800,234900,0,124000,61200,180500,120400, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,15900,--,30000,--,14100,--,27100,--,13500,--,35200,--,11500,--,22100,--,10600,--,29000,--,13500,0,26100,--,13100,--,24000,0,12100,0,25000,--,12200,5800,12300,0,6200,3100,8000,5200, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43500,--,21300,--,54500,--,24400,--,52800,--,24100,--,49800,--,22800,--,47100,--,19500,0,36400,--,14100,--,32200,0,14200,0,35100,--,18000,3600,25500,0,9900,12800,2600,10300, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-1500,--,-1100,--,-12300,--,-1900,--,-6500,--,-1300,--,-15300,--,-11000,--,-18500,--,-6900,--,-4100,--,100,--,-8800,--,--,--,-12900,--,-6500,--,-3900,--,2800,0,-1500,--,1600,--,3000,0,500,0,1600,--,-1000,-500,-17200,0,-3700,-4300,-8700,-1500, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 公允价值变动损失(万元),-652700,--,-505200,--,575600,--,-3900,--,222300,--,-72400,--,3200,--,46000,--,-406300,--,-427100,--,196500,--,37400,--,72500,--,-7600,--,-80200,--,18300,--,7100,--,29500,0,-33400,--,-23900,--,-32900,0,37200,0,78900,--,58300,0,15500,0,--,--,0,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 财务费用(万元),-7345700,--,-3571300,--,-6982700,--,-3424800,--,-5919700,--,-2578100,--,-4205000,--,-1917400,--,-3606400,--,-1901200,--,-3142100,--,-1450600,--,-2667500,--,164200,--,-2501800,--,-1224700,--,-2258000,--,-1051400,0,-2120500,--,-1024600,--,-2220400,0,-1046700,0,-1528800,--,--,20700,--,0,28100,14200,41300,27700, 
 投资损失(万元),-51700,--,-15700,--,-321600,--,-270600,--,-117500,--,-55700,--,-164300,--,-98700,--,-36500,--,-21100,--,-30300,--,-16600,--,-41300,--,-3900,--,-19200,--,-20500,--,-61600,--,-19200,0,-87900,--,-93100,--,-56600,0,-69600,0,-125900,--,-725800,-12300,-1004100,0,-1900,1700,-37700,-42600, 
 递延所得税资产减少(万元),395200,--,-35100,--,-388900,--,-376400,--,428100,--,112000,--,-60600,--,14100,--,114700,--,281500,--,-341100,--,-74200,--,-444100,--,-272400,--,-63200,--,14600,--,-96400,--,-700,0,-105800,--,27800,--,-92300,0,96000,0,71300,--,144900,0,-199800,0,--,--,0,--, 
 递延所得税负债增加(万元),7800,--,7800,--,37500,--,3000,--,400,--,1100,--,8800,--,10600,--,1400,--,-900,--,1300,--,3800,--,-3900,--,-1900,--,4500,--,2600,--,-600,--,4000,0,-3200,--,-4800,--,-3000,0,1700,0,4400,--,500,0,700,0,--,--,0,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 经营性应收项目的减少(万元),-43915000,--,-24177000,--,-62836700,--,-35133600,--,-48990800,--,-50821700,--,-45653200,--,-48666600,--,-64662200,--,-33998900,--,-52007800,--,-36119800,--,-52101800,--,-34596300,--,-62089500,--,-38201300,--,-63630200,--,-40537400,0,-54874900,--,-50875600,--,-37989800,0,-27670700,0,-31480100,--,-37610400,0,28663500,0,--,--,0,--, 
 经营性应付项目的增加(万元),51127500,--,29888300,--,59132900,--,37358400,--,91924400,--,69867600,--,77683400,--,80866700,--,64270100,--,30023900,--,60690500,--,39710700,--,55129400,--,51728300,--,57956100,--,37020700,--,58112200,--,36522900,0,60195200,--,59809500,--,55382700,0,31722400,0,31978800,--,35904900,0,-13469400,0,--,--,0,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-28700,0,--,--,0,--,--,0,0,0,--,--,--,-3500,--,0,--,--,0,--, 
 经营活动产生现金流量净额(万元),12389200,--,7620700,--,1072700,--,4615000,--,48506600,--,22600200,--,37912200,--,35594700,--,4971500,--,-1024100,--,13918300,--,6632800,--,7660400,--,19635200,--,-114600,--,1042000,--,-2416700,--,-2314800,0,7374700,--,9979500,--,19333100,0,5191600,0,2101800,--,-892500,-5081700,16284300,0,5940400,489700,3275300,910900, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 现金的期末余额(万元),24349200,19732300,25104900,19409000,22891900,23379300,29990700,30899000,31639600,24724800,36140300,23457400,33043500,33522400,49378900,30705800,31362600,27802600,25339600,19353200,24339400,28212400,25097000,24638300,27159800,25220400,37144100,22522500,20963500,20940100,17230300,13021500,15689900,12323200,12949400,10217300,16849800,14425800,18126000,20167900,22573200,12070000,9400100,9707900,9591200,22652300,15406400,11519500,18497300,8861600,--,8994500,8958200,10215500, 
 现金的期初余额(万元),22891900,22891900,22891900,22891900,31639600,31639600,31639600,31639600,33043500,33043500,33043500,33043500,31362600,31362600,31362600,31362600,24339400,24339400,24339400,24339400,27159800,27159800,27159800,27159800,20963500,20963500,20963500,20963500,15689900,15689900,15689900,15689900,16849800,16849800,16849800,16849800,22573200,22573200,22573200,22573200,9591200,9591200,9591200,9591200,18572200,18572200,18572200,18572300,10113200,10116900,--,10130500,7575700,7575700, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,0,--,--,--,0,--,0,--,--,0,--, 
 现金及现金等价物的净增加额(万元),1457300,-3159600,2213000,-3482900,-8747700,-8260300,-1648900,-740600,-1403900,-8318700,3096800,-9586100,1680900,2159800,18016300,-656800,7023200,3463200,1000200,-4986200,-2820400,1052600,-2062800,-2521500,6196300,4256900,16180600,1559000,5273600,5250200,1540400,-2668400,-1159900,-4526600,-3900400,-6632500,-5723400,-8147400,-4447200,-2405300,12982000,2478800,-191100,116700,-8981000,4080100,-3165800,-7052800,8384100,-1255300,--,-1136000,1382500,2639800, 

