 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-06-30,2004-12-31,2003-12-31, 
 分配股利、利润或偿付利息所支付的现金(万元),7803600,6585900,621300,1262200,7641200,6636600,690300,324800,7589300,6563500,4517000,373600,7588800,6563900,529300,337300,6688500,6493700,4450600,228900,6053100,5916600,662300,232400,5329000,5315000,1792400,206700,4917800,4911000,3531800,225900,4222600,4218200,3894900,156000,3729400,3667200,185500,167400,3229000,3150000,348900,22400,1373800,1352400,328500,20900,754000,693100,464500,138300,2989100,163700,254500,117600, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15300,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,4900,--,7000,900,74700,15900,15900,--,22100,3500,8100,--,--,100,1000,1400,1300,--,8900,1400,--,--,800,4400,--,--,0,--,11700,2300,1700,0,54800,39300,49900,0,1600,1800,--,--,--,2000,--,0,--,26100,23800,0,--,--,--,0, 
 筹资活动现金流出小计(万元),45548200,38172000,21222900,3885400,52335700,34084400,9478400,4885100,16020000,10814600,8041200,2111100,16975200,14539100,6589200,3668400,16148800,14150300,8370700,2156400,12592900,10677400,3675800,1332800,6863200,5779000,1819300,226700,4997100,4986800,3531800,225900,6927100,6713500,6389600,2649000,6651800,5367200,315200,227000,3440900,3151800,348900,165200,1672100,1572100,328500,167300,795300,719200,488300,147800,3137600,165200,628900,131600, 
 筹资活动产生的现金流量净额(万元),22933700,8892600,3180300,6577000,6558400,6424000,6706600,1681700,-171300,885700,-2287700,672000,-2871500,-2506900,3157400,2686500,8355500,-685700,-1597000,907500,-4962100,-5768700,-902100,-48800,-2509200,-4164600,-1700300,-211500,-1296000,-1770100,-326100,-219700,7602900,1468700,1768100,928300,-2645200,-1363700,-313500,-225300,-3116100,-2888700,-277100,-122200,-1227500,-1210100,-284100,-154500,10934200,11024900,11262600,856300,2957200,3228300,1979600,16093400, 
 汇率变动对现金及现金等价物的影响(万元),2064600,2364700,375100,-1352400,-2712500,-1797700,-741300,187900,3318700,2263900,1815800,216300,1782700,763500,-729300,-811800,-1228900,-303600,534500,374800,-2278700,-1818200,-1763600,-1032600,-137100,374900,-194100,106700,-917400,-596300,1900,78800,-703100,-403500,-576800,-192100,837300,915500,420400,-696300,-2617600,-2456200,-2018800,-1213800,-2276500,-1217000,-1044500,-393400,-810500,-304300,-106800,-177000,-1006000,-415900,55700,682300, 
 现金及现金等价物净增加额(万元),72984800,45218500,26575000,34595000,-6049500,4068400,36970100,25433700,-3283100,-18611300,4157500,-11066700,-9607300,-12938500,20701500,29141800,-241500,35903200,41216500,43951400,7828300,-15293900,-24512700,-6553100,5491500,6339100,45558100,52278300,24799700,29370600,10847800,31161400,18305200,12277700,10755400,27213000,-33508800,-36218500,-13138200,14428000,39247000,10384000,-5590100,-1035500,899300,-3853500,-2992800,-643300,12283200,1799000,-763900,-2316700,3097000,4881400,-8280800,12032400, 
 加:期初现金及现金等价物余额(万元),95875200,95875200,95875200,95875200,101924700,101924700,101924700,101924700,105207800,105207800,105207800,105207800,114815100,114815100,114815100,114815100,115056600,115056600,115056600,115056600,107228300,107228300,107228300,107228300,101736800,101736800,101736800,101736800,76937100,76937100,76937100,76937100,58631900,58631900,58631900,58631900,92140700,92140700,92140700,92140700,52893700,52893700,52893700,52893700,51994400,51994400,51994400,51994400,39711200,39711200,39711200,39711200,36614200,36614200,44895000,32862600, 
 期末现金及现金等价物余额(万元),168860000,141093700,122450200,130470200,95875200,105993100,138894800,127358400,101924700,86596500,109365300,94141100,105207800,101876600,135516600,143956900,114815100,150959800,156273100,159008000,115056600,91934400,82715600,100675200,107228300,108075900,147294900,154015100,101736800,106307700,87784900,108098500,76937100,70909600,69387300,85844900,58631900,55922200,79002500,106568700,92140700,63277700,47303600,51858200,52893700,48140900,49001600,51351100,51994400,41510200,38947300,37394500,39711200,41495600,36614200,44895000, 
 净利润(万元),19243500,--,11557500,--,18498600,--,11054900,--,18405100,--,10730800,--,17941700,--,9498600,--,17719800,--,9340900,--,16374100,--,8417200,--,14552200,--,7500200,--,13031900,--,7013300,--,10969100,--,5437500,0,8534900,--,4323400,0,6507300,--,4450100,--,6201700,--,2988700,0,4805800,--,1934700,0,2749200,1643400,2093200,2870700, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,283900,0,--,--,277400,0,510500,228400,431400,319000, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 资产减值准备(万元),9929400,--,2827000,--,8816100,--,2696000,--,8907200,--,4994600,--,5927400,--,2857600,--,4838100,--,2778200,--,2351000,--,1414200,--,1938700,--,923700,--,1935500,0,1228700,0,1299300,0,995100,0,1498700,0,1008100,0,4503100,--,1714400,--,2051500,--,641000,0,1238800,--,589700,0,1098500,457600,2379700,1643200, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1340300,--,652600,--,1361100,--,658400,--,1289800,--,629600,--,1285000,--,636200,--,1277500,--,634300,--,1300800,--,642700,--,1175700,--,577600,--,1030100,--,509100,--,868400,--,424400,0,722600,--,349500,0,625900,--,297400,--,557200,--,283000,0,529600,--,254300,0,588300,313800,810900,645900, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,69900,0,0,--,51500,--,--,--,--,0,--,--,--,0,--,22200,--,35700, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,30200,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-82000,--,-36000,--,-60600,--,-30100,--,-57600,--,-26000,--,-78800,--,-53900,--,-19900,--,-36300,--,-47700,--,-28200,--,-39500,--,-24700,--,-37200,--,-7800,--,-34100,--,-20900,0,-53800,--,-3000,0,-78600,--,-12100,--,-38500,--,-9300,0,-57600,--,-7000,0,-102800,-67100,59000,36300, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 公允价值变动损失(万元),-65400,--,-345000,--,-228900,--,-127200,--,-183400,--,-33800,--,-26400,--,-53600,--,-268400,--,-222300,--,-202500,--,272800,--,-195300,--,-266800,--,-436700,--,-796300,--,-131700,--,-60600,0,924400,--,416900,0,52900,--,-1168600,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 财务费用(万元),-12260800,--,-5991400,--,-11156100,--,-5296600,--,-9881000,--,-4954200,--,-9437000,--,-4325400,--,-7372200,--,-3572000,--,-5735900,--,-2737400,--,-5558200,--,-2674700,--,-4804600,--,-2386600,--,-4726000,--,-2306400,0,-4428000,--,-2218200,0,318500,--,157800,--,293300,--,144800,0,284000,--,138400,0,261100,117800,47800,14700, 
 投资损失(万元),-423200,--,-218800,--,-925400,--,-632300,--,-4327900,--,-3634400,--,-1060800,--,-461500,--,-425600,--,-204000,--,-257700,--,-117400,--,-362900,--,-155700,--,-415300,--,-379500,--,-470200,--,-251000,0,-231600,--,-186400,0,-5894700,--,-3038300,--,-148500,--,-63300,0,-142100,--,-50900,0,-67800,-12500,-98900,-752400, 
 递延所得税资产减少(万元),-715300,--,-684300,--,-459100,--,1334300,--,-2317900,--,-1296500,--,-457700,--,-75100,--,-615700,--,-70500,--,-244000,--,-229000,--,-95300,--,32400,--,469900,--,219400,--,3500,--,95900,0,-605300,--,-502200,0,-315100,--,257200,--,349100,--,--,0,-36100,--,--,0,--,--,--,0, 
 递延所得税负债增加(万元),730400,--,643300,--,-235200,--,-755800,--,1631200,--,1225000,--,465400,--,247700,--,157800,--,108900,--,280600,--,323200,--,-114100,--,32900,--,36600,--,45100,--,38100,--,-38000,0,122700,--,61800,0,-79500,--,-39700,--,-3300,--,--,0,88400,--,--,0,--,--,--,0, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 经营性应收项目的减少(万元),-86803300,--,-38986800,--,-84366100,--,-61454900,--,-126063100,--,-90923400,--,-87173500,--,-32674300,--,-113365600,--,-115688600,--,-98559800,--,-82712600,--,-57399300,--,-46397700,--,-114250600,--,-98473400,--,-128739300,--,-73796600,0,-191678700,--,-126182000,0,-55169900,--,-50087800,--,-65355200,--,-53280800,0,-46252700,--,-50491000,0,-44498200,-28879300,-40338200,-59423700, 
 经营性应付项目的增加(万元),135143400,--,66406500,--,109252300,--,114690500,--,130774400,--,86702500,--,139681200,--,91053500,--,110575100,--,151133700,--,106806900,--,49364500,--,72258600,--,93490900,--,124680500,--,95346600,--,151659100,--,85800500,0,173038300,--,121209500,0,91816700,--,44860800,--,61043700,--,47523300,0,42578800,--,35546500,0,40758300,28337200,24495800,48540700, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 经营活动产生现金流量净额(万元),66235800,--,35906900,--,40613600,--,62169800,--,18208100,--,3433300,--,67209400,--,66739500,--,12691800,--,44296700,--,22284000,--,-25294100,--,26392400,--,53148200,--,21435700,--,2406300,--,30899700,--,16357000,0,-12009300,--,-1652700,0,42476700,--,-2527100,--,5138300,--,-1410900,0,3140600,--,-11758900,0,1388300,2161500,-10073800,-6069900, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 现金的期末余额(万元),168860000,141093700,122450200,130470200,95875200,105993100,138894800,127358400,101924700,86596500,109365300,94141100,105207800,101876600,135516600,143956900,114815100,150959800,156273100,159008000,115056600,91934400,82715600,100675200,107228300,108075900,147294900,154015100,101736800,106307700,87784900,108098500,76937100,70909600,69387300,85844900,58631900,55922200,79002500,106568700,92140700,63277700,47303600,51858200,52893700,48140900,49001600,51351100,51994400,41510200,38947300,37394500,39711200,41495600,36614200,44895000, 
 现金的期初余额(万元),95875200,95875200,95875200,95875200,101924700,101924700,101924700,101924700,105207800,105207800,105207800,105207800,114815100,114815100,114815100,114815100,115056600,115056600,115056600,115056600,107228300,107228300,107228300,107228300,101736800,101736800,101736800,101736800,76937100,76937100,76937100,76937100,58631900,58631900,58631900,58631900,92140700,92140700,92140700,92140700,52893700,52893700,52893700,52893700,51994400,51994400,51994400,51994400,39711200,39711200,39711200,39711200,36614200,36614200,44895000,32862600, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0, 
 现金及现金等价物的净增加额(万元),72984800,45218500,26575000,34595000,-6049500,4068400,36970100,25433700,-3283100,-18611300,4157500,-11066700,-9607300,-12938500,20701500,29141800,-241500,35903200,41216500,43951400,7828300,-15293900,-24512700,-6553100,5491500,6339100,45558100,52278300,24799700,29370600,10847800,31161400,18305200,12277700,10755400,27213000,-33508800,-36218500,-13138200,14428000,39247000,10384000,-5590100,-1035500,899300,-3853500,-2992800,-643300,12283200,1799000,-763900,-2316700,3097000,4881400,-8280800,12032400, 

