 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2003-12-31, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 收到的其他与经营活动有关的现金(万元),18628800,24761900,12014600,6184700,14458400,8873900,5381900,4528000,12294200,6525700,6989200,239800,8805800,5836800,4439800,476100,2778300,4379500,3967000,1539000,3281300,2071100,5769700,1904400,2387000,3998600,1607200,664900,1548100,3946500,1096100,786300,1440300,2627100,1613300,1791200,1100400,3073500,2019000,2564700,3920900,2851500,2766400,608000,608200,1841900,311600,863700,5860500,3389800,1195300,356100,1731600,655500, 
 经营活动现金流入小计(万元),372391000,340950400,223079000,136544500,347769300,312964600,208536900,143429700,292000600,278834300,183574300,139738700,318809800,272387200,255568600,113356700,246070800,181681800,192987600,110933500,255062300,220133600,177882900,132287900,255511000,236911500,187932600,106284800,243121300,206232300,162519600,102470000,230702100,222264600,163200900,97397900,242454000,226417700,194644900,132238500,187694200,142225300,99696800,52252800,153418500,132697300,100564600,46039400,115911400,69405600,83847700,49207200,69067300,84847600, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 客户贷款及垫款净增加额(万元),125866500,87935800,63448400,37405000,133310300,114902900,87758800,54401400,111967400,99788800,76112700,43952500,92423100,86689700,64832500,33425300,112184000,94893400,71400600,43409600,115953900,86748400,64996200,46504200,101059200,85464100,63456300,37027200,103650600,83360700,56259500,28008700,107153800,85564600,62024600,33757700,116989100,102008300,87356600,64065500,54102500,35799900,30673600,16383600,47576000,40919400,29998600,17171200,37165800,18417400,24453600,16662600,35497000,43167000, 
 存放中央银行和同业款项净增加额(万元),8316200,3143100,1723500,32000,20819100,19068300,33168200,13378600,36781200,21223100,--,--,7901500,3974500,--,--,22329100,15078600,13008100,13992000,31901000,34261800,56416100,11601700,23061700,12873300,6398800,11886300,--,--,42127800,18834500,59465500,39974300,31444300,23616800,34697800,21201800,18668300,9351400,26317100,38308400,30741900,10939700,42273400,20073700,18494700,7177100,14336900,2712500,5752800,2789800,7536100,6321200, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 支付利息、手续费及佣金的现金(万元),36887400,27779600,19128400,10077600,34385400,25298400,17187200,8548600,33727400,24666500,16461400,8065500,35629300,26665200,17684800,9033100,32941100,23902900,15671500,8150200,27723200,20075400,13110100,6564800,25321700,19250000,12501800,6484800,21217500,14772600,9095000,4546700,15246900,10986000,7004600,3545500,16681500,12512600,8155800,4228400,15149800,10848300,6800900,3564900,12279100,8582000,5498800,2873700,9801400,4551500,8410400,3451400,6974300,6480100, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 支付给职工以及为职工支付的现金(万元),12058100,8617500,5868100,3369700,11467600,8329100,5669400,3214600,11220700,8020100,5413600,3059400,11060400,8064000,5476500,2987700,10840300,7841800,5323400,2924100,10393600,7358900,4852500,2670100,9548300,6628300,4325100,2426100,8436700,5629600,3707100,1991900,7011500,4728300,3099000,1667800,5966000,4187100,2735800,1436200,5252000,3573800,2349200,1214800,4276600,2875300,1825200,954400,3359800,1547900,3179700,1445600,1912700,2002200, 
 支付的各项税费(万元),12070600,10281200,8950100,1676700,11649200,10128600,8268100,2121200,14332500,12247000,9912800,2044800,13113600,10576000,8903500,1972000,13139200,10541100,8832300,1696900,11425600,9946800,8378300,1513400,10010300,9127400,7837200,1422000,7560600,6676400,5668000,1118000,6064400,5127000,4213800,1012600,7890800,7597600,5315300,985400,5840400,5133200,4448500,564300,3521400,3080500,2431700,493800,3164100,2144500,1214100,531600,875500,832700, 
 支付的其他与经营活动有关的现金(万元),26856600,24143100,23195800,6902200,12408000,11971400,9041500,7724900,13249700,20296900,12359000,5083600,1572800,8016100,6573700,3088100,9367000,6007700,13140200,8244400,6585600,5244900,6807000,1214800,7102600,7885000,2216100,2734300,5919600,6049700,3764300,2051200,5318800,4876300,3442600,1795400,3521600,3130500,2002400,1584700,3944300,3986000,2939800,4617200,7152300,7676300,5841600,3902200,5001100,2489200,3511000,1847900,2351400,2190700, 
 经营活动现金流出小计(万元),299977700,252660200,204425800,130328500,270682900,241285000,173882700,132499100,268078500,250454000,153811100,119777300,205633400,197124200,147183700,61527200,225925100,174012900,151178500,86134400,255257000,213150500,163610500,99985800,202160200,148541100,105830100,66311600,208309000,189164200,138770500,69316800,202884500,159479000,114853200,68940100,202067800,192198100,201371400,145506600,150602900,134201000,80083600,41293400,123805600,88965200,69148700,35422500,77684300,36476600,47098300,34215000,56990900,68759200, 
 经营活动产生的现金流量净额(万元),72413300,88290200,18653200,6216000,77086400,71679600,34654200,10930600,23922100,28380300,29763200,19961400,113176400,75263000,108384900,51829500,20145700,7668900,41809100,24799100,-194700,6983100,14272400,32302100,53350800,88370400,82102500,39973200,34812300,17068100,23749100,33153200,27817600,62785600,48347700,28457800,40386200,34219600,-6726500,-13268100,37091300,8024300,19613200,10959400,29612900,43732100,31415900,10616900,38227100,32929000,36749400,14992200,12076400,16088400, 
 收回投资所收到的现金(万元),149563300,116257500,78082700,56463800,215312400,168742200,103719700,42529700,205972200,160527500,98062400,45409700,137807900,93649300,51232300,22856600,101177100,72732200,49956600,21900500,111777900,101286600,43591300,17916600,96522900,66923800,42840300,19502800,134932400,112935500,94707600,42457300,184039900,160487400,112260400,41581100,99240600,74018700,43852400,20423000,112744800,104533700,72243700,34222000,121742500,120364300,82402700,21105200,108510100,66308400,32679300,17591600,26987900,22185900, 
 取得投资收益所收到的现金(万元),173200,169800,94200,93600,173100,140300,73000,73000,135600,--,--,--,109400,109400,59600,400,114500,107400,57000,200,65300,64500,15200,300,91400,81500,78300,--,126800,--,--,200,107100,99900,60700,0,54400,46500,5800,1600,65200,47300,8500,--,7400,2800,2500,0,3400,300,200,0,1700,300, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),285500,138500,81700,78900,319500,153800,147600,54800,285000,97300,42800,19800,348100,139300,67800,24000,380200,176000,49500,26100,108800,49300,42300,30600,127100,82600,59200,9200,127800,108900,108000,10300,66600,63500,50200,9500,140700,45600,35600,10100,52000,45700,38100,9400,282300,97100,80700,12800,152200,56400,517700,244700,173000,135400, 
 处置子公司及其他营业单位收到的现金净额(万元),116800,--,2800,63300,63300,--,--,--,48700,1700,--,--,--,--,--,--,--,--,--,--,49300,48700,48700,--,--,--,--,--,--,--,--,--,27800,--,--,0,--,--,--,--,226100,--,--,--,9400,0,0,0,--,--,--,0,--,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,29700,25800,37300,12300, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 投资活动现金流入小计(万元),150138800,116565800,78261400,56699600,215868300,169036300,103940300,42657500,206441500,160681800,98160000,45429800,138265400,93898000,51359700,22881000,101671800,73015600,50063100,21926800,112001300,101449100,43697500,17947500,96741400,67087900,42977800,19512000,135187000,113167700,94896500,42467800,184241400,160650800,112371300,41590600,99438200,74110800,43893800,20434700,113088100,104852800,72516400,34473200,122056000,120464200,82485900,21118000,108665700,66365100,33226900,17862100,27644900,22333900, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5302400,3504800,1341700,69400,688000,652200,487600,33100,3691500,1178300,1185900,384900,3348600,2736600,1668800,293400,4462300,2462000,1775400,694400,3248500,2079200,740900,449300,1870700,911000,518000,46700,1140500,530300,241900,39700,1325800,526900,319700,182000,1303700,409700,218900,51400,1097500,279900,161000,57800,722600,201400,130100,76700,458500,102700,762300,236600,673000,753100, 
 投资所支付的现金(万元),217183800,164587700,99412400,66027300,263324000,193027100,115182800,58641600,249269300,191773300,139601100,64833600,200731800,145508700,87610500,30996700,110950200,83406300,58750200,24639300,123974700,117638900,64803000,31290300,105850900,81707200,50870800,25060900,138570700,112770900,80812200,32467900,197852600,174734100,124477300,33124300,155937600,108094800,51035300,18571400,108604800,97323400,82150600,43170400,145583300,169761600,129561400,57942400,162389800,85806700,71999600,32053700,46793600,34622700, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),79900,--,160300,147300,160500,157900,--,--,137300,118600,--,--,--,--,--,--,--,28400,1000,--,--,--,--,--,372300,184300,--,--,--,--,--,--,345700,292900,428000,0,500,--,--,--,3920300,3902300,3920300,3550100,13400,0,0,0,--,--,--,0,--,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,75600,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 投资活动现金流出小计(万元),223313300,168363800,101103500,66259000,264794100,194043600,115831300,58680800,253334700,193158200,140850000,65259400,204961500,148412400,89358700,31342700,116345900,86298800,60749300,25416400,128417400,120320300,66030400,31834900,109408400,83663500,51948700,25161700,140860300,113819300,81199300,32553600,200200000,175855700,125352100,33428700,157966600,108761300,51357300,18653400,114080500,101713000,86342600,46778300,146535200,170052000,129748000,58019100,163050500,85985900,72968000,32338800,47651600,35546300, 
 投资活动产生的现金流量净额(万元),-73174500,-51798000,-22842100,-9559400,-48925800,-25007300,-11891000,-16023300,-46893200,-32476400,-42690000,-19829600,-66696100,-54514400,-37999000,-8461700,-14674100,-13283200,-10686200,-3489600,-16416100,-18871200,-22332900,-13887400,-12667000,-16575600,-8970900,-5649700,-5673300,-651600,13697200,9914200,-15958600,-15204900,-12980800,8161900,-58528400,-34650500,-7463500,1781300,-992400,3139800,-13826200,-12305100,-24479200,-49587800,-47262100,-36901100,-54384800,-19620800,-39741100,-14476700,-20006700,-13212400, 
 吸收投资收到的现金(万元),12500,7600,7600,--,79200,79200,79200,73100,152000,152000,152000,--,32300,32300,4900,4900,139300,2200,--,--,95500,15500,12500,12500,60000,--,--,--,3100,--,--,--,23000,23000,--,0,8000,--,--,--,--,--,--,--,--,0,0,0,--,--,16600,9000,146700,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 发行债券收到的现金(万元),104574600,80224900,53458400,22587400,94395400,64311700,40704300,1695800,89666500,71215900,45852200,20301000,11621400,7615500,3929100,2249900,9555400,5966100,2434900,943900,4436700,3111400,2188900,1187800,2964000,3166800,2802800,637500,10380300,4753200,4092600,--,5028600,4700000,--,0,4000000,4000000,--,--,--,--,--,--,--,0,0,0,--,--,3500000,0,329400,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,6600,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 筹资活动现金流入小计(万元),104587100,80232500,53466000,22587400,94474600,64390900,40783500,1768900,90487600,71367900,46004200,20301000,16153700,7647800,3934000,2254800,13149600,5968300,2434900,943900,4532200,3126900,2201400,1200300,3024000,3166800,2802800,637500,10383400,4753200,4092600,--,9536400,4723000,--,0,4008000,4000000,--,--,6600,6600,6600,--,--,0,0,0,18867600,4043800,15931400,12423800,476100,0, 
 偿还债务支付的现金(万元),96822200,73945100,49608500,22310100,75909500,58456900,35005400,347900,85401200,68101100,45072400,20153900,9420500,7560700,2125800,1590700,5459400,4395600,2379400,1556400,1708400,1289300,328900,--,--,542600,--,3200,321200,--,--,--,2200000,2200000,--,0,--,--,18200,--,124000,124000,18300,--,120500,120500,57500,0,110800,55100,13800,0,--,0, 
 分配股利、利润或偿付利息所支付的现金(万元),11357300,9934700,547600,158500,10381600,9453100,643700,130400,10165000,9249400,561700,58900,10406400,9845400,377600,38100,10324600,9856100,7325900,29200,9368600,9048300,155500,15500,7951900,7095300,29300,--,6428900,6878000,145800,--,5968800,5957600,5703700,11900,5636700,5631900,5515100,18400,4475000,4474500,4463300,21700,1549000,1562100,1562100,17600,2213000,16300,72800,21400,22600,9100, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35700,12800,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 筹资活动现金流出小计(万元),108179500,83879800,50156100,22482000,86291100,67910000,35649100,478300,95566200,77350500,45634100,20212800,19826900,17406100,2503400,1628800,15784000,14251700,9705300,1585600,11078700,10337600,484400,15500,7951900,7637900,29300,3200,6782900,6878000,145800,1800,9131800,8170400,5703700,11900,5636700,5631900,5533300,18400,4599000,4598500,4481600,21700,1709300,1682600,1619600,17600,2649200,71400,86600,21400,22800,9100, 
 筹资活动产生的现金流量净额(万元),-3592400,-3647300,3309900,105400,8183500,-3519100,5134400,1290600,-5078600,-5982600,370100,88200,-3673200,-9758300,1430600,626000,-2634400,-8283400,-7270400,-641700,-6546500,-7210700,1717000,1184800,-4927900,-4471100,2773500,634300,3600500,-2124800,3946800,-1800,404600,-3447400,-5703700,-11900,-1628700,-1631900,-5533300,-18400,-4592400,-4591900,-4475000,-21700,-1709300,-1682600,-1619600,-17600,16218400,3972400,15844800,12402400,453300,-9100, 
 汇率变动对现金及现金等价物的影响(万元),3272900,3574400,928300,-2518000,-3247900,-2128100,-1065400,-287600,2856700,2250600,1578600,186400,1896300,987300,-94000,-208400,849000,389400,894000,1031600,-1267200,-800200,-652000,-259500,-422000,-128200,-1800,-900,-805800,-602100,-211100,-103900,-305900,-285000,-133400,-45000,-18800,-29400,-42500,-97800,-946100,-1083300,-827000,-547100,-791700,-400400,-271000,-78900,-245900,-51000,-212600,2700,16900,32200, 
 现金及现金等价物净增加额(万元),-1080700,36419300,49300,-5756000,33096200,41025100,26832200,-4089700,-25193000,-7828100,-10978100,406400,44703400,11977600,71722500,43785400,3686200,-13508300,24746500,21699400,-24424500,-19899000,-6995500,19340000,35333900,67195500,75903300,34956900,31933700,13689600,41182000,42961700,11957700,43848300,29529800,36562800,-19789700,-2092200,-19765800,-11603000,30560400,5488900,485000,-1914500,2632700,-7938700,-17736800,-26380700,-185200,17229600,12640500,12920600,-7460100,2899100, 
 加:期初现金及现金等价物余额(万元),152033000,152033000,152033000,152033000,118936800,118936800,118936800,118936800,144129800,144129800,144129800,144129800,99426400,99426400,99426400,99426300,95740200,95740200,95740200,95740200,120164700,120164700,120164700,120164700,84830800,84830800,84830800,84830800,52897100,52897100,52897100,52897100,40939400,40939400,40939400,40939400,60729100,60729100,60729100,60729100,30168700,30168700,30168700,30168700,27536000,50679400,50679400,50679400,27721200,29442400,16801900,16801900,24262000,0, 
 期末现金及现金等价物余额(万元),150952300,188452300,152082300,146277000,152033000,159961900,145769000,114847100,118936800,136301700,133151700,144536200,144129800,111404000,171148900,143211700,99426400,82231900,120486700,117439600,95740200,100265700,113169200,139504700,120164700,152026300,160734100,119787700,84830800,66586700,94079100,95858800,52897100,84787700,70469200,77502200,40939400,58636900,40963300,49126100,60729100,35657600,30653700,28254200,30168700,42740700,32942600,24298700,27536000,46672000,29442400,29722500,16801900,2899100, 
 净利润(万元),29872300,24012000,16065700,7906900,28745100,22908600,15368700,7602700,27910600,22346800,15065600,7490400,27772000,22229100,14942600,7445700,27628600,22085500,14838100,7346100,26296500,20577100,13847700,6881300,23869100,18571100,12324100,6137200,20844500,16397800,10957500,5383600,16602500,12779500,8496500,4172500,12935000,10043300,6661300,3528900,11115100,9307700,6487900,3328200,8199000,6388200,4119800,1889200,4943600,2543600,3740500,2511200,3076300,2237400, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,46400,28700,35500,12000, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 资产减值准备(万元),16159400,11693300,8345800,4225800,12776900,8961600,6134300,3150500,8789400,6390600,4443300,2366800,8699300,6156900,4195100,2074800,5672900,3245600,2416700,1377600,3832100,2862000,2194100,1215200,3374500,2545900,1923700,1014800,3112100,2438300,1688100,865400,2798800,1782000,969300,391600,2321900,1478300,1021200,420300,5552800,3389200,1831500,847300,3740600,2322600,1540100,735500,3218900,1221800,2701400,1172300,3085900,3629300, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1944700,937600,944000,312200,1702200,976000,887900,329800,1869400,1024400,884400,342400,1697600,1224700,808800,400200,1505300,1112400,730200,360200,1338600,992900,666400,330500,1228800,877500,602200,303000,1121800,843600,558000,271600,1009500,753500,503600,250700,904300,673000,446400,220000,781500,582500,387100,195100,804500,611600,413500,212100,933700,489500,1010100,457100,897700,865400, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-178700,-136100,-117300,-88800,-137700,-98900,-72000,-400,-18100,-10100,-37800,-12700,-84800,-59800,-46300,-11800,-94400,-50600,-42600,-21800,-84800,-49300,-42300,-9700,-96100,-42600,-31800,-3900,-88100,-50800,-35000,-13800,6400,-16500,-8200,0,-57500,-22000,-14300,-4600,-51800,-25700,-16800,-8700,-67800,-89000,-81800,-8900,-32800,-16600,-62600,-70700,-81400,-48200, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 公允价值变动损失(万元),692000,572700,333600,-25400,84000,-162800,-97100,10000,-416800,-460700,-316600,-202800,-279600,-208300,11400,129500,-68000,-41700,-120200,-106700,15100,80100,26300,-69200,37100,56700,25500,500,21100,77800,20800,8300,-10800,-17800,4800,-18300,10100,9500,-38000,-9200,7100,4000,21300,6200,12800,26200,-10800,-7400,1200,19200,-533200,-173800,-43700,33700, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,--,0, 
 财务费用(万元),2317500,1721300,1064100,513700,1621900,1178300,610400,374200,1423700,1042700,684400,331200,1334900,975100,644100,312400,1170500,857200,564500,275100,1078500,813800,548700,277800,987600,655800,436900,213800,510300,343800,193500,91300,294800,193800,128900,43900,179000,113600,57200,30300,124100,92300,61700,31300,118100,86400,57300,33100,113300,55100,49000,6800,4000,0, 
 投资损失(万元),-625900,-471500,-312800,-131900,-544700,-355900,-200600,-80700,-712500,-559100,-368600,-185500,-725000,-536100,-400300,-173700,-396000,-273500,-210200,-76600,-272000,-244300,-239700,-75200,-327300,-240300,-160600,-120300,-266600,-227400,-163100,-81100,-317500,-200600,-133400,-64800,-922600,-778800,-422200,-70700,-160100,-12500,-9400,-33800,-46800,-131000,-85000,-14900,-15000,-43600,-38700,-32500,-23900,-63200, 
