报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-06-30,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
手续费及佣金支出(万元),1278900,841500,545300,283000,1210900,847100,516100,251700,965500,670200,429200,206600,849500,626400,409000,189800,729800,526500,344400,174900,649300,455700,299200,144200,527500,380000,247100,123000,535600,405400,262900,127600,473100,338200,219900,112000,422100,302700,189500,81600,376500,260100,174800,82500,406600,267900,162400,73800,281600,194700,132500,58400,345100,139700,283100,221500,--,--,182500,322500,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
其他业务成本(万元),2997400,2185800,1465800,917300,3124900,2317700,1583700,1027100,2891700,1774300,1228500,734700,2372400,1869900,1391600,951900,2042000,1613000,1247700,774400,2309500,1824800,1323300,889700,2003800,1370700,968900,725500,1318000,1005900,654000,567500,1269200,1021100,639600,384800,1393200,1005000,239800,64500,1378000,990900,603500,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,51400,38100,
营业税金及附加(万元),474400,350800,242400,113400,467600,360400,245600,120500,981000,831400,756500,676500,2673400,2039200,1354900,680400,2622400,1969900,1322600,663600,2396500,1787200,1184600,599600,2292500,1704300,1122000,581800,1858100,1353000,871300,427800,1441400,1054100,690800,342200,1164500,858600,565000,276500,1136700,855500,570300,--,0,0,--,0,--,--,--,0,568000,267000,498100,397200,338800,464300,524700,552200,
销售费用(万元),14161000,10081400,6481700,3302700,13696300,9757900,6301900,3126200,13582000,9777800,6350000,3023100,13421300,9477700,5953300,2910600,13038700,9346200,6001000,2984500,12474700,8905000,5701400,2806200,11643600,8220000,5250900,2639100,10851100,7393600,4785700,2316800,9455500,6343500,3962800,1904400,8107600,5398400,3388500,1606900,7195700,5231600,3303500,2288600,8421000,5522500,3321000,1668200,6777800,4462800,2923500,1434800,4560400,2100000,4191500,3404100,3026700,2765100,2382400,1921500,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
资产减值损失(万元),--,5526900,2827000,1549500,8816100,4979900,2696000,2224300,8907200,6396600,4994600,1595300,5927400,4489300,2857600,1378400,4838100,3907800,2778200,1509600,2351000,1865200,1414200,826100,1938700,1362600,923700,547300,1935500,1623700,1228700,461500,1299300,1116200,995100,589700,1498700,1173000,1008100,584300,4503100,2631300,1714400,246700,825200,716900,524400,192000,1234200,759600,547900,183600,1098500,457600,2379700,-1643200,--,2319400,--,1600300,
公允价值变动收益(万元),65400,443100,345000,125600,228900,212200,127200,41300,183400,138400,33800,125000,26400,3700,53600,77800,268400,131900,222300,233500,202500,165900,-272800,-397600,195300,-15200,266800,241700,436700,314700,796300,528900,131700,415800,60600,-46700,-924400,-1499200,-416900,195100,-52900,1295800,1168600,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
投资收益(万元),1867900,1097200,289900,213400,1215500,926300,800000,448600,4514800,3997400,3785300,446700,1066600,621200,468400,137900,365800,349200,131400,-95300,249000,98100,425300,306100,1471900,865500,383600,196300,1898000,2033700,790900,283400,927700,397200,-201400,-38100,2135700,2341100,1346400,326000,3443800,2811700,1779400,-122900,-1552600,-146200,43400,91500,176400,166800,43500,27500,-24800,14900,107800,841300,1035700,--,67100,88500,
对联营企业和合营企业的投资收益(万元),211000,154600,88100,48900,116200,92400,63300,33900,89700,76200,51600,18000,233400,182900,141400,42700,131900,82700,75700,39200,109200,82900,35100,21500,61300,49200,22500,9500,51600,50200,34600,9000,102900,74600,45300,16700,82100,51500,25800,19300,72600,41600,51600,--,126300,86600,60500,30900,63200,41000,37100,12300,-24800,0,0,--,--,--,--,--,
汇兑收益(万元),-457400,-507900,-265800,-291400,-233400,-132700,239000,606700,622100,437600,352700,105900,1005700,737900,235300,238600,985300,833100,604100,311200,598400,472900,377200,388300,-352700,228800,156200,-25800,-905100,-1295000,-661800,-377900,-66100,-97300,567600,347300,-193800,-179300,-520400,-541400,-2569500,-3236500,-2374900,--,-66200,0,--,0,--,--,--,0,--,0,0,--,--,--,251000,369800,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
营业利润(万元),22848500,19469200,14127800,6718600,22222900,18991300,13996400,6431400,22001100,18126900,12859900,6252300,23037600,17801200,12398700,6222700,23091900,17796500,12142900,6071700,21219100,16178700,10984900,5425000,18730500,14285900,9697200,5001900,16853900,13151700,9071300,4583100,14216300,10707100,7012700,3534500,11055800,8453100,5584200,2521100,8615300,8029900,5716000,2968400,8820700,7512400,5031700,2426700,6595400,5387200,3365600,1727100,6474400,3300900,5784100,5482600,1683500,1015100,602200,637100,
营业外收入(万元),180900,126400,91600,56000,164500,98400,76500,56700,292300,197100,124000,47400,192500,99600,73100,31600,131600,86600,70500,24800,109300,67100,51800,20100,69800,39600,26300,6700,64800,30400,21000,8300,73000,62300,32200,16000,119400,37800,24400,12700,124300,46400,28200,3400,48500,36200,34500,15000,104400,--,85900,38600,138100,114500,0,17900,--,--,184300,60700,
营业外支出(万元),65100,34200,23300,6300,97100,47000,35100,24800,52200,32600,22200,9500,73000,61200,23600,8400,75700,49600,18400,3700,50700,23200,11600,2800,62300,19600,10000,1000,54300,16900,14600,2100,74800,27800,16200,3100,65500,14900,3300,5100,114500,45000,27200,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,102900,37500,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
利润总额(万元),22964300,19561400,14196100,6768300,22290300,19042700,14037800,6463300,22241200,18291400,12961700,6290200,23157100,17839600,12448200,6245900,23147800,17833500,12195000,6092800,21277700,16222600,11025100,5442300,18738000,14305900,9713500,5007600,16864400,13165200,9077700,4589300,14214500,10741600,7028700,3547400,11109700,8476000,5605300,2528700,8625100,8031300,5717000,3000200,8995500,7548600,5066200,2441700,6763000,5489100,3451500,1765700,5514000,2957800,3457600,3857300,1385500,1091400,683600,660300,
所得税费用(万元),3720800,3286600,2638600,1550000,3791700,3529200,2982900,1430600,3836100,3135600,2230900,1426900,5215400,4052200,2949600,1469000,5428000,4153700,2854100,1372900,4903600,3691100,2607900,1280400,4185800,3164000,2213300,1162900,3832500,3036800,2064400,1088300,3245400,2445600,1591200,812800,2574800,1968100,1281900,600100,2117800,1852300,1266900,700900,2793800,2550300,1793600,1100300,1957200,1867400,1239400,650800,2254300,1086000,933000,667600,286700,276100,225600,217900,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
净利润(万元),19243500,16274800,11557500,5218300,18498600,15513500,11054900,5032700,18405100,15155800,10730800,4863300,17941700,13787400,9498600,4776900,17719800,13679800,9340900,4719900,16374100,12531500,8417200,4161900,14552200,11141900,7500200,3844700,13031900,10128400,7013300,3501000,10969100,8296000,5437500,2734600,8534900,6507900,4323400,1928600,6507300,6179000,4450100,2299300,6201700,4998300,3272600,1341400,4805800,3621700,2212100,1114900,3259700,1871800,2524600,3189700,1098800,815300,458000,442400,
归属于母公司所有者的净利润(万元),18008600,15327400,10908800,4900100,17240700,14550600,10369000,4664900,16457800,13481300,9303700,4661900,17084500,13154500,9074600,4583800,16959500,13113300,8972400,4536300,15691100,12021000,8072100,3981500,13943200,10636300,7160100,3676300,12418200,9630100,6651300,3343900,10441800,7924400,5202200,2617500,8081900,6205600,4100500,1850900,6353900,5920000,4203700,2162200,5622900,4574400,2988700,1214700,4262400,3229400,1934700,989800,2749200,1643400,2093200,2870700,950900,790800,458000,442400,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,--,--,0,--,0,0,--,0,--,--,--,0,--,0,0,--,--,--,--,--,
少数股东损益(万元),1234900,947400,648700,318200,1257900,962900,685900,367800,1947300,1674500,1427100,201400,857200,632900,424000,193100,760300,566500,368500,183600,683000,510500,345100,180400,609000,505600,340100,168400,613700,498300,362000,157100,527300,371600,235300,117100,453000,302300,222900,77700,153400,259000,246400,137100,578800,423900,283900,126700,543400,392300,277400,125100,510500,228400,431400,319000,147900,24500,--,--,
基本每股收益,0.59,0.5,0.37,0.16,0.56,0.47,0.35,0.15,0.54,0.44,0.31,0.15,0.56,0.43,0.31,0.16,0.61,0.47,0.32,0.16,0.56,0.43,0.29,0.14,0.5,0.38,0.26,0.13,0.44,0.35,0.24,0.12,0.39,0.31,0.2,0.1,0.32,0.24,0.16,0.07,0.25,0.23,0.17,0.09,0.22,0.18,0.12,0.05,0.18,0.14,0.09,0.05,0.15,0.09,0.11,0.15,--,--,--,--,
稀释每股收益,0.59,0.5,0.37,0.16,0.56,0.47,0.35,0.15,0.54,0.44,0.31,0.15,0.56,0.43,0.31,0.16,0.58,0.45,0.31,0.16,0.54,0.41,0.28,0.14,0.48,0.37,0.25,0.13,0.43,0.33,0.23,0.12,0.39,0.31,0.2,0.1,0.32,0.24,0.16,0.07,0.25,0.23,0.17,0.09,0.22,0.18,--,0.05,0.18,0.14,0.09,0.05,0.15,0.09,0.11,0.15,--,--,--,--,
