报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-09-30,2005-06-30,
投资收益(万元),1266100,812400,727800,660900,271500,267700,262100,116100,115700,676400,600700,445500,426400,481800,306900,-5400,173700,193200,188000,96600,319300,272100,238000,137000,478500,387200,328700,54500,216900,144600,119800,74300,-5600,15100,14400,6900,499500,491900,487900,101600,2000,-27322,-29943,-32343,-14349,6018,5459,120,4617,4445,4188,1024,186681,130228,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
汇兑收益(万元),630000,-14900,-372800,-590400,78300,271000,-68700,-193200,564600,-182900,-178200,-196800,23700,-22700,-32500,-27500,68500,68300,46400,12500,-33500,-53100,-105500,-8200,11900,59800,-18500,30000,38500,23900,19200,5400,56900,39100,27100,10200,9400,19300,11100,7000,-5700,7,21129,548,38847,12328,8401,7810,15801,14319,8223,4427,6665,1918,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
营业利润(万元),5929100,5191400,3610600,1827300,6084900,4892400,3420200,1756300,6016600,4998600,3518200,1784100,6025000,5060500,3530500,1784000,5947900,4916200,3432800,1697300,5680300,4499100,3093200,1510500,5073200,3908500,2587700,1259500,3728500,2846500,1845100,824600,2301100,1723100,1166900,562100,1560500,1340500,956600,330600,1041200,1192411,815265,326009,919959,662081,454898,158851,524531,402851,280915,118360,308719,196361,
营业外收入(万元),4700,3000,2100,300,8200,45500,30200,3800,57500,39700,13400,3700,66400,37200,24400,5900,85000,49700,32500,8100,74800,35900,29700,1600,57100,32600,15400,700,21400,7800,1700,500,13400,6700,5300,2800,19700,11800,5800,1000,15700,6405,2074,681,6038,5436,1194,316,1875,545,360,140,273,210,
营业外支出(万元),55300,41100,24100,19400,36900,21600,5300,1900,49200,43000,13500,2000,14000,5100,2000,1700,53600,31000,25600,400,40000,26800,23500,20100,65100,54900,33200,30300,32400,22500,6100,3700,16900,11100,10700,3700,14600,5000,3800,600,8100,13806,1724,1226,4748,948,79,56,2657,1031,431,91,--,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
利润总额(万元),5878500,5153300,3588600,1808200,6056200,4916300,3445100,1758200,6024900,4995300,3518100,1785800,6077400,5092600,3552900,1788200,5979300,4934900,3439700,1705000,5715100,4508200,3099400,1492000,5065200,3886200,2569900,1229900,3717500,2831800,1840700,821400,2297600,1718700,1161500,561200,1565600,1347300,958600,331000,1048800,1185011,815615,325464,921249,666569,456013,159110,523749,402365,280844,118408,308992,196571,
所得税费用(万元),845500,837500,603300,295700,964000,805600,583700,307600,1147100,1006400,747900,390900,1375200,1186300,825700,431500,1422600,1191900,830600,412100,1386900,1097300,750000,363500,1234400,949300,629100,296300,873200,671800,435100,195000,528800,408500,269100,132900,354800,326000,220700,81500,259500,317651,211044,79746,287732,235329,173885,48584,147925,149346,110693,43031,109795,70678,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,0,0,0,0,--,--,--,0,--,--,--,--,--,
净利润(万元),5033000,4315800,2985300,1512500,5092200,4110700,2861400,1450600,4877800,3988900,2770200,1394900,4702200,3906300,2727200,1356700,4556700,3743000,2609100,1292900,4328200,3410900,2349400,1128500,3830800,2936900,1940800,933600,2844300,2160000,1405600,626400,1768800,1310200,892400,428300,1210800,1021300,737900,249500,789300,867360,604571,245718,633518,431240,282128,110526,375825,253019,170151,75377,199197,125893,
归属于母公司所有者的净利润(万元),5032700,4268500,2961800,1494200,4981300,4024300,2808800,1419900,4784300,3916300,2722300,1370600,4611100,3837700,2677800,1337700,4454600,3677800,2557000,1267600,4227800,3331400,2294500,1101500,3756300,2881000,1905300,917200,2792000,2138600,1391800,621000,1758100,1300700,886600,426900,1210400,1020100,737400,249900,788500,863717,604062,245896,633518,431240,282128,110526,375825,253019,170151,75377,199197,125893,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,--,--,0,0,0,0,--,--,--,0,--,--,--,--,--,
少数股东损益(万元),300,47300,23500,18300,110900,86400,52600,30700,93500,72600,47900,24300,91100,68600,49400,19000,102100,65200,52100,25300,100400,79500,54900,27000,74500,55900,35500,16400,52300,21400,13800,5400,10700,9500,5800,1400,400,1200,500,-400,800,3643,510,-178,0,--,--,--,0,--,--,--,--,--,
基本每股收益,1.14,0.97,0.68,0.41,1.35,1.1,0.77,0.39,1.31,1.07,0.75,0.38,1.3,1.1,0.78,0.39,1.31,1.08,0.75,0.45,1.49,1.18,0.81,0.39,1.34,1.04,0.69,0.34,1.05,0.8,0.52,0.23,0.66,0.49,0.4,0.19,0.63,0.54,0.39,0.13,0.42,0.46,0.32,0.13,0.48,0.33,0.23,0.11,0.31,0.25,0.14,--,--,--,
稀释每股收益,1.14,0.97,0.68,0.41,1.35,1.1,0.77,0.39,1.31,1.07,0.75,0.38,1.27,1.06,0.74,0.37,1.24,1.02,0.71,0.42,1.43,1.13,0.78,0.38,1.34,1.04,0.69,0.34,1.05,0.8,0.52,0.23,0.66,0.49,0.4,0.19,0.63,0.54,0.39,0.13,0.42,0.46,0.32,0.13,0.48,0.33,0.23,0.11,0.31,0.25,0.14,--,--,--,
