报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-06-30,
资产减值损失(万元),--,9561,5745,5652,-68,16362,12817,11922,8830,1350,1207,1273,-9,383,--,--,--,455,26,26,--,576,95,95,--,811,562,--,--,--,--,0,--,-29,-29,-29,-29,-1805,-1805,-6,-3,--,0,1801,-12,
公允价值变动收益(万元),26092,-13708,-130,841,-117,1855,1260,4930,3798,-12832,-8251,-8038,-5322,8016,2912,6182,9196,1142,843,-193,-766,-522,8,7,-69,462,-301,81,-92,490,60,245,220,-998,-140,-171,-378,49,-421,-71,-14347,--,-14347,14355,0,
投资收益(万元),28459,149862,82769,60768,21104,101900,76544,49483,25295,42228,26485,12074,515,65309,47904,57901,28953,28054,21673,19892,11974,11344,7932,4810,3700,8359,6875,4197,53,-1447,-2080,-835,-484,15237,11103,3474,1563,6540,3938,2308,18205,--,19531,44912,2,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,0,0,--,--,0,485,0,
汇兑收益(万元),98,46,38,61,-39,-281,-82,-42,-16,103,60,55,-19,125,84,-0,-138,14,25,24,23,-65,-48,-38,-11,-4,13,8,-2,-106,-91,-57,-33,-58,-35,-11,-1,1444,1444,-1,-110,--,-104,-107,-39,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
托管收益(万元),1948,8446,6788,4596,2637,5582,3215,2123,939,3769,2847,2368,628,1492,2045,769,247,651,426,572,271,723,542,359,147,622,471,333,206,719,504,245,111,592,312,122,--,--,0,0,--,--,0,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
营业利润(万元),34373,28587,13864,13207,10989,63000,57472,36374,21935,69884,50063,29752,8461,199702,168988,162758,63784,79251,50946,32646,17327,33842,22543,12893,9702,18544,12620,9898,7124,26129,17059,14055,4349,58216,40923,26374,8375,81286,61795,36238,37803,--,27707,131325,62002,
营业外收入(万元),1,427,25,12,25,116,133,94,54,1717,189,42,36,1190,287,250,2,1020,72,51,24,1105,651,97,90,704,280,238,--,1202,195,78,2,867,205,144,142,2188,1017,9,782,--,126,1421,4,
营业外支出(万元),45,348,231,230,21,346,231,126,14,836,615,5,101,493,63,10,2,454,411,272,159,218,195,97,75,80,64,13,6,68,9,7,1,80,43,33,1,-885,93,34,2168,--,162,1534,181,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
利润总额(万元),34330,28666,13657,12990,10993,62770,57374,36342,21975,70765,49638,29789,8396,200398,169212,162998,63784,79817,50608,32425,17192,34729,22998,12892,9716,19168,12836,10123,7118,27262,17245,14126,4350,59004,41085,26484,8516,84358,62720,36212,36417,33424,27671,131212,61837,
所得税费用(万元),8941,6742,3644,3468,2653,18531,15981,10331,6253,18008,13923,8655,2084,52261,42039,39983,15977,21176,12980,8272,4382,10144,6076,3804,2702,4828,-936,2329,1672,7895,4926,4040,2495,15101,11691,6426,4383,21919,17022,9991,8737,--,7144,47749,20192,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
净利润(万元),25389,21924,10014,9522,8340,44239,41393,26011,15722,52758,35715,21134,6312,148137,127172,123015,47807,58640,37628,24153,12810,24584,16922,9088,7014,14340,13773,7794,5447,19367,12319,10086,1855,43903,29394,20058,4134,62439,45697,26221,27680,24841,20527,83463,41645,
归属于母公司所有者的净利润(万元),25824,22176,11605,11027,8780,40890,37922,23738,14040,46769,32408,18135,5103,143883,124156,120344,47874,58629,37129,23977,12930,25858,18411,9541,6572,14180,14525,8566,5365,19306,13892,11363,3466,43852,30477,20606,5789,61865,45965,26221,27677,24841,20527,83467,41645,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,--,0,
少数股东损益(万元),-435,-253,-1591,-1505,-440,3349,3471,2273,1682,5989,3307,2999,1209,4254,3017,2670,-67,11,499,177,-121,-1274,-1490,-453,442,160,-752,-772,82,61,-1573,-1277,-1611,51,-1084,-548,-1655,574,-268,0,3,--,0,-4,0,
基本每股收益,0.09,0.08,0.04,0.04,0.03,0.14,0.13,0.08,0.05,0.17,0.12,0.07,0.02,0.57,0.49,0.48,0.19,0.23,0.15,0.1,0.05,0.11,0.08,0.04,0.03,0.06,0.06,0.04,0.02,0.08,0.06,0.05,0.01,0.22,0.15,0.1,0.03,0.31,0.23,0,--,--,0,--,0,
稀释每股收益,0.09,0.08,0.04,0.04,0.03,0.14,0.13,0.08,0.05,0.17,0.12,0.07,0.02,0.57,0.49,0.48,0.19,0.23,0.15,0.1,0.05,0.11,0.08,0.04,0.03,0.06,0.06,0.04,0.02,0.08,0.06,0.05,0.01,0.22,0.15,0.1,0.03,0.31,0.23,0,--,--,0,--,0,
