报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
营业税金及附加(万元),29544,162350,123361,84937,47474,187990,142303,93447,45179,52350,37502,29744,13909,46620,36287,28432,10601,47050,38872,28733,14182,41367,32537,25664,12829,30799,17678,13449,5095,44120,37039,24046,12722,52506,41085,31627,14965,56963,46042,36014,18089,121914,106852,67964,32506,125236,86783,44371,22943,69572,53925,35144,13632,
销售费用(万元),69219,349271,244801,163594,72954,336645,230973,159050,74119,226763,149033,101650,48997,215276,149511,97150,49847,220035,147813,94493,43425,196304,133755,87415,40902,192562,137209,89235,44114,194954,139059,88333,41275,178462,125403,79728,40367,145874,100285,63353,30679,185252,152813,97404,47591,201837,147830,95579,45978,221789,162713,108441,49756,
管理费用(万元),101394,592662,497810,569925,277466,963198,762798,455603,232149,758798,498941,336193,114771,728661,516015,349414,174422,772824,536333,347298,162770,688073,469885,290356,135610,723756,554038,389326,210737,858366,417969,280997,136190,530437,360679,224869,101106,459212,318553,202753,93388,567635,425199,270595,119659,521956,343915,216132,93375,537842,343035,228798,101068,
财务费用(万元),54478,436607,369628,216634,24111,337042,282507,198991,84015,218597,175273,115677,52842,239257,220971,44427,19942,48771,60812,54599,40074,-54413,-35557,-25089,4522,41568,68065,49950,32486,7232,1798,6609,5571,80657,71486,64005,36524,167550,130638,89266,52069,209574,118049,44941,9275,95505,80414,52242,29545,101782,80394,66891,31709,
资产减值损失(万元),-30172,23139,516,252,23809,112529,111422,69956,74880,98068,26258,30206,-19028,148673,35105,9051,935,47513,1782,-5373,-12586,238832,35382,28263,6334,208410,-955,2949,-28271,35030,-2923,11688,7978,18769,19825,20423,-4204,-63510,-67472,-86517,-96011,589387,113894,4113,-33754,81045,103106,86483,2956,-54467,-49087,-57903,-51223,
公允价值变动收益(万元),-3146,18969,48392,32595,-29282,-18414,-14090,-755,-1488,10281,-1349,-4725,-17596,566,-3923,221,-7594,2335,-1437,-1927,381,2759,2414,2616,1628,-1298,-123,3428,157,-731,-1394,-669,-388,1206,-292,-332,-4658,-10740,-11374,-6194,-4637,342,-4065,-6641,-5554,2781,10854,-7663,-612,8358,8810,9254,3229,
投资收益(万元),70347,412290,255330,169624,57040,304227,262525,139577,41621,137708,67884,35585,6919,103821,27182,42472,2951,37891,21695,21783,2157,68405,53884,29138,1283,121469,108609,40738,21324,63047,27965,17842,14122,82668,46644,42648,34433,95345,78546,63132,-4383,67717,74843,59519,29007,149862,134181,87141,43997,78394,63938,48807,18199,
对联营企业和合营企业的投资收益(万元),31355,135870,99898,75520,40057,67263,54309,41578,19784,33180,20136,11098,3385,7802,6855,8534,742,15489,10620,7985,1639,17480,11046,5150,-303,20703,16650,10859,6633,26024,15247,9227,11544,44491,28576,24854,15817,26438,13029,2167,-6705,24723,52248,41946,22101,--,61741,44521,18743,0,47183,35668,14190,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
营业利润(万元),380573,2818331,2178983,1420717,698622,2492417,1509023,897164,543530,1159526,814160,511202,218790,185045,285369,442835,217997,764075,667340,446348,210769,768355,662089,512867,221510,359652,413710,271762,117300,883890,808065,676011,416427,1666577,1366277,1069948,513384,725377,492350,75833,3732,830417,1675692,1310209,582928,1947773,1600257,1234679,564230,1953571,1379195,703933,223252,
营业外收入(万元),3493,31156,21711,9051,5932,27453,25092,15211,13013,43910,28950,17003,7113,66823,49890,32391,4811,118062,76358,21093,8767,88237,32718,18650,9805,1050249,1037416,1022690,36437,64641,27739,11372,4717,58984,26315,19809,15910,49560,27500,20698,14122,47248,13761,7239,3442,25658,15347,6461,3011,9348,5258,2215,1005,
营业外支出(万元),23170,67881,43823,21814,12702,116357,81112,60978,51997,51452,32376,26009,7632,66455,40014,35301,2313,54359,49321,20303,7554,55616,37871,13716,6246,95936,64171,61028,3854,22519,12912,8683,3815,17937,11376,6208,2387,45481,12522,6979,3753,62228,40665,16148,4529,42662,25650,21152,3030,42490,26820,16354,1693,
非流动资产处置损失(万元),--,--,--,--,--,--,71925,55935,49868,47154,29457,22855,6999,63869,37819,33322,2066,42275,36073,10074,6503,47223,31242,8589,2932,77957,58875,56966,2291,17889,8575,5507,2708,13339,7753,3334,1494,34202,3637,2755,2621,32391,35003,11377,2702,27577,16820,13810,2124,7310,20771,12561,385,
利润总额(万元),360896,2781606,2156871,1407955,691852,2403513,1453003,851397,504546,1151983,810734,502195,218271,185413,295246,439925,220495,827777,694377,447137,211981,800976,656936,517801,225069,1313965,1386956,1233424,149883,926013,822892,678701,417329,1707623,1381216,1083549,526907,729456,507328,89551,14100,815437,1648787,1301300,581842,1930769,1589955,1219988,564211,1920429,1357633,689794,222564,
所得税费用(万元),66210,453792,438677,317842,138410,363199,201002,177488,87843,231453,228169,140054,64438,114006,63175,110548,56823,218708,165171,114573,53360,196943,172217,136423,57386,270670,303224,264898,23325,152433,155294,146206,95972,371535,285945,251776,120004,119935,107645,12393,3506,155327,404504,290450,137616,588506,475861,352860,172963,560363,391258,218454,77011,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
净利润(万元),294686,2327814,1718194,1090113,553442,2040314,1252001,673909,416703,920530,582565,362141,153833,71407,232070,329378,163673,609069,529206,332564,158621,604033,484719,381378,167683,1043296,1083731,968525,126558,773580,667598,532495,321357,1336089,1095271,831773,406902,609520,399682,77158,10595,660109,1244283,1010851,444225,1342263,1114093,867129,391248,1360066,966374,471340,145553,
归属于母公司所有者的净利润(万元),272583,2156516,1574743,1000920,502054,1917034,1166834,616958,378615,896551,559752,346848,152853,101287,225403,317448,154715,579235,500997,315402,151005,581847,464152,370280,162775,1038637,1079115,961001,122124,736196,632123,507949,307004,1288908,1060183,805088,393009,581623,370458,66902,8898,645921,1249070,964471,425944,1271833,1054824,815972,367578,1307714,927424,452802,143372,
被合并方在合并前实现净利润(万元),--,--,--,--,--,7127,7127,7127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,
少数股东损益(万元),22103,171298,143451,89193,51388,123280,85166,56951,38087,23978,22813,15293,980,-29880,6668,11929,8958,29834,28209,17163,7616,22186,20567,11097,4908,4658,4616,7524,4435,37384,35475,24546,14354,47180,35088,26685,13893,27897,29224,10256,1696,14189,47239,46380,18281,70430,59270,51156,23669,52352,38950,18538,2180,
基本每股收益,0.12,0.97,0.71,0.45,0.23,0.86,0.53,0.28,0.17,0.55,0.34,0.21,0.09,0.06,0.14,0.19,0.09,0.35,0.3,0.19,0.09,0.35,0.28,0.22,0.1,0.6,0.62,0.55,0.07,0.42,0.36,0.29,0.18,0.74,0.61,0.46,0.22,0.33,0.21,0.04,0.01,0.37,0.71,0.55,0.24,0.73,0.6,0.47,0.21,0.75,0.53,0.26,0.08,
稀释每股收益,0.12,0.97,0.71,0.45,0.23,0.86,0.53,0.28,0.17,0.55,0.34,0.21,0.09,0.06,0.14,0.19,0.09,0.35,0.3,0.19,0.09,0.35,0.28,0.22,0.1,0.6,0.62,0.55,0.07,0.42,0.36,0.29,0.18,0.74,0.61,0.46,0.22,--,0.21,0.04,0.01,0.37,0.71,0.55,0.24,--,0.6,0.47,0.21,0.75,0.53,0.26,0.08,
