报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),82130,220461,298215,218949,244048,256820,195187,290025,229777,210119,170902,162740,103394,80415,61151,119427,63586,220256,205002,229995,167401,154696,188936,165200,203800,161000,3171,4180,5514,10500,11000,--,
流动资产合计(万元),1394628,1221952,1179201,1176502,1170474,1101441,1036186,1020966,1018976,919900,958931,961348,1019235,969957,920358,936090,1006412,937902,998298,915357,1010696,993946,954121,965186,983157,979517,985584,964294,479232,514569,507549,471563,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),34480,34434,35705,35231,72246,73984,72968,72898,73162,73892,73517,73254,72444,60370,60399,59555,3000,--,--,--,--,--,--,--,--,--,--,--,--,--,158,158,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,750,--,550,--,600,600,600,--,--,--,--,--,2255,2255,5170,2170,2000,2000,3000,3000,
长期应收款(万元),363,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),93512,93997,99825,85597,75778,75821,76073,76649,77534,78009,30042,26763,26178,22252,17881,17820,28725,28242,25319,18425,6008,2642,2761,2648,3394,1799,3002,1727,3800,4094,14202,14274,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),77461,84833,63714,66055,65616,63806,63996,64672,32635,32869,35002,34100,26895,26352,23192,25476,10865,10105,8556,8607,7884,7949,7913,8055,8021,7782,7854,7888,8019,8167,24230,7445,
固定资产原值(万元),--,570790,--,646471,--,626223,--,619764,--,577941,--,549632,--,522172,--,516893,--,470235,--,399336,--,360894,--,358918,--,320483,--,318324,296480,282294,--,--,
累计折旧(万元),--,210349,--,248503,--,245081,--,236138,--,231561,--,221827,--,213881,--,206489,--,196371,--,157272,--,155183,--,150337,--,147577,--,142791,138276,134449,--,--,
固定资产净值(万元),--,360441,--,397968,--,381143,--,383626,--,346380,--,327804,--,308291,--,310404,--,273864,--,242063,--,205711,--,208581,--,172906,--,175533,158205,147845,--,--,
固定资产减值准备(万元),--,186,--,186,--,189,--,189,--,184,--,184,--,184,--,184,--,184,--,184,--,184,--,184,--,184,--,184,184,184,--,--,
固定资产(万元),363962,360255,394908,397782,373433,380954,379925,383438,390104,346196,329529,327621,304651,308107,288894,310220,280263,273680,266627,241880,204445,205527,207063,208397,175718,172722,173347,175349,158021,147661,166236,110878,
在建工程(万元),116701,113130,116165,104983,135863,125288,128255,114156,128236,167514,175337,164588,172346,165527,184421,144879,167308,159543,166387,134733,119641,108939,92182,80178,41838,32918,29914,29640,36172,37082,38605,53772,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1766,--,1784,1294,1294,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,-3,-4,--,214,175,0,0,5,5,3,1,1,1,1,1,5,6,7,1,3,3,1,1,1,1,2,1,--,1,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),118440,130837,133767,136567,125146,126676,124711,126215,125169,126670,128034,130341,118070,125501,125154,125400,98237,98329,96013,92627,73372,62636,62743,49860,50118,50838,49999,49304,49920,43293,22873,22868,
开发支出(万元),78,96,404,2093,1702,1194,2411,1871,1003,510,280,104,31,431,386,356,545,423,307,307,619,507,546,446,--,--,--,--,--,--,--,--,
商誉(万元),20016,19380,18585,26122,42906,43425,43895,44037,44536,44536,46639,46639,50159,49264,46779,46696,46363,25070,25070,25070,10587,10587,10587,10282,10173,10173,3213,2489,2656,2455,4117,--,
长期待摊费用(万元),16580,16211,14098,18057,15191,16272,17143,17676,15810,15948,14157,16705,10041,9409,7453,9170,7763,7214,7360,6328,5014,2761,2815,2689,2647,2681,2425,2296,1901,1967,1535,723,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3386,3385,3962,4109,6172,6143,6061,6124,4376,4393,4894,4890,3906,3848,3820,3856,967,980,981,691,364,364,347,347,202,202,193,202,266,150,74,533,
其他非流动资产(万元),1551,2455,1999,4635,3030,3053,3071,3112,2138,2153,4273,5090,2142,2109,4500,6865,--,1600,1900,5640,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),846530,859010,883129,881232,917297,916791,918510,910849,894708,892694,841706,830097,787616,773170,765197,750295,646427,607085,600421,534310,427937,401916,386959,362904,294367,281372,275118,271066,262756,246871,275031,213651,
资产总计(万元),2241158,2080962,2062330,2057734,2087770,2018232,1954696,1931815,1913684,1812594,1800636,1791445,1806851,1743126,1685555,1686385,1652838,1544988,1598720,1449666,1438633,1395862,1341080,1328090,1277524,1260888,1260702,1235360,741988,761440,782579,685215,
短期借款(万元),18318,11654,18294,23921,19105,14226,13439,18730,15025,5968,18963,28100,25553,17611,19302,25380,20900,20900,46500,--,220,--,--,--,--,--,--,--,--,3900,3800,1100,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,3041,2212,52,726,1023,961,2072,2685,1524,917,1291,1371,1121,1319,2167,2268,1059,810,488,199,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,360380,332851,345879,406295,325826,343979,322932,353401,277532,294044,271346,325753,270273,262257,249778,300428,220829,245681,193252,203022,177795,154730,158755,150551,151993,163975,150767,141765,124851,117818,120139,
预收账款(万元),180347,154509,161506,158148,153089,147594,115703,134132,121252,106023,103965,121341,101012,88525,88044,100559,68617,68141,78467,84729,54873,57390,61357,71194,43298,50711,48855,58837,33197,39358,34007,33333,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),22573,21861,16662,28040,18785,18852,15571,21628,18774,18461,14151,20989,17581,16336,12422,19685,20150,21096,17922,21270,19340,19293,14162,22318,19570,18836,15993,21657,18507,17919,15884,16530,
应交税费(万元),4760,5326,9405,7514,5862,7667,7561,8992,8508,8048,7562,10131,5491,8686,2243,7907,-3587,-4833,-5673,-2836,-1323,1222,1117,-3344,-433,1192,-1710,-2895,885,-3748,-1427,-1335,
应付利息(万元),152,109,118,21,114,45,50,117,2391,143,245,272,181,205,69,110,330,158,80,--,--,--,--,--,--,--,--,--,--,2,1,1,
应付股利(万元),251,251,173,173,173,173,173,173,173,173,249,173,173,199,173,173,216,756,457,8,--,--,--,75,--,--,--,--,22218,64025,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,71297,75910,69339,87570,77167,81811,71271,79777,69891,72347,76991,85708,86740,87683,83444,71462,69314,98300,57905,85298,51238,48531,42948,32161,35124,34093,35967,33172,36121,39965,36883,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,60,245,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),329,841,205,779,451,990,537,532,856,1038,326,391,--,--,--,68,--,--,--,--,--,--,928,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),757303,629268,617397,634638,692169,593564,579784,580578,602841,488802,512769,531025,562823,489696,473511,489271,480785,397420,482544,354817,361628,306938,280825,291946,245146,257856,261207,264333,249744,282428,210049,206651,
长期借款(万元),--,1000,1198,1070,2156,2293,1666,4891,6853,5933,16740,17288,18932,18347,20387,26195,35367,1953,2070,2000,2030,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),72722,--,901,901,901,901,901,901,901,901,901,901,901,901,901,901,4876,4876,4877,1,1,1,1,1,--,--,--,--,--,--,--,--,
专项应付款(万元),--,72067,71401,70947,70765,70041,70016,72092,71760,71768,71802,71905,72586,72653,72669,72721,85817,85946,83662,83101,83852,84153,84737,83681,85457,76299,75792,75853,72931,72295,46565,39545,
预计非流动负债(万元),--,--,35,--,--,--,--,--,--,--,--,--,--,--,--,--,35,35,35,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),39756,39967,37608,38063,37402,38050,38000,38704,34476,34060,35301,34474,25246,23997,26187,26403,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),9,9,831,831,1152,1165,1193,1206,1246,1259,1322,1335,974,1024,1048,1028,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3550,3267,3056,3588,1636,1638,1641,2108,1837,1837,1948,1948,1550,1637,1560,400,
非流动负债合计(万元),112488,113043,111974,111812,112377,112451,111777,117794,115236,113922,126067,125903,118639,116923,121192,127249,129645,96077,93700,88690,87519,85792,86379,85791,87294,78136,77740,77800,74481,73932,48125,39945,
负债合计(万元),869791,742311,729371,746450,804546,706015,691561,698373,718077,602724,638836,656928,681462,606619,594703,616520,610430,493497,576244,443506,449146,392730,367204,377737,332441,335993,338946,342133,324226,356360,258174,246596,
实收资本(或股本)(万元),254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,254490,203590,203590,150000,16667,
资本公积(万元),285190,285190,285190,285190,284847,284847,284847,283779,284068,284068,284068,284068,284068,284001,283993,283993,281664,281664,281909,304429,304464,304464,304475,304429,304919,304919,304919,304919,-75626,-75615,80138,141776,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,8159,7330,7330,7593,7593,8064,8256,13162,9576,
盈余公积(万元),168839,168839,168839,168839,160736,160736,160736,160736,157379,157379,157379,157379,147436,147436,147436,147436,140751,140751,140751,139343,129980,129980,129980,129980,122263,122263,122263,122263,114850,114850,109606,136038,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),594090,561462,548486,521912,500748,529770,480804,451596,423054,437935,388366,363422,365184,377417,333171,311853,297309,306940,273572,245964,249879,264509,236377,212221,227381,206272,206462,178428,144871,132707,146997,134552,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,130,497,303,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),1312660,1278732,1260929,1238718,1211034,1240701,1191954,1162006,1127175,1140936,1093871,1067635,1060288,1071484,1026597,1005854,982502,992501,959184,952385,946972,961602,933482,909279,916384,895275,895727,867694,395749,383788,499904,438610,
少数股东权益(万元),58706,59918,72031,72566,72190,71515,71181,71436,68433,68934,67929,66881,65102,65023,64256,64011,59907,58990,63291,53775,42515,41529,40394,41075,28700,29621,26029,25534,22013,21292,24501,9,
所有者权益(或股东权益)合计(万元),1371366,1338651,1332959,1311284,1283224,1312216,1263135,1233442,1195607,1209870,1161800,1134517,1125389,1136507,1090852,1069865,1042408,1051490,1022476,1006160,989487,1003132,973876,950353,945083,924896,921756,893227,417762,405080,524405,438618,
负债和所有者权益(或股东权益)总计(万元),2241158,2080962,2062330,2057734,2087770,2018232,1954696,1931815,1913684,1812594,1800636,1791445,1806851,1743126,1685555,1686385,1652838,1544988,1598720,1449666,1438633,1395862,1341080,1328090,1277524,1260888,1260702,1235360,741988,761440,782579,685215,		
  
