报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,27441,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
存货(万元),107361,99850,104781,96567,84107,106127,109971,151037,86013,121126,124494,159157,111565,186682,195086,200267,140604,197877,167431,201198,142557,--,174310,193761,171651,120424,88822,71666,55344,54217,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
其他流动资产(万元),144544,142670,138770,126961,123778,101017,74526,71639,72495,47428,45892,41921,49484,25906,29472,43658,54004,31553,42009,--,--,--,--,0,--,--,--,--,--,--,0,
流动资产合计(万元),3150452,3433858,3362195,2915830,2680958,2963591,2878820,2958860,2342623,2120286,1764930,1749847,1780528,2108625,2141613,2111855,1928243,2049990,2240216,2196852,1622319,--,1811532,2478695,2318189,1370755,1531401,1712465,1501622,1261565,602673,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),253564,148043,30481,386708,276708,162763,13556,13556,13556,16702,16702,16702,16702,4543,4163,4163,4163,3383,--,--,--,--,--,0,--,--,--,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,2271,2271,2271,2271,2271,2271,2271,2271,2271,2271,2271,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
长期股权投资(万元),1034974,993330,985104,558823,530400,404825,376405,364355,338824,311775,311717,307514,303641,316004,334513,306677,300861,286717,264196,262209,232684,--,250872,263395,258850,250644,193883,190430,108017,76636,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
固定资产原值(万元),6642142,--,5480536,--,5480337,--,5049427,--,5048538,--,4585940,--,5509174,--,5536795,--,5469609,--,4931688,--,4914669,--,4493526,4431976,4424082,--,2952316,--,--,--,0,
累计折旧(万元),2572669,--,2403003,--,2292546,--,2114712,--,2002208,--,1828192,--,2118685,--,2167291,--,2030241,--,1846282,--,1673615,--,1509464,1441420,1361385,--,951066,--,--,--,0,
固定资产净值(万元),4069472,--,3077533,--,3187792,--,2934714,--,3046330,--,2757748,--,3390489,--,3369504,--,3439369,--,3085406,--,3241054,--,2984062,2990556,3062697,--,2001250,--,--,--,0,
固定资产减值准备(万元),15280,--,12853,--,12853,--,2012,--,2012,--,2012,--,2262,--,11429,--,11429,--,367,--,367,--,367,367,367,--,372,--,--,--,0,
固定资产(万元),4054192,3477469,3064679,3117588,3174939,2892448,2932702,2987871,3044318,2719441,2755736,3330998,3388226,3302103,3358075,3414098,3427940,3046819,3085039,3157915,3240687,--,2983694,2990189,3062330,2369686,2000878,1929815,1493234,883518,671599,
在建工程(万元),--,1715692,1610873,1509741,1459383,1619827,1517141,1422337,1380556,1667049,1602514,1323751,1282119,1280755,1150674,1127663,977295,1157658,1014469,889036,813245,--,732069,584139,502283,644003,636187,554428,468622,551100,326687,
工程物资(万元),--,--,11861,4670,3369,1223,1696,1073,434,1196,1703,344,321,743,807,5087,3475,5558,9081,9473,10644,--,13231,16124,15117,2317,30215,33093,2421,15453,0,
固定资产清理(万元),568,--,673,1249,714,160,160,--,--,--,232,--,--,78,25,22,22,102,--,--,--,--,--,95,95,16,--,--,24,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
无形资产(万元),2249656,2256974,2261572,2291076,2282610,2130887,2119810,2124853,2136486,2137434,2148114,2107783,2119842,2141658,2154035,2166812,2179231,2157795,2168490,2181204,2191338,--,2191961,2195486,2192979,1984928,1978399,976143,724661,667961,105552,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
商誉(万元),873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,873,--,873,873,873,873,873,--,--,--,0,
长期待摊费用(万元),24374,42646,43327,44626,45895,43947,45327,46742,48095,65760,51380,53712,55101,51496,48152,50213,50687,33494,33451,33978,34487,--,34816,11030,10955,7962,5015,2894,1427,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),70830,72248,71531,73669,73153,59464,58785,58018,54876,41371,44272,43795,43782,66147,61778,78769,72655,65906,63389,54558,52376,--,38709,44331,41376,35272,28608,19089,14293,16142,0,
其他非流动资产(万元),6206,33265,19450,14701,11719,7568,6258,5709,6000,3930,3305,53642,54032,53349,57594,78023,54429,63805,89744,--,--,--,--,0,--,--,--,--,--,--,0,
非流动资产合计(万元),8902512,8740539,8100424,8003724,7859763,7323985,7074984,7027658,7026288,6967803,6938819,7241385,7266910,7220018,7172961,7234670,7073903,6822109,6728733,6589247,6576333,--,6246227,6105662,6084859,5295701,4874058,3705892,2812700,2210811,1148500,
资产总计(万元),12052963,12174397,11462619,10919554,10540721,10287576,9953804,9986518,9368910,9088089,8703749,8991232,9047439,9328643,9314574,9346525,9002146,8872099,8968949,8786099,8198652,8519066,8057759,8584357,8403048,6666456,6405459,5418358,4314322,3472376,1751172,
短期借款(万元),--,311000,323000,290000,330000,210000,350365,615000,658500,560500,550500,584000,765100,652600,682600,741665,701300,544600,647180,875000,945000,--,621368,1099916,1041916,49500,299300,109500,255075,228537,93475,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
衍生金融负债(万元),--,1,1,1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付票据(万元),--,--,412421,336741,459876,306367,306938,421186,289466,235072,120603,134323,155584,281866,257142,130709,137997,174417,156278,78959,81510,--,124589,262521,249539,56966,25741,55710,55746,1766,0,
应付账款(万元),--,--,874930,855653,881270,857315,885856,883186,894377,897066,911964,1114534,1148160,1021307,1016151,1138359,1076920,936417,854731,818811,930986,--,720048,800078,911161,684052,539010,571600,356778,277552,0,
预收账款(万元),332325,536779,354820,323830,294340,386368,226686,266816,179336,237854,109291,90644,78792,112572,95824,89285,87483,123040,106747,177860,215739,--,139519,204997,187197,209406,295532,218334,165443,84236,0,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付职工薪酬(万元),123415,114568,107586,123974,124957,83595,92323,110264,122121,100934,111836,196816,206040,176199,153727,141136,150547,149672,154561,148649,143322,--,132604,134624,133133,93178,118413,85388,60939,40986,0,
应交税费(万元),421434,283919,229612,286072,352099,248715,203753,246454,243712,134991,82733,110604,108717,104391,107451,139491,129320,138007,156881,134023,97651,--,210935,242376,181210,432962,336571,284219,168007,82014,0,
应付利息(万元),10459,6913,8307,5645,4090,15944,12556,10632,7384,3311,12385,10806,8051,4824,19812,15343,9184,561,16477,9631,7449,--,21523,27108,17030,6363,18641,9866,996,--,0,
应付股利(万元),32521,5948,452461,16809,17793,13432,132062,11769,16469,41720,51557,61363,65556,132999,82601,36269,41719,156164,254864,37070,30476,--,269202,11897,1932,66,88467,53,4,1619,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他应付款(万元),--,--,125393,128574,99060,132550,114064,134916,115441,151274,155348,192667,171385,210616,192348,195243,150568,160945,154545,143125,122480,--,143823,147006,205042,140963,148202,292506,341081,452580,0,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动负债(万元),258250,291950,205450,371626,293826,492169,760769,807299,832699,576550,657938,288219,185019,745346,43646,97750,111751,61856,67958,69647,75247,--,134367,109103,78366,76204,76453,46462,54333,71359,0,
其他流动负债(万元),14795,18229,21816,24568,18906,16161,19798,11015,17863,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,200,--,0,
流动负债合计(万元),2867918,2990363,3115797,2763493,2876217,2762615,3105171,3518536,3377368,2939271,2764156,2783975,2892404,3442719,2651301,2725250,2596790,2445679,2570221,2492776,2649860,--,2517978,3039626,3006526,1749661,1946331,1673638,1458603,1240647,623675,
长期借款(万元),1194108,1001304,1090354,1064607,1072207,1143820,980270,929370,910870,1331647,1254608,1598806,1578906,1118967,1765117,1591585,1423312,1411266,1371135,1125083,900518,--,801449,795060,844510,837714,883043,888017,596461,266180,178658,
应付债券(万元),299256,299174,299089,99721,99694,99666,--,--,--,--,5000,5000,5000,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,102421,102421,
长期应付款(万元),--,528513,519231,518999,518770,518347,518116,517886,517655,517280,517050,516819,516609,507517,516200,515970,515739,516138,516387,516790,517067,--,521817,501576,501576,524851,536518,46101,71119,207151,154105,
专项应付款(万元),--,--,3922,3922,3922,3922,3922,3922,3922,5019,5019,9423,8523,12925,12925,12332,12016,33466,33466,33466,33466,--,31340,30830,30530,24178,6891,6771,4111,2692,0,
预计非流动负债(万元),501744,533840,94627,93646,92666,88835,87917,86998,86080,85571,84545,99203,98013,102466,101165,99855,98561,97392,94912,93378,92153,--,89551,88230,83723,78984,76460,74122,65682,23848,0,
长期递延收益(万元),17760,18906,19308,19615,20081,17542,16239,16087,15982,12518,13419,20561,20506,17856,18115,18637,18868,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延所得税负债(万元),0,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,807,164,164,164,--,218,164,164,164,164,164,164,164,0,
其他非流动负债(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14568,15367,15425,15483,--,14736,13621,14664,6857,2604,2604,1554,200,0,
非流动负债合计(万元),2546156,2381900,2026694,1800673,1807503,1872295,1606627,1554426,1534673,1952199,1879805,2249975,2227721,1759894,2413685,2238543,2068660,2073637,2031432,1784307,1558852,--,1459111,1429481,1475167,1472748,1505679,1017778,739091,602655,523141,
负债合计(万元),5414074,5372263,5142491,4564166,4683720,4634910,4711798,5072963,4912041,4891470,4643961,5033951,5120125,5202613,5064986,4963793,4665451,4519316,4601653,4277083,4208712,--,3977089,4469107,4481694,3222409,3452011,2691417,2197693,1843302,1146817,
实收资本(或股本)(万元),1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,900000,--,900000,900000,900000,900000,900000,900000,900000,900000,498716,
资本公积(万元),739507,739440,739440,739342,739342,738916,738916,738916,738916,738915,738915,737047,737047,734873,734873,734925,734925,728107,727027,727027,446053,--,444326,444326,444326,444326,443849,517498,583971,475405,0,
减:库存股(万元),127920,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
专项储备(万元),210510,220074,186348,156613,112437,163989,134758,97956,57102,63834,43848,32896,20652,84895,56646,63438,25957,98319,73278,62699,31453,--,43355,71931,29895,53011,151415,84747,59094,39078,0,
盈余公积(万元),272204,205869,205869,205869,205869,197147,197147,197147,197147,197147,197147,197147,197147,177343,177343,177343,177343,148015,148015,148015,148015,--,103751,103751,103751,58977,19868,19868,423,--,0,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
未分配利润(万元),2977730,2833201,2541206,2648932,2364790,2135406,1875853,1705951,1438572,1262747,1185178,1159199,1163084,1301175,1386258,1482420,1511741,1538243,1528501,1625860,1565920,--,1531877,1570272,1486561,1204655,784895,606353,218736,2528,0,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
归属于母公司股东权益合计(万元),5066441,4997479,4674194,4750756,4422438,4235457,3951664,3744960,3436727,3262643,3165088,3126289,3117930,3298286,3355121,3458127,3449968,3512684,3476821,3563601,3091441,3096948,3023309,3090280,2964534,2660969,2300028,2128465,1762224,1417012,604355,
少数股东权益(万元),1572448,1804655,1645934,1604632,1434563,1417209,1290343,1168596,1020142,933977,894700,830993,809383,827744,894467,924605,886728,840099,890475,945415,898499,--,1057361,1024970,956820,783078,653421,598476,354405,212062,0,
所有者权益(或股东权益)合计(万元),6638889,6802134,6320128,6355388,5857001,5652666,5242007,4913555,4456870,4196619,4059788,3957282,3927314,4126030,4249588,4382732,4336695,4352783,4367296,4509016,3989940,4105797,4080670,4115250,3921354,3444047,2953449,2726941,2116628,1629074,604355,
负债和所有者权益(或股东权益)总计(万元),12052963,12174397,11462619,10919554,10540721,10287576,9953804,9986518,9368910,9088089,8703749,8991232,9047439,9328643,9314574,9346525,9002146,8872099,8968949,8786099,8198652,8519066,8057759,8584357,8403048,6666456,6405459,5418358,4314322,3472376,1751172,		
  
