报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,2,18,--,--,--,1,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1804,2298,1504,2939,3430,3089,3138,4397,3949,1718,1838,1229,1646,1221,892,2810,1537,1161,1261,1819,1365,1416,1191,3657,1075,1176,325,1363,1179,1043,595,11993,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),93812,83345,59385,53727,62202,133062,113555,127449,133449,167117,128374,163827,168114,131445,126453,118371,121864,119753,114102,126788,134370,144810,132129,154844,128929,82037,71925,70627,56942,44370,26883,17650,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),72632,74163,70927,93066,55395,791,1927,11931,18545,22425,20989,21707,19903,14397,13242,9728,6725,4769,6166,--,12,24,35,3,12,23,35,--,12,35,10,--,
流动资产合计(万元),218885,246243,209909,256675,194559,243555,241087,262610,278325,339290,237606,303452,322543,355421,238679,281971,331508,239622,186307,235124,290079,280217,252456,261345,264219,228915,179779,199300,102838,92438,66585,45467,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,2000,2000,2000,2000,2000,2000,2000,500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),4055,3936,3954,4193,4128,4067,4073,4065,3279,2835,1835,1987,2006,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),1200454,--,1090316,--,1027349,--,1059801,--,1053440,--,1011377,--,896507,--,624790,--,519656,--,511456,--,424796,--,417123,--,349159,--,265777,--,205246,174540,134875,--,
累计折旧(万元),341019,--,301142,--,268634,--,248658,--,212142,--,174058,--,140021,--,100751,--,98328,--,96176,--,79344,--,65326,--,51190,--,43008,--,34402,27190,15403,--,
固定资产净值(万元),859435,--,789173,--,758716,--,811143,--,841298,--,837320,--,756487,--,524039,--,421328,--,415280,--,345452,--,351797,--,297969,--,222769,--,170845,147350,119471,--,
固定资产减值准备(万元),2117,--,2144,--,102,--,161,--,103,--,104,--,105,--,9,--,65,--,74,--,74,--,74,--,74,--,74,--,75,81,46,--,
固定资产(万元),857318,785557,787029,804140,758613,782957,810982,820978,841195,856982,837215,791452,756381,536345,524030,481167,421262,435445,415206,386369,345378,349433,351723,331573,297895,219638,222696,167570,170770,147269,119426,55721,
在建工程(万元),69572,127359,108027,63445,97042,72202,43687,27479,21308,12051,31990,66484,76921,53684,66208,83131,125591,76147,85715,78383,89956,42901,36682,38068,52460,84491,44225,48032,42246,19909,11529,23462,
工程物资(万元),274,315,4816,1481,689,11,11,11,18,107,135,9260,4774,22135,16130,6887,7504,4237,5845,8540,8324,3121,1911,2637,6893,11693,7524,9901,8732,2703,16691,13784,
固定资产清理(万元),362,24,15,8,40,--,8,11,11,4,--,321,285,--,--,38371,14396,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),84180,84632,84575,80563,80516,81015,81375,74643,75249,74301,74644,68903,69377,44043,44059,44112,49464,49798,48324,48517,32695,27409,27631,26617,23512,23656,22550,21501,20169,19327,11223,8642,
开发支出(万元),3,--,--,--,483,483,483,1116,1116,1116,1116,1192,1028,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),10295,9668,9056,8467,8557,8868,8621,7194,7833,8366,8800,8492,8413,5134,4769,5699,5799,6229,4883,4706,5143,3886,2914,2493,2268,1773,1886,2038,2068,2322,2800,1643,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),15268,14582,13291,11071,10456,8874,7387,5379,6980,7721,7907,10373,10683,8770,8858,7849,7542,7443,7332,2436,2369,1942,1831,846,918,240,265,259,229,318,191,243,
其他非流动资产(万元),41808,49262,48941,63536,50319,43279,36848,45031,42821,50380,43756,52042,37567,28901,27981,49370,37041,57212,28951,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),1083135,1075335,1061705,1038904,1012843,1003755,995475,987908,1001811,1014362,1007399,1010506,967437,699044,692034,716586,668599,636512,596255,528952,483865,428692,422693,402233,383946,341490,299145,249301,244214,191849,161859,103536,
资产总计(万元),1302020,1321578,1271613,1295579,1207402,1247310,1236562,1250518,1280136,1353652,1245005,1313958,1289980,1054466,930713,998557,1000108,876134,782561,764076,773944,708909,675149,663578,648165,570405,478924,448601,347052,284287,228444,149002,
短期借款(万元),81657,63059,28032,106315,208211,224278,231062,253866,263947,280657,217800,204500,154500,114500,118100,133800,166800,160900,158200,163100,213900,244300,234800,216790,196990,157890,110990,101900,101869,72400,66629,28297,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),10476,8856,6500,5600,5552,1601,11055,41229,71695,58543,29650,20964,37644,33461,21608,28422,18481,--,--,--,--,--,--,8800,9300,12300,9300,--,--,4526,13000,14100,
应付账款(万元),71203,78591,70899,74041,59051,59801,67401,78478,96690,129470,108742,146761,122983,63292,76773,75113,53246,54378,45547,41569,27058,43543,25927,38112,39450,21663,13302,14245,27419,12846,8272,21568,
预收账款(万元),11847,11399,11439,13519,11756,13243,12930,14085,10521,9548,9935,8134,7157,7602,7080,8773,6575,8445,6928,8393,6084,5458,6873,5676,4772,3984,4527,3890,4737,8429,6786,3457,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),4105,3430,8692,5279,3193,2137,3296,2274,403,708,1820,1614,1467,288,561,121,107,54,109,137,187,166,131,10,57,182,473,206,187,190,185,98,
应交税费(万元),17726,16635,18563,17849,15010,15505,14200,6756,4823,4630,5846,3779,4328,394,3179,2552,1631,2473,8346,-497,-4577,-11253,-7713,-5928,-6120,-1805,286,-220,-2770,2851,4054,142,
应付利息(万元),921,1476,700,686,613,1135,654,563,641,813,804,4690,4103,650,672,658,698,504,589,1715,1177,656,637,582,586,--,365,60,280,270,361,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),39802,49987,50320,49870,50012,38210,38708,41078,23397,25987,27265,64635,64578,15380,16078,18921,15012,12859,12971,13844,14055,14798,13053,12910,11782,9037,8559,7192,6921,4941,4301,16228,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),29100,9800,4000,11600,22082,50095,55050,20120,24650,42600,63400,28300,43500,30300,39100,27740,33994,22164,39772,16050,18450,19338,19338,18013,22013,10000,10000,12611,12611,11000,8500,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,10,10,10,--,--,--,--,--,
流动负债合计(万元),266837,243233,199145,284759,375481,406004,434356,458449,496769,552955,465263,483376,440260,265868,283151,296100,296544,261776,272463,244311,276334,317006,293045,294976,278839,213261,157813,139885,151253,117454,112089,83891,
长期借款(万元),184744,190293,191557,159957,117559,120900,102320,133580,150150,198000,179500,232000,243100,172500,163700,184700,181196,208876,107580,151022,147834,80763,75763,88088,88088,91100,67000,63389,100539,79650,62000,47900,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),70000,70000,100000,111342,13060,14775,21478,23211,25019,5003,5996,1878,2749,3611,4457,5383,6110,6918,9053,11043,13076,5122,6443,7624,8822,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,24505,24771,51726,49585,49016,47609,83193,92872,50592,51505,39298,37994,13277,13812,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),70397,71618,72835,70296,71815,73578,75340,77691,78976,56000,57129,32339,33074,30928,31299,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),298,353,321,597,607,618,629,--,--,--,--,--,--,--,--,110,110,110,110,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30865,30678,28635,28922,14374,10161,9132,9316,5299,5482,--,--,--,--,--,--,--,
非流动负债合计(万元),325439,332264,364712,342192,203041,209871,199767,234482,254145,283508,267395,317944,328508,256056,247065,304251,310965,295131,197170,215737,209065,108293,105332,101010,102391,91100,67000,63389,100539,79650,62000,47900,
负债合计(万元),592276,575497,563858,626950,578521,615875,634123,692932,750914,836464,732658,801320,768768,521923,530216,600351,607509,556907,469633,460048,485399,425299,398377,395985,381230,304361,224813,203274,251792,197104,174089,131791,
实收资本(或股本)(万元),268897,269140,269251,268444,268444,260834,260834,260834,250414,252529,252529,252543,101017,101879,83921,83921,83921,69389,69423,69423,69426,69376,69446,69451,69466,66800,66800,66800,50000,50000,25000,15000,
资本公积(万元),185162,183194,178740,171495,166053,150524,146562,141340,134293,135099,135099,138488,289761,320040,209386,212371,211767,146891,145923,144774,143636,142283,141519,140554,139205,131218,131218,131218,1913,1913,9225,--,
减:库存股(万元),17548,28013,28193,25732,31848,16985,16985,16985,--,2921,2921,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),27143,27143,27143,16274,16274,16274,16274,11841,11841,11841,11841,11841,11841,10813,10813,9515,9515,9515,9515,8171,8171,8171,8171,5727,5727,5727,5727,3702,3702,3702,2038,266,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),243275,290701,258481,237575,208655,219898,195350,159493,131467,119576,116278,110878,118598,99817,96386,92373,87369,93406,88068,81660,67313,63780,57636,51860,52537,62299,50366,43607,39645,31568,18092,1945,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,26,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),709744,746081,707756,668628,628881,631569,602487,557586,529222,517189,512347,512638,521212,532542,400497,398206,392598,319227,312929,304028,288546,283610,276772,267593,266936,266044,254112,245328,95260,87183,54355,17211,
少数股东权益(万元),--,--,--,--,--,-134,-47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),709744,746081,707756,668628,628881,631435,602439,557586,529222,517189,512347,512638,521212,532542,400497,398206,392598,319227,312929,304028,288546,283610,276772,267593,266936,266044,254112,245328,95260,87183,54355,17211,
负债和所有者权益(或股东权益)总计(万元),1302020,1321578,1271613,1295579,1207402,1247310,1236562,1250518,1280136,1353652,1245005,1313958,1289980,1054466,930713,998557,1000108,876134,782561,764076,773944,708909,675149,663578,648165,570405,478924,448601,347052,284287,228444,149002,		
  
