报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),15020,0,15044,6955,8021,39425,34111,10545,35485,45276,10048,15830,89954,22989,53895,29156,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),143035,158208,135455,138024,116768,123677,110304,154074,101471,127629,114540,142049,116891,120679,130198,145538,144743,134364,155873,190916,176611,122996,124173,136591,136354,95304,94528,111056,113900,137683,106005,106548,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),18416,--,7150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),201727,169104,94591,89759,169469,187731,105691,167619,141293,86014,86299,48293,46843,53672,61979,5539,5638,119931,76955,10000,--,--,12821,--,--,--,--,--,--,--,--,5000,
流动资产合计(万元),753243,837553,789480,824946,841714,861183,695396,814396,761165,749479,584086,638742,645618,657069,671852,678972,619715,748970,683038,703123,659009,730302,710281,674448,625911,618234,577569,533199,580771,536405,390003,366656,
发放贷款及垫款(万元),101138,98486,102484,97645,93474,88272,77886,88634,74836,104923,187857,241103,185962,192837,166159,134008,136236,59414,93453,84826,72532,70496,80811,53918,87011,92818,89272,61067,63713,44733,50832,49891,
可供出售金融资产(万元),--,--,--,18813,18813,19984,23802,23865,23573,25088,25088,25045,25943,27182,30234,28116,28594,14015,5391,5256,5674,6521,7697,7662,7843,8157,9568,9931,14285,18648,10868,4816,
持有至到期投资(万元),--,5798,5760,5871,5834,5797,5760,5872,5835,8609,8571,9312,--,--,--,--,--,7477,9536,11427,2560,--,--,2084,5209,12727,7441,--,9853,100,1114,--,
长期应收款(万元),28099,32398,22868,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),13120,13486,14030,14209,14147,14236,14398,15341,14910,15116,14896,15693,15064,15099,14970,14593,6585,866,9024,9018,9003,8982,8983,8998,8883,8134,8134,11672,11859,11810,7408,8111,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3015,3048,3082,3116,3150,3184,3217,3251,3262,3319,3386,3451,3530,--,--,
固定资产原值(万元),663555,--,647642,--,644505,--,618531,--,614035,--,582028,--,578245,--,556227,--,543653,--,523767,--,517080,--,438074,--,376743,--,330106,305932,282961,282211,--,--,
累计折旧(万元),363722,--,351938,--,338035,--,327034,--,314780,--,302224,--,289724,--,279934,--,267855,--,259340,--,247848,--,221713,--,188533,--,175586,168692,164716,163893,--,--,
固定资产净值(万元),299833,--,295704,--,306470,--,291497,--,299255,--,279804,--,288521,--,276293,--,275798,--,264427,--,269233,--,216361,--,188210,--,154520,137240,118245,118318,--,--,
固定资产减值准备(万元),5547,--,3447,--,3448,--,2170,--,2170,--,1982,--,1844,--,1902,--,1906,--,1851,--,1851,--,509,--,511,--,512,512,594,596,--,--,
固定资产(万元),294286,287422,292257,296892,303022,283155,289327,294471,297086,297378,277821,282315,286676,275959,274391,272476,273892,260018,262576,266809,267381,221269,215852,217929,187698,151370,154008,136728,117651,117722,110268,119378,
在建工程(万元),--,37654,38061,33808,29075,53102,46056,36792,37682,38545,61911,60573,61339,73319,73099,72246,64281,78090,57960,46767,42440,59145,63055,56425,53714,59714,59131,69631,81095,65333,13601,8880,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),84234,85060,84677,85270,85972,86186,88351,88960,89664,90210,90659,91465,92235,92480,93042,93826,94715,93705,94436,95098,95792,88141,88301,88917,84873,75982,76251,76689,21520,21520,9989,11027,
开发支出(万元),--,--,0,0,0,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,0,0,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,878,--,--,--,--,--,--,--,--,
长期待摊费用(万元),4124,4060,4315,4382,4602,3951,3817,3936,4022,3779,3548,3534,3405,2789,2549,2475,2338,1725,1865,1918,1692,1910,1729,1775,863,303,382,303,332,409,436,190,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),12549,13301,13304,13602,13623,12459,12504,12250,12277,11780,11762,10970,11002,10053,10055,9209,9214,7981,8426,8007,7635,7928,7040,6790,6459,6357,5392,4667,5620,3883,5938,5044,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,470,1472,2666,4176,9506,12991,10076,3908,356,
非流动资产合计(万元),560831,577667,577756,570493,568563,567142,561902,570121,559886,595427,682114,740011,681627,689719,664500,626948,615855,526304,545714,532209,507825,467540,476651,449064,447275,421490,417075,383579,342371,297765,214362,207692,
资产总计(万元),1314074,1415220,1367235,1395439,1410277,1428325,1257297,1384517,1321051,1344906,1266200,1378753,1327245,1346788,1336352,1305919,1235569,1275274,1228752,1235332,1166834,1197842,1186932,1123511,1073187,1039724,994644,916779,923142,834170,604365,574347,
短期借款(万元),277752,299308,234092,215929,203388,184423,153143,159888,157945,169533,166251,194671,193895,177532,165178,163074,164453,147832,72935,57010,29244,35150,17903,34070,37274,97482,88766,96547,129334,42573,15600,22500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),108052,71230,99253,58621,78020,91561,62683,60490,58829,35631,30721,26224,52721,36921,91681,56242,57625,57036,78405,49688,56911,63766,59100,77408,111029,72280,110966,108938,60011,54042,26022,14373,
拆入资金(万元),--,0,0,35000,30000,0,0,0,25000,0,0,0,35000,0,10000,20000,35000,--,--,--,35000,10000,--,--,36000,10000,25000,20000,--,10000,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),273,0,500,3900,1280,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,114994,90732,82050,124471,112640,131072,141711,147762,106735,109071,129980,131985,84416,78056,91637,130435,117288,85006,65428,77804,72884,64747,51813,67645,65652,58504,83917,54452,54786,45968,
应付账款(万元),--,--,146963,216814,146533,172877,137831,234164,138417,218252,191594,264809,152675,226602,217843,228722,135058,191565,182840,250743,209233,228570,248543,236252,203023,202876,197076,160818,178314,148235,118257,110639,
预收账款(万元),--,16161,17136,16166,23622,12767,14220,14052,19966,15537,19707,26245,30308,13519,11992,13370,26690,18544,15614,25967,26060,14711,14653,23940,22493,13941,13366,24298,23978,56279,28842,35968,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9950,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),18949,12270,11917,11745,12352,11745,11846,10927,10591,10965,10826,10493,10291,10267,10225,9989,10071,10865,11813,11236,11138,13205,11914,11948,10560,10742,11006,10844,22427,19742,20055,7069,
应交税费(万元),2456,2154,1621,1546,1736,1651,2153,2660,2543,-25741,-27295,-23379,-34709,-21270,-26670,-24186,-32670,-32278,-34180,-29488,-35157,-27349,-29087,-25786,-30195,-22263,-26770,-25183,-20999,-22175,-7334,-10285,
应付利息(万元),2051,1617,352,2875,6186,3698,2129,3232,5515,3885,1766,3484,5372,5411,4343,4276,5752,3772,1995,3401,5503,3741,1964,731,581,432,425,410,462,430,34,--,
应付股利(万元),827,0,0,0,0,--,5447,--,--,--,3913,--,--,--,5291,--,--,19,5975,--,--,1296,24621,15265,16170,--,--,--,6767,--,1611,896,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,26775,26146,27612,24703,25376,25507,25726,24762,26984,29525,24276,26018,26523,25964,25688,29316,28576,26274,21272,32450,29122,27477,30477,27710,31237,45500,27834,24388,17799,21266,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),7666,4233,4188,72206,152204,153114,153159,83348,3442,3785,3782,3384,3240,3284,2858,2862,3006,2207,32207,30102,30102,102,102,102,7952,8352,2702,502,102,102,102,7603,
其他流动负债(万元),19614,4584,6783,6902,9784,8725,7924,9457,9337,11883,11055,11772,9804,14342,13527,12188,5324,11587,11080,13400,8795,16725,12164,8965,7129,8203,9376,6478,15030,8094,6643,5498,
流动负债合计(万元),718318,737605,664576,758582,774768,789734,688550,734796,599022,616254,546039,656299,612854,624611,617206,590557,527633,570899,524548,523339,463527,470170,463882,475119,504307,497399,528800,507657,527174,406109,282416,261493,
长期借款(万元),86847,89671,89671,68869,68901,65000,0,922,913,1872,1844,2749,2661,3580,3435,4166,4660,6314,6314,8419,8419,38239,38239,30000,61750,31750,37400,18600,20000,60000,1347,19469,
应付债券(万元),--,--,--,0,0,0,0,69841,149669,149608,149546,149486,149428,149369,149310,149253,149197,149141,149085,149030,148977,148924,148870,79462,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),398,332,332,332,1370,1370,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),16936,18102,18106,18344,18466,19883,18430,18423,17663,18070,17563,18153,18493,17373,18370,16985,17463,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),13098,13394,13063,2825,2874,3047,3387,3441,3420,3608,3708,3711,3951,4064,4731,4395,4534,4872,4877,4924,4992,1377,2402,1490,1521,1484,1493,1513,1743,2706,1311,433,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17333,17572,18076,18089,17896,18370,18360,16421,12899,18610,11450,11814,10952,11836,11364,
非流动负债合计(万元),130149,121499,121173,90371,91611,89300,21816,92627,171666,173157,172660,174099,174532,174386,175869,174798,175853,177660,177848,180449,180477,206436,207881,129312,79692,46133,57503,31563,33557,73658,14495,31266,
负债合计(万元),848467,859104,785748,848953,866379,879034,710367,827423,770687,789411,718699,830398,787387,798997,793076,765355,703487,748559,702396,703788,644004,676607,671763,604431,583998,543533,586304,539220,560732,479767,296911,292759,
实收资本(或股本)(万元),98585,98585,98585,98585,98585,98585,98585,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,99590,84590,84590,84590,84590,84590,84590,
资本公积(万元),209964,209963,209963,209963,209963,209968,209968,212669,212669,212669,212519,212425,212425,212425,212425,212425,212425,214104,213663,213548,216333,212469,212539,213805,207440,205211,144196,144494,146225,160127,162636,158138,
减:库存股(万元),--,--,--,0,0,0,0,2272,1914,917,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),327,368,382,373,367,544,518,483,449,415,364,352,244,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),44210,43844,44114,43844,43844,42391,42391,42391,42391,38974,38974,38974,38974,36897,36897,36897,36897,32675,32675,32675,32675,30288,30288,30288,30288,25173,25173,25173,22425,22425,20228,18443,
一般风险准备(万元),--,1275,1275,1275,1275,1077,1077,1077,1077,882,882,882,882,768,768,768,768,710,710,710,710,657,657,657,657,629,629,629,587,587,550,518,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),49308,133176,158105,132117,127322,130663,126549,135345,128941,135399,126051,123548,114299,124309,117822,117108,108037,108774,106791,111430,99682,107448,100554,102448,101409,112624,108650,80008,68839,48482,17347,-733,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2457,-1348,-1378,-1600,-3470,-3567,-2493,-2745,-2802,-3215,-2543,-1267,-1034,-890,-1167,
归属于母公司股东权益合计(万元),400708,486357,510829,484112,479731,482064,479206,489337,482934,487348,478870,475872,467388,474865,470510,467755,459347,453396,452081,456575,447390,446981,440061,444294,436640,440424,360022,332350,321399,315178,284461,259788,
少数股东权益(万元),64899,69759,70658,62373,64168,67227,67725,67758,67430,68146,68630,72483,72470,72927,72766,72809,72736,73319,74275,74969,75440,74254,75109,74786,52549,55767,48318,45209,41011,39225,22993,21800,
所有者权益(或股东权益)合计(万元),465608,556116,581487,546486,543898,549291,546931,557095,550364,555494,547500,548355,539858,547791,543276,540564,532083,526715,526356,531544,522830,521236,515169,519080,489188,496191,408340,377559,362410,354403,307454,281588,
负债和所有者权益(或股东权益)总计(万元),1314074,1415220,1367235,1395439,1410277,1428325,1257297,1384517,1321051,1344906,1266200,1378753,1327245,1346788,1336352,1305919,1235569,1275274,1228752,1235332,1166834,1197842,1186932,1123511,1073187,1039724,994644,916779,923142,834170,604365,574347,		
  
