报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
其他应收款(万元),13465,24173,19963,18856,14700,19791,13142,13680,6775,11379,16176,8593,11699,8624,4798,3643,8803,7831,9210,7602,4268,4470,18356,2446,2993,2694,1710,2218,2365,1199,1107,1070,763,876,643,464,563,1651,479,348,350,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
存货(万元),115735,119615,112044,124117,101380,110651,60486,79419,87797,77092,56643,73346,48696,38283,28215,35336,43205,44234,36168,34361,35774,22613,24529,15239,15271,13809,11966,11569,12396,6838,7435,3942,3082,2404,1810,1311,1118,2379,843,1417,1074,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,550,748,1079,1044,282,371,198,258,--,44,19,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他流动资产(万元),34680,41456,42872,42622,52025,47768,56011,59831,14621,9328,19880,18766,1547,751,258,392,185,29,62,96,7,--,--,--,--,0,--,1000,1,--,--,--,--,0,--,0,0,30,0,0,0,
流动资产合计(万元),854987,856865,926597,877006,777765,683055,602270,802003,620876,534625,431201,457855,282798,234027,211706,216156,209876,186869,167975,172712,150753,134613,145197,108555,104335,101436,100436,101021,107857,100119,104236,106136,105278,100766,102839,101990,103469,21850,15800,9028,4581,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
可供出售金融资产(万元),4457,5407,12407,12407,12407,12407,15200,15407,15200,14300,4300,4300,4300,3150,3150,3150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
持有至到期投资(万元),824,824,824,824,824,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应收款(万元),--,--,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1500,1500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期股权投资(万元),105798,103801,35560,33365,30784,25096,20558,19844,20893,18612,17325,17507,16721,14782,11683,11645,13988,12648,12878,8612,8579,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,20,20,20,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
投资性房地产(万元),596,601,606,612,617,622,628,633,638,644,654,654,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),--,222866,--,213777,--,187376,--,207341,--,104974,--,91408,--,49965,--,45959,--,42873,--,41760,--,39205,--,33415,--,30475,--,28971,--,4757,--,1695,--,1493,--,1099,1069,1027,722,0,0,
累计折旧(万元),--,40469,--,34528,--,30408,--,24504,--,19971,--,16330,--,10668,--,9190,--,7770,--,6565,--,5196,--,2829,--,1894,--,1184,--,651,--,530,--,428,--,355,323,290,234,0,0,
固定资产净值(万元),--,182397,--,179249,--,156968,--,182837,--,85003,--,75078,--,39298,--,36769,--,35103,--,35196,--,34009,--,30586,--,28581,--,27787,--,4106,--,1164,--,1066,--,744,747,737,488,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产(万元),200932,182397,147623,179249,179282,156968,176121,182837,93631,85003,85296,75078,51418,39298,36576,36769,35110,35103,35030,35196,34943,34009,34162,30586,29413,28581,27726,27787,5700,4106,1207,1164,1050,1066,750,744,747,737,488,353,226,
在建工程(万元),46312,46348,44820,44548,40580,53739,93485,79082,32260,37192,26915,26277,6896,18122,16101,14530,16171,7115,9233,3192,4,--,--,0,184,184,184,184,16447,13697,13616,10747,3975,3057,131,130,0,0,0,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
无形资产(万元),24944,25241,25557,25267,26293,24338,24419,24464,25022,25019,25161,25154,16043,16024,16025,16108,7588,7632,7663,7687,7459,7505,7555,5496,5520,5511,5551,5588,5945,4975,5007,5035,5042,5011,5027,5045,5070,5096,0,0,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72,--,--,--,--,0,--,0,0,0,0,0,0,
商誉(万元),18673,18673,18673,18673,18673,18673,18673,18673,19575,19575,19811,19575,2420,2420,2420,2420,3113,3113,3113,3113,3487,2334,1621,1594,1594,1594,1594,1594,875,--,--,--,--,0,--,0,0,0,0,0,0,
长期待摊费用(万元),1645,1424,2256,1436,982,745,614,855,2218,2239,1300,1112,580,84,108,47,71,75,80,95,51,62,80,87,70,54,48,48,--,--,--,--,6,8,9,11,11,14,18,15,17,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
递延所得税资产(万元),31002,30439,28075,27155,24397,26364,26379,25446,14540,12776,10563,9711,2625,2441,2191,2191,1706,1713,1606,1606,1296,1215,1026,1019,843,843,815,815,627,618,531,531,352,352,336,336,304,304,148,83,18,
其他非流动资产(万元),4472,6357,3850,3961,319,435,809,1443,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
非流动资产合计(万元),439655,421512,323252,350498,338158,322389,379886,371684,226977,218358,194325,182368,104002,97819,89754,86861,77746,67398,69602,59501,55819,45126,44444,38781,37625,36768,35918,36016,29666,23395,20361,17477,10424,9493,6252,6266,6132,6151,674,471,282,
资产总计(万元),1294642,1278377,1249849,1227503,1115923,1005444,982156,1173687,847853,752983,625526,640222,386801,331846,301460,303017,287622,254267,237577,232213,206573,179739,189642,147336,141960,138203,136354,137037,137524,123514,124597,123612,115702,110259,109092,108256,109601,28001,16474,9499,4863,
短期借款(万元),323140,312754,257029,245157,241160,204433,143386,139375,119471,148152,89084,96797,79545,63000,46000,43200,38200,33000,24500,20290,10300,4510,10400,--,--,--,--,--,--,--,--,--,--,0,--,0,2600,2600,0,0,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付票据(万元),--,112678,124753,137898,167508,158134,212406,267471,198512,135580,103792,78442,34213,24810,28547,29842,20973,14450,15166,15646,12193,11768,11733,6076,4987,2002,702,1734,1090,--,--,--,--,0,750,750,336,336,50,0,0,
应付账款(万元),--,262249,273369,242954,154440,150592,154977,211737,103584,129571,110897,135588,85416,63481,43465,56872,57829,48964,37607,35769,33478,23458,21851,17114,17631,19524,17753,19132,19187,12623,12290,12881,8888,7914,6115,6458,6739,5883,3583,2276,880,
预收账款(万元),37110,41387,53065,42554,51712,22771,21871,55547,31376,24069,14393,25371,4569,7945,15073,6815,9679,7566,10424,11783,8557,4328,6290,2134,1727,1266,1004,408,2766,770,1626,1070,2111,277,255,335,804,975,1361,1802,564,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付职工薪酬(万元),3846,4124,2869,10411,5648,4399,2047,8203,3142,3237,3077,4133,509,403,375,1325,452,340,363,1647,363,295,244,949,214,208,183,169,192,135,115,80,63,49,37,37,27,27,26,15,15,
应交税费(万元),5237,6196,4174,12424,8929,9482,14972,14969,7637,7963,6570,8372,4379,2268,2719,4296,1093,408,1930,3018,1087,2532,1913,1825,728,692,679,1084,702,1113,491,1613,1014,1429,811,905,775,729,822,267,96,
应付利息(万元),--,1000,609,728,336,290,218,249,201,188,151,137,86,73,111,115,62,3,3,34,16,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付股利(万元),--,3266,508,508,889,946,839,1019,1709,1798,1211,1211,230,2559,237,237,237,417,--,--,--,2170,8345,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,117,50,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应付款(万元),65552,51873,69083,49893,45354,32463,6230,50436,10792,7510,3077,4256,3931,3509,3174,3367,6642,2594,1743,1574,1390,1188,736,240,29,31,25,26,292,137,68,0,213,151,-4,199,475,0,198,37,99,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,167,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动负债(万元),55294,28252,10763,10249,18673,8753,8124,8423,1838,2040,2516,2361,43,116,60,127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他流动负债(万元),9766,9682,7101,9925,--,--,--,--,--,--,--,25,--,--,9,8,--,--,--,--,131,87,92,--,131,87,47,--,--,--,--,--,--,0,62,0,0,125,0,455,305,
流动负债合计(万元),872717,833462,803323,762701,694649,592262,565071,757428,478262,460108,334769,356695,212921,168163,139769,146204,135167,107744,91735,89761,67515,50335,61602,28338,25448,23811,20394,22552,24229,14777,14590,15645,12289,9818,8025,8683,11922,10675,6040,4969,2007,
长期借款(万元),16700,44700,73400,81700,87200,79700,81500,77700,54500,8500,8500,6500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2000,--,--,--,--,0,--,0,0,0,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应付款(万元),23337,20015,--,17483,--,--,--,--,24500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,2565,--,462,--,--,--,--,--,--,--,--,--,--,--,8,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期递延收益(万元),28887,29677,24868,24932,20292,17633,21210,31267,4486,4153,4506,4592,90,--,90,90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,228,356,356,--,--,--,
递延所得税负债(万元),11284,11275,11236,11061,8101,11001,11888,11892,4888,4891,4893,4896,101,98,60,57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,306,264,233,294,346,398,450,521,375,406,51,37,120,--,--,--,50,0,164,0,0,0,0,0,0,
非流动负债合计(万元),80207,105667,109504,135176,115593,108334,117163,120860,88836,17544,17900,15988,191,98,150,147,306,264,233,294,354,398,450,521,375,406,51,37,2120,0,0,0,50,100,164,228,356,356,0,0,0,
负债合计(万元),952924,939128,912827,897877,810242,700596,682234,878288,567098,477652,352669,372683,213112,168261,139918,146351,135473,108007,91968,90055,67869,50733,62053,28859,25822,24217,20445,22589,26349,14777,14590,15645,12339,9918,8189,8911,12278,11031,6040,4969,2007,
实收资本(或股本)(万元),99757,99757,99757,99757,99757,99757,99757,99757,99757,100196,100196,100196,89058,88176,40080,40080,40080,40080,20040,20040,20040,20040,20040,20040,20040,20040,20040,20040,20040,20040,13360,13360,13360,13360,13360,13360,13360,10000,2389,2389,827,
资本公积(万元),85170,85170,85170,85170,85227,85227,85227,85227,85227,84788,84788,84788,6954,2836,50932,50932,50932,50932,70972,70972,70972,70972,70972,70972,70972,70972,70972,70972,70972,70972,77652,77652,77652,77652,77652,77652,77652,3084,91,91,91,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
专项储备(万元),568,557,544,531,548,535,521,507,450,440,419,406,196,187,174,160,159,--,136,122,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
盈余公积(万元),12275,12275,12275,12275,10386,10386,10386,10386,8509,8509,8509,8509,6393,6393,6393,6393,4909,4909,4909,4909,3823,3823,3823,3823,3020,3020,3020,3020,1963,1963,1963,1963,833,833,833,833,0,0,1471,554,376,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
未分配利润(万元),108848,106763,105157,99469,87486,85748,81078,75522,64735,61703,57251,52245,51094,48314,48233,43808,41598,36464,35737,32389,30377,26616,25502,23643,22106,19955,21877,20416,18200,15762,17033,14993,11518,8495,9057,7499,6311,3886,6482,1496,1561,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
归属于母公司股东权益合计(万元),306255,304899,302934,297126,283291,281431,276665,271124,258662,255629,251169,246130,153696,145904,145813,141374,137678,132531,131795,128432,125211,121451,120336,118478,116137,113987,115909,114448,111175,108736,110008,107968,103363,100340,100902,99345,97323,16970,10434,4530,2856,
少数股东权益(万元),35463,34350,34087,32500,22391,23417,23256,24275,22093,19701,21687,21410,19992,17680,15729,15291,14471,13729,13814,13725,13492,7555,7253,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
所有者权益(或股东权益)合计(万元),341718,339249,337022,329627,305682,304848,299922,295399,280755,275331,272856,267540,173688,163585,161542,156665,152149,146260,145609,142157,138703,129006,127589,118478,116137,113987,115909,114448,111175,108736,110008,107968,103363,100340,100902,99345,97323,16970,10434,4530,2856,
负债和所有者权益(或股东权益)总计(万元),1294642,1278377,1249849,1227503,1115923,1005444,982156,1173687,847853,752983,625526,640222,386801,331846,301460,303017,287622,254267,237577,232213,206573,179739,189642,147336,141960,138203,136354,137037,137524,123514,124597,123612,115702,110259,109092,108256,109601,28001,16474,9499,4863,		
  
