报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
固定资产原值(万元),--,31877,--,42993,--,24638,--,11318,--,11272,--,11340,--,11405,--,12529,--,11995,--,11699,--,10754,--,9887,--,8312,--,7633,7333,597,--,--,
累计折旧(万元),--,5262,--,6491,--,5806,--,4324,--,3915,--,3477,--,3130,--,2736,--,2269,--,1836,--,1425,--,1052,--,685,--,460,280,237,--,--,
固定资产净值(万元),--,26615,--,36502,--,18833,--,6993,--,7357,--,7863,--,8276,--,9793,--,9727,--,9863,--,9329,--,8836,--,7628,--,7172,7053,360,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),21572,26615,32353,36502,19059,18833,7795,6993,7116,7357,7461,7863,8050,8276,9529,9793,10082,9727,9718,9863,9131,9329,9486,8836,8687,7628,6972,7172,7053,360,736,694,
在建工程(万元),445,551,809,879,6842,5012,13124,13056,730,--,--,--,0,0,--,0,--,--,0,--,0,--,0,--,--,--,303,83,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
无形资产(万元),59,65,68,168,207,255,253,296,307,375,131,149,514,185,702,222,227,245,236,254,272,289,307,325,34,11,11,12,13,8,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,914,914,611,982,358,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
商誉(万元),10188,10305,8451,7348,9104,9104,9104,691,691,691,691,691,4712,1733,4682,4682,3990,3990,3990,3640,691,691,691,691,--,--,--,--,--,--,120,--,
长期待摊费用(万元),4921,4554,3236,3127,2269,1993,2083,303,36,39,--,--,0,14,45,51,29,44,33,35,26,27,0,--,--,--,--,14,25,36,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2515,2391,2106,2131,1417,1322,1225,1110,1548,1468,1245,1379,977,696,606,610,420,451,342,355,293,258,248,240,110,110,94,90,62,38,132,165,
其他非流动资产(万元),508,500,1672,2344,14767,20406,14551,18452,25832,13000,4000,4000,4000,4000,--,100,58,85,85,85,85,85,85,119,--,--,--,--,--,--,--,--,
非流动资产合计(万元),204096,181140,170452,179148,155774,138227,134380,118885,110965,65163,35064,23262,27754,21174,17615,17823,16175,15189,15304,14232,10498,10679,10817,10210,8830,7749,7379,7371,7154,820,5437,875,
资产总计(万元),355418,340803,332016,338995,335846,360472,351530,351951,312747,336670,185111,161779,162493,130808,123304,124693,107563,107413,97679,96772,89617,87256,83806,80770,75874,68960,68145,32536,27483,20976,14982,11557,
短期借款(万元),48567,43237,48900,51900,52815,79573,76936,80270,54755,73032,55814,29800,29800,15000,17000,12000,7000,7000,7000,2000,2000,1000,270,270,--,--,1500,1500,1500,--,--,2000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,36,0,81,81,71,332,332,327,583,1856,1970,1334,424,650,994,1596,1183,1540,3223,976,717,700,1075,934,490,--,226,453,231,363,--,
应付账款(万元),--,34751,27603,31664,29559,32537,28943,30922,29447,29788,28210,32952,27117,20994,16379,23739,16437,17844,10404,16679,16931,18440,16019,13121,12566,8579,6134,5954,3823,3417,1994,1445,
预收账款(万元),5300,4772,3109,2273,8768,7317,4716,4727,766,1379,4673,5550,3717,4625,3927,4604,6210,3849,5311,4265,1895,1237,2082,2729,2825,1643,1871,2509,2570,1288,947,984,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),649,692,651,696,739,801,780,815,750,886,846,974,993,1027,978,1300,682,636,548,677,355,310,274,433,189,156,125,219,116,137,49,14,
应交税费(万元),2479,2591,2420,2192,579,1031,495,742,3470,3462,3778,3746,5064,4366,2871,3372,2141,2439,2070,2598,2335,2015,2313,2590,1416,1356,1189,1168,912,814,891,527,
应付利息(万元),--,422,190,187,60,133,80,182,45,75,56,37,35,16,23,23,11,11,13,3,3,1,0,--,--,--,8,9,8,--,--,3,
应付股利(万元),--,--,--,--,--,--,--,--,--,2761,--,--,0,0,--,0,0,574,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),15365,19605,12853,17506,11547,5938,7280,3197,3232,6773,7535,7451,13935,7727,4859,4228,3260,4063,3473,2874,1986,1887,2016,1568,235,298,830,240,113,901,1110,940,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),8957,9382,9574,8882,3114,3075,6261,3061,--,--,--,--,0,0,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),1546,1546,1546,1546,1546,1546,2529,2529,--,--,--,--,0,0,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),118925,117033,106847,116927,108808,132023,128353,126777,92792,118739,102768,82480,81994,54179,46686,50259,37338,37599,30358,32319,26480,25609,23676,21786,18164,12522,11657,11824,9497,6788,5354,5912,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,1832,1942,2162,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
长期应付款(万元),1552,2454,6123,7588,4119,4912,2503,6470,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,30,30,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,--,--,--,--,--,1,6,--,--,
非流动负债合计(万元),1552,2454,6123,7588,4119,4912,2503,6470,0,0,0,0,0,30,30,30,0,0,0,0,0,0,0,0,0,0,1832,1942,2171,6,0,0,
负债合计(万元),120477,119487,112970,124515,112927,136934,130856,133247,92792,118739,102768,82480,81994,54209,46717,50289,37338,37599,30358,32319,26480,25609,23676,21786,18164,12522,13489,13766,11667,6794,5354,5912,
实收资本(或股本)(万元),68393,45939,45939,45939,45939,45939,45939,45939,45939,45939,38341,38280,38280,38280,19140,19140,19140,19140,19140,19140,19140,19140,8700,8700,8700,8700,8700,6500,6500,6500,6000,5000,
资本公积(万元),109214,131763,137109,137110,137765,137745,137740,137706,138304,138301,7702,7062,7393,7295,26305,26055,25743,25173,24862,24758,24758,24758,35198,35198,35198,35198,35198,2350,2350,2350,90,36,
减:库存股(万元),9084,9951,15297,10998,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3827,3827,3827,3827,3827,3827,3827,3827,3564,3564,3564,3564,2863,2863,2863,2863,2090,2090,2090,2090,1586,1586,1586,1586,1064,1064,1064,1064,539,539,214,71,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),51182,49828,47500,38382,34514,35163,32408,30574,31611,29523,32063,29774,30358,27154,26348,24519,21913,21286,19177,17350,17079,15620,14132,13023,12748,11476,9694,8855,6426,4793,1758,539,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),235776,221792,219271,214403,221948,222487,219645,217752,219285,217223,81699,78680,78894,75592,74657,72578,68887,67689,65269,63338,62563,61104,59616,58507,57710,56439,54656,18769,15816,14183,8062,5645,
少数股东权益(万元),-836,-476,-225,78,971,1051,1029,952,670,708,644,620,1605,1007,1930,1826,1338,2125,2052,1115,574,544,514,477,--,--,--,--,--,--,1565,-0,
所有者权益(或股东权益)合计(万元),234941,221316,219046,214480,222919,223538,220673,218704,219955,217931,82343,79300,80499,76599,76587,74404,70225,69814,67321,64453,63137,61647,60130,58984,57710,56439,54656,18769,15816,14183,9627,5645,
负债和所有者权益(或股东权益)总计(万元),355418,340803,332016,338995,335846,360472,351530,351951,312747,336670,185111,161779,162493,130808,123304,124693,107563,107413,97679,96772,89617,87256,83806,80770,75874,68960,68145,32536,27483,20976,14982,11557,		
  
