报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
资产总计(万元),46842,41416,37557,32175,27965,27491,23075,19145,18053,17500,16941,13758,
短期借款(万元),--,--,1000,2000,2250,3750,3750,4750,4750,4750,4750,3750,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),3638,3050,2885,2728,410,875,460,710,930,430,660,700,
应付账款(万元),8155,5126,3395,1690,2942,2470,2618,1782,1954,2286,2351,672,
预收账款(万元),245,97,7,24,123,687,137,426,417,284,66,53,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),188,127,253,380,605,389,302,55,50,36,74,66,
应交税费(万元),168,278,135,350,250,411,201,220,112,81,69,71,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),543,437,336,377,223,355,146,123,81,133,149,113,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),980,980,100,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),13917,10096,8111,7548,6803,8937,7614,8066,8294,8000,8119,5425,
长期借款(万元),3190,3190,3686,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),3190,3190,3686,0,0,0,0,0,0,0,0,0,
负债合计(万元),17108,13286,11797,7548,6803,8937,7614,8066,8294,8000,8119,5425,
实收资本(或股本)(万元),6500,6500,6500,6500,6500,6500,6500,6000,6000,6000,6000,6000,
资本公积(万元),5405,5405,5405,5405,5405,5405,5405,2905,2905,2905,--,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,88,88,88,72,56,44,31,26,12,22,
盈余公积(万元),1377,1377,1377,917,917,350,350,82,82,--,623,573,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),16452,14848,12390,11716,8251,6227,3149,2047,741,568,2187,1738,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),29734,28130,25760,24626,21161,18554,15460,11079,9759,9499,8822,8333,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),29734,28130,25760,24626,21161,18554,15460,11079,9759,9499,8822,8333,
负债和所有者权益(或股东权益)总计(万元),46842,41416,37557,32175,27965,27491,23075,19145,18053,17500,16941,13758,		
  
