报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
一年内到期的非流动负债(万元),4015,5590,7140,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,501,669,766,938,634,749,863,978,283,367,450,533,--,0,--,--,--,0,0,0,0,--,
其他流动负债(万元),2088,2873,3850,812,1459,1805,2238,1154,1247,1217,1421,593,801,1001,1264,601,838,1064,1129,536,696,916,1035,--,0,--,--,--,--,--,0,8,1401,113,33,--,0,74,206,--,0,0,0,0,--,
流动负债合计(万元),537877,554367,585292,551928,552219,510896,479464,436898,405357,354567,339376,283417,266467,229032,222237,248558,261183,251152,167644,127334,145649,114185,91889,100932,113365,79889,80601,89147,115843,105673,53722,44178,55353,55280,48046,34810,34401,34930,26670,36717,55499,72261,59865,58601,49413,
长期借款(万元),126870,126823,88860,63400,28400,24400,24400,400,400,17091,400,400,400,400,400,400,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
长期应付款(万元),156,177,181,203,197,92,103,60,65,69,75,6303,5284,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1,2,5,6,10,18,26,37,45,57,66,70,64,66,77,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
预计非流动负债(万元),24412,24457,25418,20906,20904,20476,20863,19627,19138,18336,18890,16491,15878,15698,15172,14653,14322,13717,7163,6775,6495,6420,5939,5685,5442,5131,4864,4566,4325,3907,3497,2532,2322,2072,1907,1747,1592,1395,1240,1132,989,757,581,0,0,
长期递延收益(万元),40469,38216,36075,32994,33467,34063,30273,29683,20650,20448,14311,11599,8874,8810,8760,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,2186,0,--,--,
递延所得税负债(万元),4047,3901,4845,5140,5279,5253,6736,3702,3581,2185,2719,809,840,872,905,937,971,1027,--,--,--,--,--,--,0,57,125,--,--,--,0,--,0,0,1,0,0,--,--,--,0,1,53,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9438,8752,8700,7378,8512,8160,8162,7886,7862,7492,6917,5520,5626,5710,5710,5710,6109,4433,4205,1806,2475,2630,2785,2940,2043,2115,0,2257,0,--,
非流动负债合计(万元),195953,193573,155378,122643,88248,84284,82375,53471,43834,58128,36396,35602,31275,25780,25237,25429,24045,23444,14540,15287,14654,14582,13825,13547,12934,12105,10509,10193,10036,9619,9212,8647,6764,6295,3740,4259,4267,4238,4246,3246,3168,3010,2968,0,0,
负债合计(万元),733830,747940,740670,674571,640467,595180,561839,490369,449191,412695,375772,319019,297742,254812,247473,273987,285228,274596,182185,142621,160303,128767,105714,114479,126298,91993,91111,99340,125879,115291,62935,52825,62117,61575,51786,39069,38669,39168,30916,39963,58667,75271,62833,58601,49413,
实收资本(或股本)(万元),237043,237043,237037,237003,236955,236770,236774,236572,236525,236018,172282,172282,172282,172282,85109,85109,71603,71603,71603,71603,71603,71603,71603,71603,71603,47735,47735,47735,42840,42840,42840,42840,42840,25200,25200,25200,25200,12600,12600,12600,12600,9400,9400,4700,1000,
资本公积(万元),526210,526345,526259,523108,521864,520897,520784,519330,519659,515034,113067,110704,110813,109036,188749,188833,118379,118496,120911,120275,119242,118985,118621,118336,118202,142565,141928,140655,45874,45222,45404,45138,43710,63503,62718,62750,62750,75276,75145,75351,75350,89,89,75,10,
减:库存股(万元),2400,2400,4700,4700,4700,6554,6576,6576,6576,7453,7459,7459,7459,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,0,0,--,--,
盈余公积(万元),26385,25589,25489,24585,24076,23185,22675,21376,20590,19603,18900,16134,15504,15018,14634,13884,12591,11921,11596,10991,10618,10072,9758,9342,8943,8534,8334,7945,7778,6959,6256,5714,5340,4764,4462,4383,3975,3308,2756,2725,2562,2253,1922,385,552,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
未分配利润(万元),85867,104785,101757,82203,75899,86253,81752,62045,52763,63839,57064,47448,61113,52186,70713,61836,56606,63690,59101,53132,48979,52645,49419,43816,40110,53880,51025,45125,42146,35340,42118,35343,31333,38247,33665,32130,27598,31019,25835,24984,22471,16523,12541,5321,3670,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,0,0,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1238,-1217,-1227,-1270,-1051,-1011,-904,-1009,-893,-917,-922,-966,-964,-819,-736,-666,-573,-508,-458,-456,-385,-383,-381,-381,-334,-293,-356,-130,-43,-1,
归属于母公司股东权益合计(万元),884040,905055,913302,896703,870924,868394,856532,839687,822164,826624,358196,337572,350739,346973,357910,348424,257961,264483,261941,254951,249431,252401,248392,242203,237940,251792,248056,240496,137819,129624,135952,128462,122715,131256,125590,124077,119140,121823,115955,115325,112691,27909,23822,10438,5232,
少数股东权益(万元),54155,54620,52816,50371,32392,32091,32860,31446,29397,28244,26627,27146,26391,23844,24131,23322,36319,35383,14331,13133,13225,12720,12577,12545,12011,11451,11242,8318,2994,46,506,577,529,528,530,526,538,563,592,651,652,600,502,833,496,
所有者权益(或股东权益)合计(万元),938195,959675,966118,947074,903316,900485,889391,871133,851562,854869,384823,364718,377130,370817,382041,371746,294281,299867,276272,268084,262656,265121,260970,254748,249951,263243,259298,248814,140813,129670,136458,129038,123244,131784,126119,124603,119678,122386,116546,115976,113343,28509,24325,11271,5727,
负债和所有者权益(或股东权益)总计(万元),1672025,1707615,1706788,1621645,1543782,1495665,1451230,1361502,1300753,1267564,760596,683737,674872,625630,629514,645733,579508,574463,458457,410706,422959,393889,366684,369227,376250,355236,350409,348153,266692,244961,199392,181863,185362,193360,177906,163672,158346,161554,147462,155938,172010,103780,87158,69871,55140,		
  
