报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动负债(万元),14054,14253,9188,10341,9450,10517,9853,9382,9096,8330,7398,7412,7584,7566,6958,7283,6979,6926,4989,4991,5166,5170,3024,2961,2646,2646,2606,2593,2593,2578,2287,425,
其他流动负债(万元),122583,165312,129568,125081,134449,142296,124453,123160,120101,119584,83003,76701,75562,67253,60293,57752,58944,63368,62747,57657,56205,54023,40586,29592,27976,26627,22072,18180,19455,17078,14446,6428,
流动负债合计(万元),5364672,5888122,4047748,3474769,3873807,4325224,3027078,2832977,2782794,3178644,3017573,2393735,2421731,2614470,2146359,1968174,1968973,2283947,2054901,1924725,1850516,1931917,1782741,1716867,1500459,1471354,1400429,1495184,1348187,1188749,647701,361238,
长期借款(万元),114137,42375,4960,4970,4970,4980,4980,4990,4990,5000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
长期递延收益(万元),339960,196352,174416,167440,167476,165115,164098,166660,168653,168618,171502,163117,166487,168211,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
递延所得税负债(万元),889,2061,954,1173,283,233,225,402,810,109,--,14,--,--,--,--,--,--,--,--,--,--,845,1196,160,--,--,--,0,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,170890,172155,173941,175734,174383,173612,164626,160686,158443,144726,139353,139982,140687,140041,140504,141048,65449,6706,
非流动负债合计(万元),454986,240789,180331,173583,172729,170328,169303,172052,174453,173727,171502,163132,166487,168211,170890,172155,173941,175734,174383,173612,164626,160686,159288,145921,139512,139982,140687,140041,140504,141048,65449,6706,
负债合计(万元),5819657,6128911,4228078,3648352,4046536,4495552,3196382,3005029,2957247,3352371,3189076,2556867,2588218,2782681,2317249,2140330,2142914,2459681,2229284,2098337,2015142,2092603,1942029,1862788,1639971,1611335,1541115,1635225,1488691,1329797,713150,367944,
实收资本(或股本)(万元),912727,912727,912727,912727,912727,912727,912727,912727,912727,912727,304242,304242,304242,304242,304242,304242,304242,304242,304242,304242,304242,304242,304242,304242,304242,304242,304242,273818,273818,109527,109527,109527,
资本公积(万元),141123,141123,141123,141123,141123,141123,141123,141123,141123,141123,445365,445365,445387,445387,445387,445387,445387,445387,446111,446111,446111,446111,446111,446111,446380,446380,446380,87367,92187,256478,256478,254512,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),506244,506244,453116,453116,453116,457501,329463,329463,335876,335876,234073,242935,242962,242962,228186,228186,228186,228186,221793,221793,221793,221793,158325,158325,158325,158325,121807,121807,121556,121556,116637,101889,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
未分配利润(万元),3561152,3353053,3191399,3145427,3418146,3218279,3012060,2783762,2697817,2458159,2374886,2590693,2615944,2362354,2131601,1968408,2022997,1822455,1623704,1415216,1369535,1179901,1058276,909476,874769,765397,714418,640476,601849,514310,276803,207690,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2739,-375,-814,-681,-626,-626,-623,-623,-622,-622,-599,-633,-365,-486,-414,-357,-179,-179,
归属于母公司股东权益合计(万元),5118844,4913453,4695770,4651512,4930861,4729480,4389828,4160013,4076347,3833087,3346518,3573720,3598462,3345186,3106678,2945848,2999998,2799590,2595224,2386736,2341059,2151424,1966332,1817532,1783117,1673711,1586482,1122981,1088997,1001515,759266,673440,
少数股东权益(万元),12940,12343,7270,6803,6290,5884,5999,5870,5727,5605,5589,5527,6646,6659,6628,6681,1188,1210,3375,3154,13098,12913,12627,12279,23980,28440,26568,25120,41032,38516,24550,28304,
所有者权益(或股东权益)合计(万元),5131784,4925796,4703040,4658315,4937151,4735364,4395827,4165883,4082074,3838692,3352108,3579247,3605108,3351845,3113305,2952529,3001186,2800800,2598599,2389891,2354156,2164337,1978959,1829811,1807097,1702150,1613051,1148101,1130029,1040031,783816,701744,
负债和所有者权益(或股东权益)总计(万元),10951442,11054707,8931119,8306667,8983688,9230916,7592209,7170912,7039321,7191063,6541183,6136114,6193326,6134525,5430554,5092859,5144100,5260481,4827883,4488228,4369298,4256940,3920987,3692599,3447068,3313486,3154166,2783326,2618720,2369828,1496966,1069688,		
  
