报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
应付手续费及佣金(万元),238200,180100,276100,205300,300700,171300,205400,200100,199500,154700,159000,154200,131900,104700,111700,101900,117500,87600,94000,83800,87000,63000,76700,68200,81800,63700,69000,53400,42600,29100,23598,
应付职工薪酬(万元),150500,252200,199900,173300,172000,207800,188900,158300,138300,174800,144600,127300,106800,151200,123000,108500,94400,121700,97100,83300,70000,103100,88200,74700,67800,100400,75000,97000,61900,56600,15936,
应交税费(万元),238800,155100,174700,149800,257100,155000,149200,119800,139800,117100,126300,104000,131700,25200,73100,30700,26600,36300,41800,11300,36700,27000,55700,33000,61200,40800,6800,10100,12400,6800,25387,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,149700,--,--,--,87300,--,--,--,65500,--,--,--,45300,400,400,--,--,--,--,--,28100,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),158700,197200,273200,165000,477200,146000,211800,240400,115000,207200,117000,317500,183700,176800,202900,214700,641500,181500,174700,179400,222500,205100,173700,121100,186800,150500,184000,1573100,206500,84400,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),34700,23700,35500,24400,46200,21500,37200,18600,27300,9500,18600,16500,20000,6700,16400,9700,17900,5400,9600,9100,12700,3300,7400,9800,8600,3100,9900,4800,6400,2800,2570,
保险合同准备金(万元),57797000,57527700,56779900,55424700,54432400,54322800,54572200,53917400,53089800,52444100,51404400,51509800,50063100,48010000,47528500,46653600,45988000,42688100,40580700,39413200,38378800,36227200,34938100,33605700,32072100,29381400,26889100,23462500,16381500,11712500,11486910,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),400000,400000,400000,1400000,1400000,1400000,1400000,1900000,1900000,1900000,1900000,1900000,1900000,1900000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,521400,514300,507300,--,--,135000,135000,135000,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,45800,45900,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,45800,57400,43000,43000,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),5400,5400,5400,5400,5400,5400,5700,5400,5400,85300,200,100000,70100,1700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,35596,
其他非流动负债(万元),21800,13000,46900,79000,64300,41100,28900,80100,55600,31200,29800,81100,72500,55900,26900,76500,47600,32800,13000,71400,61500,33800,20000,10100,2800,4300,3100,4700,200,600,199940,
非流动负债合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
负债合计(万元),65664900,64655200,65115300,64359100,64892500,64005600,62933200,62832100,60742900,60271900,57681700,60290500,59672800,59534500,56365900,56870800,55566600,52653100,50563700,49335700,47094500,45781500,44687600,43406200,40657400,35545800,32619100,29799300,20237500,16357100,12968746,
实收资本(或股本)(万元),312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,311700,260000,120000,120000,120000,120000,
资本公积(万元),2393400,2395400,2395900,2395900,2391900,2391900,2392000,2392000,2396400,2396400,2396400,2396400,2396400,2396400,2396500,2368600,2298700,2298800,2393700,2359200,2403800,2396700,2317900,2306000,2192200,2105800,1176400,103500,95500,75700,143438,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),392200,392200,340300,340300,340300,340300,294500,294500,294500,295500,210200,210200,210200,210200,145800,145800,145800,145800,100000,100000,100000,100000,70500,70500,70500,70500,42700,42700,20400,--,3428,
一般风险准备(万元),392200,392200,340300,340300,340300,340300,294500,294500,294500,295500,210200,210200,210200,210200,145800,145800,145800,145800,100000,100000,100000,100000,70500,70500,70500,70500,42700,42700,20400,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),2980900,2720000,2789700,2609200,2618900,2435200,2511200,2365900,2319300,2117900,2292800,2103600,1856300,1493900,1614600,1356900,1184900,1028900,1073300,897000,824900,678300,676500,734400,648900,572100,525300,347800,167500,-57700,12638,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-100,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),6549200,6371500,6361000,6172200,6160100,5911800,5975700,5771100,5724100,5783500,5408200,5692900,5394000,4835900,4681600,4329100,4087200,3931200,3979000,3768200,3740700,3587000,3447400,3493400,3294100,3130600,2047100,656700,423800,138000,279503,
少数股东权益(万元),900,800,800,700,700,700,700,700,600,600,600,600,600,500,500,500,500,600,1000,900,900,800,800,800,800,700,600,600,500,800,--,
所有者权益(或股东权益)合计(万元),6550100,6372300,6361800,6172900,6160800,5912500,5976400,5771800,5724700,5784100,5408800,5693500,5394600,4836400,4682100,4329600,4087700,3931800,3980000,3769100,3741600,3587800,3448200,3494200,3294900,3131300,2047700,657300,424300,138800,279503,
负债和所有者权益(或股东权益)总计(万元),72215000,71027500,71477100,70532000,71053300,69918100,68909600,68603900,66467600,66056000,63090500,65984000,65067400,64370900,61048000,61200400,59654300,56584900,54543700,53104800,50836100,49369300,48135800,46900400,43952300,38677100,34666800,30456600,20661800,16495900,13248249,		
  
