报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,293,--,2205,555,1447,--,--,92,92,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,2478,--,--,--,--,2250,--,--,--,1500,1250,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,4185,4375,2975,2755,6209,5281,4102,3293,5727,5278,3982,5100,3999,4269,3780,3264,41501,7206,2981,2641,3382,4786,3761,3200,3958,5172,3489,4143,3674,4478,12282,17196,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),88899,93882,86863,89935,86021,69602,67086,64436,70519,59644,58279,57486,56952,57148,57435,56923,57983,7288,11073,10418,13253,6679,9010,10683,15350,21827,11977,6822,5103,6079,2761,4860,7111,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),20548,23756,18652,17249,17948,9348,12164,9157,7995,6022,4640,6159,6393,5448,5871,6676,6273,5131,4832,23604,23402,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),246989,273736,355458,333260,226758,218231,175130,192204,222730,173209,176055,229523,281965,270996,305116,333046,354340,311258,117267,111855,116006,116790,74867,86952,111620,94130,106594,222642,46031,36661,46168,76598,80196,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),99168,92145,96053,95034,98324,101694,103230,106230,107083,107583,113340,111160,102460,77500,52500,12500,12500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),518,561,566,604,616,640,117,180,168,205,205,218,218,264,300,--,--,12500,12500,12500,12500,7500,--,--,--,--,--,--,--,--,--,--,5351,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),40846,38711,38711,38711,38711,35685,35685,34601,34892,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),895983,--,766644,--,756831,--,718539,--,715119,--,650237,--,650349,--,591725,--,577120,--,520425,--,513507,--,427520,--,408042,--,338656,--,334464,276610,230909,187542,132322,
累计折旧(万元),365970,--,344219,--,323276,--,311224,--,289907,--,267145,--,246830,--,225268,--,207208,--,183635,--,164961,--,148828,--,133142,--,118555,--,107132,95518,85690,68350,45051,
固定资产净值(万元),530013,--,422425,--,433555,--,407315,--,425212,--,383092,--,403519,--,366456,--,369912,--,336790,--,348546,--,278692,--,274900,--,220102,--,227332,181093,145219,119191,87271,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),530013,428457,422425,427404,433555,395409,407315,419355,425212,368646,383092,386385,403519,344773,366456,356921,369912,333622,336790,340807,348546,266757,278692,279289,274900,217162,220102,223393,227332,181093,145219,119191,87271,
在建工程(万元),--,361116,296164,259159,226117,173444,123393,89041,81973,140359,121958,110647,87519,127982,103237,99628,83780,91634,73815,63000,54083,121374,99400,84180,75614,93773,82105,51773,39133,35644,51882,30666,23453,
工程物资(万元),--,--,35354,40348,29798,44289,34266,22100,17369,15597,14347,11261,10254,8580,9324,13791,13573,14880,16931,17248,16976,16326,20385,23002,20883,25280,23203,21195,19909,14057,13769,6248,3924,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),16968,17408,17831,18298,18717,18656,19045,19704,17391,20904,21142,19453,19763,19974,20104,19998,19815,15090,14897,14135,13723,5022,4822,4954,5087,4063,4039,4025,3664,2277,1908,949,1047,
开发支出(万元),--,--,--,--,--,--,--,--,--,2010,2010,1771,1771,1771,1764,1759,1696,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),13447,14402,14402,14402,14402,14402,14402,14387,14402,14387,14387,14387,14387,14384,14384,14384,14384,10516,9544,9544,9544,9567,9581,9454,8452,8452,8452,8452,8452,8452,8452,8452,7682,
长期待摊费用(万元),86712,76085,79004,74459,68869,62772,63082,65086,57438,62608,61300,68014,61540,64471,63665,71982,66080,64343,63642,65945,60217,54054,59886,59527,52831,45957,48571,49529,51331,53910,55398,65066,44519,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),159,96,112,96,96,228,295,208,228,8,8,8,8,4,4,4,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动资产(万元),2642,2223,5815,2791,2228,4791,4791,5849,4990,--,--,--,--,10000,--,--,--,12927,--,--,--,--,--,--,4400,--,--,--,--,--,--,--,--,
非流动资产合计(万元),1091811,1031205,1006437,971306,931434,852010,805621,776740,761147,732307,731788,723302,701438,669702,631739,590967,581742,555512,528119,523180,515590,480600,472765,460406,442166,394687,386471,358367,349822,295432,276628,230573,173247,
资产总计(万元),1338800,1304941,1361895,1304566,1158192,1070242,980751,968944,983878,905517,907843,952825,983402,940698,936855,924013,936082,866770,645386,635035,631596,597390,547632,547358,553787,488816,493065,581009,395852,332093,322796,307172,253444,
短期借款(万元),9900,9900,--,--,--,10000,--,--,--,--,--,--,--,--,--,19000,19000,29000,29000,10000,10000,40000,40000,35800,35800,10800,17800,28800,28800,12800,12800,25800,13000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,33932,38751,38803,16755,15091,8336,9129,5337,237,6956,--,3100,3125,5520,17984,14883,1287,13486,13289,16341,16341,1352,1352,20447,20947,11411,10911,6087,14907,8786,18908,
应付账款(万元),--,--,200601,173486,167904,147522,106043,94170,94261,76604,77747,68822,75956,69577,69230,64673,65465,64119,76678,71667,71071,57077,53631,61509,69269,47277,42442,49347,50946,41095,33565,42057,35273,
预收账款(万元),82015,62289,70850,73080,90411,39299,53354,72344,92119,44732,53002,64118,75880,44554,49222,52320,67906,14405,20247,28942,40065,15377,21158,17685,20921,13892,10084,11120,14505,9693,10241,6375,2612,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),4253,3224,3932,5152,6599,3752,3801,3910,3885,3662,3884,3576,3150,2379,3023,2447,2501,2760,3549,2288,2136,2210,2175,1705,1413,1324,1409,1246,1937,1832,1236,5278,3067,
应交税费(万元),1220,7648,6430,4656,5920,1018,3552,2135,3420,168,532,125,1663,134,968,339,1214,372,434,246,1077,463,557,660,1443,566,247,325,654,281,311,-230,687,
应付利息(万元),1473,372,6216,4596,2994,982,2559,4005,2523,994,5574,4080,2586,994,5969,4452,2797,818,2559,1814,1052,--,--,--,55,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,378,7777,--,--,7777,7777,--,--,--,7777,--,--,--,--,--,--,--,7927,--,--,--,--,--,--,197,--,--,--,--,141,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,17869,15418,12919,11940,9406,7561,7646,7184,6405,6229,6562,6161,7049,7476,6785,6770,6167,5555,6264,5301,9219,5832,6063,5942,6346,5593,5714,5146,6466,11054,32711,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),150,150,150,--,295,1000,1149,1144,1144,--,--,9000,5475,--,1000,--,--,--,--,--,--,--,--,--,--,--,--,11000,11000,11000,--,--,5000,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),356138,342195,340359,322914,325845,232269,202730,201382,214126,138679,147381,170683,171272,126899,139585,156228,183653,133126,139922,141925,144954,136769,143082,124544,136316,100248,99472,118841,124468,87933,79526,99261,111257,
长期借款(万元),57900,59000,68900,40000,40000,59000,19000,19000,19000,30000,30000,60000,93525,108000,38000,10000,10000,--,--,--,--,--,--,--,--,--,8000,78000,78000,77000,88000,81000,76000,
应付债券(万元),176971,175318,223736,222107,99681,99563,99513,99445,99376,99308,99242,99177,99113,99049,190437,227429,225470,223698,49376,49376,49376,50000,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,448,150,439,290,281,281,719,699,699,688,677,965,950,936,525,525,525,525,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),26771,27263,28099,29135,29104,29657,15074,15647,15396,14734,14951,14814,14775,14279,9843,10015,10225,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7858,8272,8432,8729,5383,5290,5879,5961,5173,5241,5286,5353,5147,5620,5257,2944,
非流动负债合计(万元),261643,261581,320735,291690,168935,188658,133877,134373,134053,144760,144892,174690,208102,222005,239245,248394,246630,232081,58172,58333,58630,55383,5290,5879,5961,5173,13241,83286,83353,82147,93620,86257,78954,
负债合计(万元),617780,603776,661094,614604,494780,420927,336607,335754,348180,283440,292273,345373,379374,348904,378830,404622,430282,365207,198094,200258,203583,192152,148372,130423,142278,105421,112713,202128,207821,170080,173146,185518,190212,
实收资本(或股本)(万元),311091,311080,311080,311080,311080,311080,311080,311080,311080,311080,311080,311080,311080,155540,151011,146789,146789,146789,146789,146789,146789,146789,146789,139799,139799,139799,139799,139799,111799,111799,111799,111799,66962,
资本公积(万元),89913,89891,89891,89891,89891,89882,89882,89882,89882,90316,90316,90316,90316,245856,194477,146585,146581,189931,146581,146581,146581,148698,148698,159701,159701,159701,159701,159701,1149,1149,1117,--,111,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),115243,111638,111638,111638,97809,93199,93199,93130,81604,77763,77763,77763,64697,60342,60342,48070,48070,43980,43980,43980,34035,30719,30719,30719,19847,16223,6083,6083,6083,3872,2703,379,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),163245,154290,149637,140212,158009,151540,145974,135700,148703,139413,132774,126402,136786,128780,120432,133156,119625,120020,109703,97428,100608,79031,73054,75027,81575,58392,65358,64253,60065,37731,27055,2568,-9526,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),715624,696015,695271,684827,658362,645702,640136,629793,631270,620571,613933,605561,602879,590518,556659,517952,504416,500720,447052,434777,428012,405237,399260,405246,400922,374115,370940,369836,179096,154551,142674,114746,57547,
少数股东权益(万元),5396,5150,5530,5135,5049,3613,4009,3397,4428,1506,1637,1892,1149,1276,1366,1439,1384,844,239,--,--,--,--,11689,10587,9280,9412,9045,8935,7462,6976,6908,5685,
所有者权益(或股东权益)合计(万元),721020,701165,700801,689962,663411,649315,644144,633189,635698,622077,615570,607452,604028,591794,558025,519391,505800,501563,447291,434777,428012,405237,399260,416935,411509,383395,380352,378881,188031,162013,149650,121654,63232,
负债和所有者权益(或股东权益)总计(万元),1338800,1304941,1361895,1304566,1158192,1070242,980751,968944,983878,905517,907843,952825,983402,940698,936855,924013,936082,866770,645386,635035,631596,597390,547632,547358,553787,488816,493065,581009,395852,332093,322796,307172,253444,		
  
