报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
存货(万元),34415,37360,31213,27838,25470,38856,36531,33051,47744,48978,55559,50774,53325,37339,40175,32073,31181,33713,29532,29864,28701,31731,29463,25321,23385,22781,25261,17696,16795,13894,13513,8398,11118,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,399,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
其他流动资产(万元),70660,104265,101301,83853,47385,66863,56638,39367,39019,18745,13746,13473,11652,11634,18665,12542,5948,5589,3599,2971,2270,716,654,8,8,131,196,8,8,8,8,0,6,
流动资产合计(万元),389987,393413,399129,288533,240362,262015,240499,229326,212621,226525,205770,195797,182908,179799,175678,155547,129879,136800,145440,134373,128509,152073,136776,138660,131616,142174,150858,134360,59998,53864,52911,33513,30955,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
可供出售金融资产(万元),10090,14375,14375,10375,10375,10375,10375,9375,9375,9375,9375,9375,7375,7340,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7900,--,--,--,1000,--,--,--,--,--,--,--,--,--,0,0,200,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
长期股权投资(万元),263,228,249,346,208,163,141,165,162,151,189,159,159,165,171,190,182,190,189,182,178,182,189,155,150,155,159,155,156,157,157,174,194,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
固定资产原值(万元),242091,--,235377,--,221776,--,273300,--,257765,--,238095,--,233623,--,228588,--,211429,--,208393,--,162055,--,152797,--,137584,--,128894,--,77657,0,55974,47782,--,
累计折旧(万元),112029,--,101843,--,92527,--,137392,--,128304,--,118921,--,108170,--,97450,--,85963,--,75139,--,69785,--,61183,--,53579,--,46066,--,26607,0,22870,16933,--,
固定资产净值(万元),130061,--,133533,--,129249,--,135908,--,129461,--,119173,--,125454,--,131138,--,125466,--,133254,--,92270,--,91614,--,84005,--,82828,--,51050,0,33104,30849,--,
固定资产减值准备(万元),225,--,225,--,225,--,808,--,808,--,808,--,344,--,344,--,76,--,76,--,76,--,76,--,76,--,76,--,--,0,0,0,--,
固定资产(万元),129836,128596,133308,127854,129023,135663,135100,127611,128653,116278,118365,122351,125110,127191,130795,133684,125390,128999,133178,129610,92194,88474,91538,95547,83930,87542,82752,53985,51050,31637,33104,30849,25068,
在建工程(万元),7921,6590,4252,9064,6246,22697,10093,713,1303,9354,5741,4856,4139,797,522,1615,9737,2468,4131,4021,24583,12599,9563,1799,10519,2937,5440,1034,4773,18791,14389,3148,1938,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,10,11,19,212,58,34,11,85,7201,2385,2564,852,211,14,507,0,82,5,198,198,--,
固定资产清理(万元),--,--,--,--,--,129,--,--,--,--,1127,1124,1007,1007,1007,1005,1062,1135,1018,1231,--,--,--,--,--,--,--,--,--,0,0,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
无形资产(万元),9055,6611,5932,5841,5909,13406,13456,11275,11338,11560,11498,11612,11716,11627,11730,27118,27256,27204,13940,14094,14189,14291,14405,7968,10701,7605,7677,4453,4563,4089,3847,4149,4246,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
长期待摊费用(万元),3301,3369,3474,3629,3716,3724,3670,3523,3658,1797,2351,2681,2581,2681,2911,5848,1705,1653,1806,2375,879,674,406,444,531,596,655,402,433,352,301,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
递延所得税资产(万元),855,1607,975,1067,1108,1638,1440,1535,1763,1756,1196,1891,1600,1559,1587,2526,2312,2373,2436,1667,1561,1692,1635,1374,1355,1362,1483,1239,1245,961,951,702,548,
其他非流动资产(万元),7712,8541,5651,7080,6284,20393,14465,10726,10277,9824,8137,6521,14005,12557,12692,2146,7300,5141,3461,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
非流动资产合计(万元),169032,169918,168216,165256,162868,208189,188739,164923,166528,160095,157979,160570,167701,164936,161435,182244,175002,169197,160170,154265,140785,120297,120301,108138,107397,100210,98672,61268,62302,55992,52947,39418,31994,
资产总计(万元),559019,563331,567345,453789,403230,470203,429239,394249,379149,386620,363749,356367,350609,344735,337114,337791,304881,305998,305611,288638,269294,272371,257077,246799,239014,242385,249530,195627,122300,109856,105858,72931,62949,
短期借款(万元),24000,35312,38819,38019,25200,43900,27500,17300,18200,16200,13300,13700,14850,17050,17050,18250,16450,15550,11900,8950,6600,5600,8600,8000,5000,8117,16017,4361,4061,2700,3303,3158,2200,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
交易性金融负债(万元),83,124,694,--,--,90,354,37,37,37,37,--,--,--,62,--,--,--,--,--,--,--,48,7,2,32,21,--,--,0,0,0,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付票据(万元),63756,52687,56057,45786,34003,34520,37723,39465,32459,39057,26739,15653,15934,7411,860,650,100,--,1150,1576,216,440,--,--,--,--,--,--,--,0,0,0,--,
应付账款(万元),31062,31575,40917,40523,46237,42533,35142,29617,31908,32728,26434,31547,28161,25367,25524,29721,27853,25936,30840,28058,22192,20919,21046,19505,17208,14981,16828,12969,14931,12419,13952,11471,11298,
预收账款(万元),3736,3469,2992,6593,3821,5936,5136,4449,2688,7762,10375,9653,9178,9278,7979,8959,8240,5238,3001,3330,2195,4458,4339,3928,3356,5754,5537,4178,4216,3857,3415,4251,3909,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付职工薪酬(万元),6666,7443,9922,6574,5958,6966,10520,8828,7793,4614,8507,6053,5522,6027,8259,5794,4217,3824,7575,4625,3480,3442,5255,3995,3182,2513,4494,3257,3037,2312,3324,3065,2094,
应交税费(万元),11688,16803,16264,12411,8446,6139,5894,5475,2597,5384,1837,978,1360,782,852,-37,818,957,-374,-26,-1141,-933,-1057,-76,265,2111,1004,1407,85,898,769,1044,1155,
应付利息(万元),148,236,102,52,35,1122,767,397,43,1138,774,470,49,1251,791,438,120,34,63,80,64,104,46,37,29,56,72,23,12,15,12,29,32,
应付股利(万元),--,18873,--,12,368,165,165,165,282,129,129,285,157,157,157,174,174,96,96,96,96,96,--,--,299,451,2887,--,--,0,0,0,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
其他应付款(万元),622,5128,4688,380,1502,5246,4575,5132,11914,8240,6323,4115,4234,4464,4310,4595,4878,7680,5558,8316,8833,9377,9645,5606,5186,5235,3127,2100,1441,241,65,1465,1895,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
一年内到期的非流动负债(万元),61,61,61,--,61,24075,24665,973,2336,4948,5561,3763,5275,5948,6912,4225,6365,5753,6104,1812,1164,3015,3367,61,61,61,61,61,61,67,67,3500,--,
其他流动负债(万元),4429,5275,5870,5882,3962,8002,6925,7827,7310,4534,3724,4229,4360,3574,4371,3107,1906,1710,2551,1665,1431,1731,1728,1878,1101,1505,1483,914,981,949,752,634,398,
流动负债合计(万元),146249,176984,176386,156233,129593,178693,159365,119665,117566,124771,103739,90446,89079,81310,77126,75876,71122,66777,68464,58483,45128,48250,53016,42940,35688,40814,51530,29270,28824,23456,25659,28616,22979,
长期借款(万元),121,182,182,243,182,2255,2255,7005,7005,7066,7066,11626,11626,12626,12626,17478,16301,19539,19539,24582,25582,26643,9843,11001,11352,11764,12116,5546,5546,4600,3600,667,6167,
应付债券(万元),45405,44234,44036,--,--,--,--,19931,19908,19886,19865,19843,19821,19801,19780,19760,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,6,10008,10025,9872,9888,10100,10386,10626,10736,10953,3651,--,--,--,--,--,--,--,--,--,0,0,0,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
长期递延收益(万元),1818,1768,1818,653,484,2693,2601,3242,2885,3575,3266,3223,3417,--,3831,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
递延所得税负债(万元),145,146,53,--,37,147,176,39,--,--,247,85,144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,30,4203,120,4152,4034,4183,3996,1452,1673,1800,1840,2030,2105,2179,2246,2728,2828,2928,3028,3493,3508,
非流动负债合计(万元),47489,46330,46088,895,703,5095,5032,30217,29798,30532,40451,44803,44911,46519,46458,51776,30961,34458,34488,29685,27255,28443,11683,13031,13457,13944,14362,8274,8374,7528,6628,4160,9675,
负债合计(万元),193738,223313,222474,157128,130296,183788,164397,149881,147364,155304,144190,135249,133990,127829,123584,127651,102083,101235,102951,88168,72384,76693,64698,55971,49145,54758,65892,37543,37197,30985,32287,32776,32654,
实收资本(或股本)(万元),56424,56424,56424,56424,56432,56432,56432,56460,56460,56460,56825,56825,56832,28416,28416,28416,27768,27768,27768,27768,27768,21360,21360,21360,21360,13350,13350,13350,10000,10000,10000,8000,8000,
资本公积(万元),50545,50545,50545,48858,48871,48609,48549,48991,48898,48079,52135,50943,50959,79071,78778,78395,75542,75542,75542,75542,75542,81950,81950,81950,81950,89960,89960,89960,25626,25626,25626,8739,8739,
减:库存股(万元),--,--,--,--,1103,1103,1103,1364,1975,1971,5903,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
专项储备(万元),4163,4191,4228,4277,4213,3853,3752,3692,3725,4418,5879,5846,5867,5735,5778,5407,5354,5481,5546,5706,5813,6065,6093,6160,6449,6624,6796,6803,6680,5992,5162,3689,2150,
盈余公积(万元),27104,27104,27104,17473,17473,17473,17473,12277,12277,12277,12277,9790,9790,9790,9790,7824,7824,7824,7824,6359,6359,6359,6359,4907,4907,4907,4907,3108,3108,3108,3108,1821,884,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
未分配利润(万元),211322,186197,190890,169345,146725,140953,120867,106072,94555,94740,80515,77941,73352,74019,70081,68596,64311,65917,62349,61197,58054,56978,53478,53208,51764,49421,45385,43657,38537,32916,28586,16852,9600,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
归属于母公司股东权益合计(万元),365281,340017,344871,296661,272934,266595,246376,226402,214188,214170,201911,201424,196755,197026,192841,188637,180799,182532,179028,176572,173536,172712,169240,167585,166429,164262,160396,156877,83951,77642,72482,39100,29373,
少数股东权益(万元),--,--,--,--,--,19820,18466,17966,17596,17147,17648,19694,19864,19880,20688,21502,22000,22231,23631,23898,23375,22966,23139,23243,23439,23365,23242,1207,1151,1230,1089,1055,921,
所有者权益(或股东权益)合计(万元),365281,340017,344871,296661,272934,286415,264842,244367,231785,231316,219559,221118,216619,216906,213529,210140,202798,204763,202659,200470,196911,195678,192379,190828,189869,187627,183638,158084,85102,78872,73571,40155,30295,
负债和所有者权益(或股东权益)总计(万元),559019,563331,567345,453789,403230,470203,429239,394249,379149,386620,363749,356367,350609,344735,337114,337791,304881,305998,305611,288638,269294,272371,257077,246799,239014,242385,249530,195627,122300,109856,105858,72931,62949,		
  
