报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
一年内到期的非流动资产(万元),--,403,2535,2701,6460,6436,7409,27293,26113,28444,23944,23948,5551,5618,97,43,49,71,98,133,143,160,57,84,121,186,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),1720,81324,53548,53121,127797,128650,111664,97884,158509,137376,88630,76730,112393,92812,99435,108869,213697,201698,197359,136457,131033,128375,79050,56415,77222,21642,4800,4000,13350,15850,--,--,0,0,0,
流动资产合计(万元),314308,282602,211949,212925,275573,283234,268501,259225,323040,317079,294407,262042,302178,293707,327862,335049,385875,378819,387722,395074,407574,400341,390618,401398,413320,398887,395791,375913,403080,400546,378749,359425,97100,75508,58480,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),--,164841,201364,209546,207779,222242,125012,109814,101671,98687,102604,88687,103915,105011,70976,72776,18476,18476,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10300,1400,1480,2300,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),39815,35755,36165,36165,36346,29395,26949,26949,26112,26112,25917,25917,26036,26036,13584,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),34784,36298,37117,37882,39162,39682,37262,37662,37618,37529,30770,27511,27243,26563,20417,17116,16712,13857,13297,13544,11848,12208,6309,6487,4984,5168,4487,4667,4729,4614,2654,2690,2761,2258,0,
固定资产原值(万元),--,92641,--,77606,--,77858,--,81126,--,82405,--,95249,--,96662,--,103272,--,105577,--,104703,--,103256,--,75003,--,71658,--,62529,--,53026,--,44742,40020,36031,0,
累计折旧(万元),--,38250,--,36206,--,34479,--,33686,--,32021,--,32772,--,30062,--,27995,--,25273,--,22691,--,19538,--,18069,--,16021,--,14591,--,12800,--,11460,10097,7523,0,
固定资产净值(万元),--,54391,--,41399,--,43379,--,47441,--,50385,--,62478,--,66599,--,75277,--,80304,--,82012,--,83717,--,56934,--,55638,--,47938,--,40225,--,33282,29923,28508,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产(万元),--,54391,55344,41399,42325,43379,46906,47441,48741,50385,57738,62478,64381,66599,70441,75277,76331,80304,80672,82012,82920,83717,58910,56934,57440,55638,53983,47938,42139,40225,38243,33282,29923,28508,27356,
在建工程(万元),--,2142,1580,1488,798,409,420,1127,548,396,663,695,589,325,494,494,487,487,562,346,267,232,29910,27932,25399,23848,22682,19837,17679,16615,19534,15365,14641,8580,7359,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
无形资产(万元),12751,12906,12839,11585,11758,11923,12107,12051,12339,12604,13495,13676,14038,14526,14603,14083,14256,14388,14297,14465,14507,14672,16575,16741,16766,16826,15346,15018,11704,11781,11625,11670,11758,10969,9269,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
商誉(万元),3939,3939,3939,3939,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期待摊费用(万元),8756,8341,6470,5239,4432,4860,4300,3088,2938,2922,1987,1484,1187,1114,615,634,561,494,458,517,643,707,986,1176,1641,1922,2556,3067,1419,1715,1026,1241,1319,560,230,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税资产(万元),5417,6615,6324,4756,4895,5404,6380,4830,4880,5404,5750,4400,4581,5071,5975,4468,4366,4640,5037,3900,4226,4159,1524,1067,992,1047,537,428,281,281,186,172,194,237,22,
其他非流动资产(万元),1291,921,989,1250,436,746,1235,983,1105,897,706,544,452,405,3537,1402,1602,1688,3014,2477,5146,5317,4742,5798,5867,7614,--,--,--,--,--,--,0,0,0,
非流动资产合计(万元),308050,326149,362130,353249,347930,358039,260571,243944,235951,234937,239630,225390,242423,245651,200641,186250,132792,134334,117337,117261,119557,121012,118955,116136,113089,112063,99591,90955,77951,75232,83568,65820,62075,53412,44236,
资产总计(万元),622358,608751,574079,566174,623503,641274,529073,503169,558991,552016,534037,487431,544601,539358,528503,521299,518667,513153,505059,512335,527131,521353,509574,517534,526409,510950,495382,466868,481030,475778,462317,425245,159175,128920,102716,
短期借款(万元),30000,30000,--,--,--,--,--,--,--,--,--,2466,36403,36412,42897,56616,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1200,4520,3680,0,10330,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,370,--,303,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付票据(万元),--,25656,--,14193,16638,22481,19746,14683,18392,20719,15052,12665,16933,18953,16455,11737,13206,16157,15104,12550,15928,18217,16591,12616,15599,21217,21260,14660,17318,26075,21296,14653,20354,11952,9112,
应付账款(万元),--,47226,--,35543,24157,31158,31093,24071,26328,33508,36452,25001,22976,26460,25963,20388,22444,26924,28770,22900,21924,26181,26201,20298,24144,21487,26789,21063,20058,26911,30554,18851,20154,13497,9997,
预收账款(万元),12832,10405,12369,13925,12296,10832,14176,15014,12640,12875,13485,13829,10547,9007,11363,12737,12622,11318,8400,8464,8937,7499,9880,11295,8465,11157,17703,15574,13152,11639,18202,9507,7503,9956,11460,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付职工薪酬(万元),5509,9000,7167,5986,4877,9729,6343,5739,4485,7850,6581,6265,5582,8926,6088,5622,5167,7853,5861,5141,4564,7149,5615,5020,4645,7701,7001,6092,6102,8113,4800,3672,5093,3398,3132,
应交税费(万元),13078,11020,5485,3572,9543,6936,6553,3574,6754,4943,4463,2523,6213,4722,5697,2775,5074,2888,4777,2347,6027,6578,5898,4246,9311,4861,-1139,-570,535,-62,-327,-734,121,1824,1436,
应付利息(万元),809,355,--,555,370,185,--,555,370,185,--,--,351,295,206,88,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,14,
应付股利(万元),--,--,--,7987,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23625,--,--,--,30319,--,--,--,--,--,--,--,--,0,11550,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应付款(万元),--,7162,5750,5961,5197,5308,4631,4231,4220,4529,3345,3415,3514,4516,3309,3330,3337,3972,3101,3430,3255,3786,3369,5414,5048,5270,4898,4989,5184,5217,4359,5135,4726,17749,11292,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动负债(万元),19980,19970,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
流动负债合计(万元),148336,160793,97570,87722,73077,86629,82542,67867,73190,84610,79377,66164,102889,109292,112280,113293,61849,69111,66013,78457,60634,69410,67553,89208,67213,71693,76512,61809,62348,77892,80085,55603,61630,69926,56773,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应付债券(万元),--,--,19959,19950,19941,19932,19922,19913,19905,19896,19887,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
预计非流动负债(万元),250,1685,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期递延收益(万元),2758,2693,2157,1986,1856,1709,2016,1999,1725,1397,1464,1336,1179,1197,615,579,583,602,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,1,--,--,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
非流动负债合计(万元),3007,4378,22116,21936,21797,21640,21938,21913,21630,21293,21352,1336,1179,1203,615,579,583,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),151343,165171,119686,109658,94873,108269,104481,89779,94820,105903,100729,67499,104068,110494,112895,113873,62432,69713,66013,78457,60634,69410,67553,89208,67213,71693,76512,61809,62348,77892,80085,55603,61630,69926,56773,
实收资本(或股本)(万元),57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57464,57846,57846,57846,57867,57867,57926,57866,57866,57866,57293,57293,57293,57293,45293,7795,6035,
资本公积(万元),257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,257580,260840,260355,260262,261475,261299,261562,260767,260117,259617,252436,252436,252584,252493,9131,24,2982,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
盈余公积(万元),28732,28732,28732,28732,28732,28732,28732,28732,28732,28732,25632,25632,25632,25632,21395,21395,21395,21395,19526,19526,19526,19526,16280,16280,16280,16280,9237,9237,9237,9237,3704,3704,3704,4797,1878,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
未分配利润(万元),122319,84116,65720,57019,107534,88221,73138,61241,112190,96278,88348,76838,98656,85815,77292,71919,119884,107090,104565,95753,128857,114400,106487,92966,123508,104422,91725,78415,99795,78999,68873,56276,32743,39720,26663,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-88,-87,-87,-91,-87,-85,-79,-78,-74,-76,-77,-78,-222,-124,0,0,0,
归属于母公司股东权益合计(万元),470604,443242,453553,456690,528630,533004,424403,413071,463841,445755,432887,419495,440057,428371,415109,407426,456235,443440,439046,433878,466497,451943,442021,428326,459196,439257,418870,405059,418683,397887,382232,369642,90870,52337,37558,
少数股东权益(万元),411,338,840,-174,--,--,189,319,330,358,421,437,476,493,498,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6675,6657,8385,
所有者权益(或股东权益)合计(万元),471015,443580,454393,456516,528630,533004,424592,413390,464171,446113,433308,419932,440533,428864,415608,407426,456235,443440,439046,433878,466497,451943,442021,428326,459196,439257,418870,405059,418683,397887,382232,369642,97545,58994,45942,
负债和所有者权益(或股东权益)总计(万元),622358,608751,574079,566174,623503,641274,529073,503169,558991,552016,534037,487431,544601,539358,528503,521299,518667,513153,505059,512335,527131,521353,509574,517534,526409,510950,495382,466868,481030,475778,462317,425245,159175,128920,102716,		
  
