报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
买入返售金融资产(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
存货(万元),--,0,0,0,--,0,0,0,0,0,0,0,0,--,0,72,72,82,84,85,72,35,0,83,0,6,6,7,5,4,4,17,7,6,4,6,9,0,0,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),500,342,297,240,130,103,78,437,422,329,669,141,16,100,104,621,846,1045,1156,643,714,768,842,669,690,705,781,562,473,111,111,6,13,24,26,0,12,10,0,0,
其他流动资产(万元),1836,6619,9707,2135,6179,5431,7417,1962,1970,139,150,214,339,126,128,249,302,97,1205,63,88,211,123,0,0,--,--,--,--,--,--,5,0,--,0,0,0,0,0,0,
流动资产合计(万元),49005,46679,52677,38080,46612,40039,40814,32601,45474,47463,56700,44052,46132,45010,47671,46607,36061,51369,51368,40635,55039,54414,57548,59156,63171,64422,67188,71435,70557,78692,80290,79886,80472,82486,11981,11455,11231,15628,1657,627,
发放贷款及垫款(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
可供出售金融资产(万元),27605,29405,25205,23978,23978,22670,22570,22370,19320,19320,19320,3816,3728,1920,1320,--,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
持有至到期投资(万元),0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应收款(万元),0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,--,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期股权投资(万元),9330,9314,9443,6375,6248,7134,6920,7198,6919,5073,4382,4392,4137,3577,2646,1200,0,0,19,44483,36,20,16,55,3,31,34,20,3687,36,34,40,0,--,0,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
投资性房地产(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),20299,--,21218,--,20722,--,6708,--,6780,--,6738,--,10240,--,10456,--,9123,--,8639,--,8149,--,8013,--,6602,--,5876,--,4496,--,3739,--,2572,--,2305,0,1957,1423,0,0,
累计折旧(万元),8533,--,8341,--,8073,--,4767,--,4412,--,3937,--,5338,--,5081,--,4742,--,4278,--,3575,--,2911,--,2362,--,1838,--,1330,--,1000,--,750,--,555,0,385,264,0,0,
固定资产净值(万元),11766,--,12877,--,12648,--,1941,--,2368,--,2801,--,4902,--,5375,--,4381,--,4361,--,4574,--,5102,--,4240,--,4039,--,3166,--,2738,--,1821,--,1750,0,1572,1159,0,0,
固定资产减值准备(万元),112,--,222,--,228,--,228,--,95,--,95,--,300,--,314,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产(万元),11654,12185,12655,11793,12420,1561,1713,2040,2273,2475,2706,4357,4602,4854,5061,4212,4381,4494,4361,4149,4574,4886,5102,5238,4240,3895,4039,3536,3166,2741,2738,1963,1821,1748,1750,1600,1572,1159,115,145,
在建工程(万元),6138,4024,2506,2382,1442,616,472,0,0,0,0,0,0,--,0,1376,1359,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,13,0,0,0,
工程物资(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产清理(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
生产性生物资产(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
油气资产(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
无形资产(万元),1985,2228,2473,4388,4700,5173,5798,7458,8346,9685,10347,12304,14871,12286,13316,20485,19142,20129,22820,11180,11414,8687,9040,6752,7406,5471,4919,3153,2661,2739,2852,2187,2260,2268,2339,1788,1828,1242,960,1002,
开发支出(万元),--,--,--,--,--,--,--,2146,1886,1185,1405,9260,10138,12997,11611,12491,15371,15104,12911,23964,22504,24397,21114,20966,19330,18383,16480,12665,10582,8491,6982,5200,3916,3179,2341,1667,1039,348,0,0,
商誉(万元),3452,3452,3452,3739,15788,15788,15788,23203,23203,23203,23203,41872,41872,41872,41872,43842,43842,43842,43842,2345,2345,2345,2345,2345,2345,2196,2196,2508,--,--,--,--,0,--,0,0,0,0,0,0,
长期待摊费用(万元),955,365,451,457,301,372,113,609,525,631,441,3383,3629,5814,6278,5119,4560,3445,1688,493,343,470,600,617,765,941,1024,978,883,180,182,298,83,78,83,115,42,39,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
递延所得税资产(万元),2624,2586,2520,2525,2488,2954,3074,4221,4313,4695,4876,4878,4548,4380,4299,3010,2883,2809,2732,2461,2490,2294,2141,1632,1333,1114,1037,1017,904,710,627,247,218,168,168,125,125,93,18,1,
其他非流动资产(万元),3958,4202,2604,14816,1262,13290,13220,14747,3261,2962,2207,20611,20671,22367,19443,20676,4553,1647,743,401,401,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
非流动资产合计(万元),67702,67763,61309,70455,68627,69559,69668,83991,70046,69230,68886,104872,108195,110068,105846,112411,96091,91470,89115,89476,44108,43099,40357,37605,35422,32031,29729,23878,21883,14898,13414,9936,8298,7442,6679,5295,4618,2881,1093,1148,
资产总计(万元),116707,114441,113985,108535,115239,109598,110482,116592,115521,116693,125586,148925,154327,155078,153517,159017,132151,142839,140484,130111,99147,97513,97906,96761,98594,96453,96917,95313,92440,93590,93704,89823,88770,89927,18660,16750,15849,18509,2750,1775,
短期借款(万元),4000,0,--,0,0,0,0,0,2000,2000,10000,25000,31000,31000,28000,30000,7000,3000,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,3000,0,0,
向中央银行借款(万元),--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
吸收存款及同业存放(万元),--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆入资金(万元),--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融负债(万元),--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融负债(万元),--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付票据(万元),--,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付账款(万元),4661,3349,2524,2343,2969,3700,3232,2450,1727,1830,2660,2587,1957,3273,4238,2771,1909,1438,1002,3136,1266,911,922,1471,2190,1347,1580,832,1244,382,417,377,205,293,364,19,225,0,0,17,
预收账款(万元),225,169,148,437,793,582,328,351,296,144,152,348,488,350,79,1222,1574,1629,422,119,94,71,74,121,299,90,244,114,207,29,5,15,4,4,16,4,28,294,1,211,
卖出回购金融资产款(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付手续费及佣金(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付职工薪酬(万元),418,424,778,400,548,753,1257,807,831,823,1268,1008,980,1057,1588,1321,1120,1094,1723,876,775,687,1080,734,686,788,1189,787,641,588,785,363,306,277,328,231,202,182,98,22,
应交税费(万元),970,1922,920,923,827,1100,1353,2662,1629,1811,1330,388,341,290,515,610,532,1394,1975,641,493,253,421,248,588,493,393,365,351,338,640,223,249,293,523,214,149,398,362,263,
应付利息(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,1,0,0,
应付股利(万元),0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,0,520,0,0,0,780,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应付款(万元),21973,24582,27158,669,248,309,209,783,297,313,295,242,349,456,369,1183,410,13208,14810,89,281,133,114,111,130,53,397,966,78,54,45,89,143,170,24,2,4,61,31,1,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
预计流动负债(万元),--,0,0,--,--,--,--,--,--,0,0,--,0,--,0,0,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付分保账款(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
保险合同准备金(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
代理买卖证券款(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
代理承销证券款(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动负债(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,187,187,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他流动负债(万元),888,902,998,1106,1432,1497,2708,1389,1374,1239,1795,1033,844,599,749,1198,1229,3054,2662,919,794,1090,981,2566,2600,2200,1690,2095,1728,1650,1885,335,309,294,380,581,560,535,172,37,
流动负债合计(万元),33134,31349,32526,5878,6817,7941,9088,8443,8154,8160,17499,30608,35957,37025,35601,38492,13961,25337,22594,5779,3703,3926,3592,5251,6494,4971,5494,5159,4248,3040,3777,1401,1217,1330,1635,1050,1169,4472,664,552,
长期借款(万元),--,0,0,0,0,0,0,0,0,0,0,655,702,749,796,655,702,936,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付债券(万元),--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应付款(万元),--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
专项应付款(万元),--,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
预计非流动负债(万元),--,--,--,0,0,0,0,0,0,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期递延收益(万元),272,336,403,534,853,829,1074,1082,1320,2037,1924,3573,3310,3503,3855,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,
递延所得税负债(万元),2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,0,0,0,0,0,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他非流动负债(万元),0,0,0,24500,37500,0,0,0,0,0,0,13334,13334,13334,13334,15793,14980,15433,17552,30371,2333,2078,2382,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
非流动负债合计(万元),2972,3036,3103,27734,41053,3529,3774,3781,4020,4737,4624,17562,17346,17585,17985,16448,15682,16369,17552,30371,2333,2078,2382,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,
负债合计(万元),36106,34384,35628,33611,47871,11469,12862,12224,12174,12897,22123,48170,53304,54610,53586,54940,29644,41706,40146,36150,6036,6003,5973,5251,6494,4971,5494,5159,4248,3040,3777,1401,1217,1330,1635,1050,1169,4472,664,552,
实收资本(或股本)(万元),26104,26104,26104,26104,26104,26104,26104,26104,26104,26104,26104,26000,26000,26000,26000,26000,26000,26000,26000,26000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,10000,7500,7500,7500,7500,1000,1000,
资本公积(万元),33437,33431,33431,33192,26874,59990,59704,59131,59150,59150,59150,57469,57586,57789,57693,58597,58230,57780,57329,56933,69751,69428,69392,69372,69372,69372,69372,69372,69372,69372,69372,68721,68721,71721,3797,3797,3797,3797,0,0,
减:库存股(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
专项储备(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
盈余公积(万元),5425,5425,5425,5307,5307,5307,5307,5307,5307,5307,5307,1814,1814,1814,1814,1814,1814,1814,1814,1641,1641,1641,1641,1253,1301,1301,1301,1080,1080,1080,1080,690,690,690,690,276,276,276,143,59,
一般风险准备(万元),0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
未分配利润(万元),12521,11728,10292,7445,6762,4574,4243,10057,9630,10084,9738,8277,8036,7316,6710,11705,10824,9664,9434,7233,6256,4889,5285,5284,5635,5415,5233,4838,4640,6863,6199,5954,5117,6186,5038,4126,3106,2464,913,164,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,7,8,2,9,11,8,8,3,4,5,5,4,--,--,--,--,0,--,0,0,0,0,0,0,
归属于母公司股东权益合计(万元),77344,76808,75179,71886,64789,95639,94980,100411,100013,100583,100200,93557,93454,92934,92233,98127,96875,95265,94578,91815,90659,88966,89325,88912,89312,89093,88911,88294,88092,90315,89652,88365,87528,88597,17025,15699,14679,14037,2056,1223,
少数股东权益(万元),3258,3249,3178,3037,2580,2490,2641,3957,3334,3212,3263,7198,7569,7533,7699,5950,5632,5869,5760,2146,2452,2544,2608,2598,2788,2389,2513,1860,99,235,275,57,25,--,0,1,1,1,29,0,
所有者权益(或股东权益)合计(万元),80601,80057,78357,74924,67369,98128,97620,104368,103346,103795,103463,100755,101023,100468,99931,104077,102508,101134,100338,93961,93110,91510,91933,91510,92100,91482,91424,90154,88192,90550,89926,88422,87553,88597,17025,15700,14680,14038,2085,1223,
负债和所有者权益(或股东权益)总计(万元),116707,114441,113985,108535,115239,109598,110482,116592,115521,116693,125586,148925,154327,155078,153517,159017,132151,142839,140484,130111,99147,97513,97906,96761,98594,96453,96917,95313,92440,93590,93704,89823,88770,89927,18660,16750,15849,18509,2750,1775,		
  
