报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
应收股利(万元),--,--,--,--,--,--,--,4410,--,--,6123,6123,13373,6123,6123,6123,--,--,--,--,14100,--,--,--,12000,--,--,4000,0,--,--,0,
其他应收款(万元),96895,78992,142229,84879,117655,114704,9885,8452,8387,12006,10612,3913,8917,4895,7306,31205,8228,7252,7200,7884,7738,7034,10548,224105,9610,223914,10563,16121,14521,14404,21800,18830,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12149,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3267,--,--,--,--,0,--,--,0,
存货(万元),566394,570550,539460,517815,508958,508277,42273,46628,49718,59250,62422,64887,48905,43275,44128,48900,87844,82100,84966,96146,114943,131030,143696,155269,156253,161714,142321,137797,128675,147186,92169,65037,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,73488,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
其他流动资产(万元),135016,138200,177503,41260,64842,79859,50397,155447,173039,294014,382031,371724,361198,255910,135697,103278,140840,170158,258573,240833,184042,141201,2896,--,9563,--,11966,15390,497,669,454,432,
流动资产合计(万元),4138074,3904880,3879244,2340837,2071096,1980296,1722515,1846835,1773793,1573176,1487487,1677591,1595962,1476486,871339,861826,744688,717262,825373,834976,819371,761341,770114,558828,733382,700227,667474,617752,634045,620607,716108,767427,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),365583,324690,297502,288956,296757,300060,290709,272413,248263,237317,187339,235553,40000,0,--,--,--,--,--,--,--,--,--,220,--,230,--,--,0,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8676,3056,8335,8307,8121,20000,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12427,--,12427,--,--,0,--,--,0,
长期股权投资(万元),114814,113637,113942,117091,119356,119150,122588,122089,126526,126051,140062,143671,142755,148457,148056,153076,164363,159846,154856,161204,156856,167840,165335,--,158995,168144,168749,161505,162962,161450,5507,4851,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,67003,--,--,0,--,--,0,
固定资产原值(万元),--,3087828,--,3120250,--,3117506,--,768348,--,759092,--,741840,--,795824,--,797140,--,839066,--,588065,--,577326,--,462047,--,--,549301,--,0,544027,461738,372035,
累计折旧(万元),--,662221,--,550754,--,389820,--,338753,--,309270,--,291261,--,294625,--,267852,--,251139,--,234244,--,214959,--,20293,--,--,181742,--,0,141239,118464,62308,
固定资产净值(万元),--,2425607,--,2569496,--,2727687,--,429595,--,449821,--,450579,--,501199,--,529288,--,587927,--,353821,--,362367,--,441754,--,--,367559,--,0,402788,343274,309728,
固定资产减值准备(万元),--,2114,--,395,--,395,--,416,--,297,--,297,--,2849,--,2849,--,297,--,--,--,--,--,--,--,--,--,--,0,17,17,1351,
固定资产(万元),2291332,2423493,2492202,2569102,2677772,2727292,422571,429179,441807,449525,431346,450282,477551,498350,517856,526439,582668,587630,347552,353821,354624,362367,363019,441754,360731,441094,367559,381991,398690,402770,343257,308377,
在建工程(万元),105804,95011,85049,83795,70742,69536,78144,67065,59123,47868,48635,29876,37304,37252,43564,54333,56334,49359,51592,46289,48693,39804,38525,32261,38507,--,20418,18884,23194,15762,56157,82788,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,106505,--,--,--,--,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),2049514,2153618,2234578,2338756,2414293,2450131,381127,384528,377816,383603,383045,378885,387533,391584,397196,407806,442730,442590,204899,205041,204161,205765,201798,67827,201160,--,204145,202076,84326,90764,74876,77111,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
商誉(万元),80220,83359,106675,108885,110893,111480,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,--,38,--,--,0,--,--,0,
长期待摊费用(万元),11406,11619,10187,15430,11998,11525,11713,12026,11872,12447,11004,11119,11192,11522,15931,15712,12488,12852,13573,13963,14259,13530,9020,--,9243,--,9450,8694,8493,3427,183,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),42800,30470,39275,39209,39155,43212,34288,37830,36518,41294,49152,45960,31974,30783,21410,22361,21143,14002,10876,13674,14873,13344,15058,7890,16699,12094,17021,14269,15128,14449,21887,13373,
其他非流动资产(万元),192951,207745,326445,457674,564260,575040,1385751,232922,193563,189267,251204,245503,181537,180280,177743,175864,174832,172921,6002,6002,10941,10941,12510,--,12561,--,11921,12655,122027,53427,--,0,
非流动资产合计(万元),5681900,5878845,6141472,6457205,6737737,6834388,2756434,1586604,1524175,1514877,1529131,1569640,1338597,1329002,1356902,1391146,1489443,1472652,789351,799994,804407,813591,805265,831732,797897,839446,807938,803131,823154,750357,509988,506500,
资产总计(万元),9819974,9783725,10020716,8798042,8808833,8814684,4478949,3433440,3297968,3088053,3016618,3247230,2934559,2805488,2228241,2252972,2234131,2189914,1614724,1634970,1623778,1574932,1575380,1390559,1531279,1539673,1475412,1420882,1457200,1370964,1226096,1273927,
短期借款(万元),184922,147813,349321,480236,377003,437243,407674,236259,290623,290620,331225,403198,160036,30595,--,37725,24510,22434,22683,41120,1000,1000,1000,--,23200,36428,33784,27584,68070,76165,23124,20300,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40060,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),365007,359219,323885,439567,379355,282144,270891,163636,97103,150591,90416,142262,110368,99869,47602,47072,35767,35725,35273,35273,--,--,--,--,--,--,--,--,0,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),1396,2396,1000,31750,51750,66000,64000,83000,68290,78273,71702,54552,6339,15690,9114,3915,3000,2791,5540,1433,45605,7589,5817,--,5548,--,8087,4559,7587,10000,7380,762,
应付账款(万元),109518,97648,89111,89050,85801,74151,18288,16736,20121,23738,19278,27287,17067,19279,19151,19494,21923,19739,19413,18776,25501,26769,26099,--,47290,--,29263,33153,39926,41476,16517,11789,
预收账款(万元),22566,12780,21986,23088,26632,5187,3283,5987,4303,3778,6337,4140,2287,7678,4064,5517,7320,6183,5772,8353,8242,4902,4074,--,11808,--,3032,8069,8202,5008,11367,1263,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),26761,44541,41413,37186,30537,35482,11166,10650,9659,11352,10457,10167,9380,13778,11008,10343,11817,14691,11557,9695,9167,12012,9937,--,8603,--,11803,8706,7195,7504,7377,9247,
应交税费(万元),189061,113780,130998,83592,11652,5786,-3119,-9316,-3554,-12361,-7235,-4441,16127,20779,19065,14354,1437,-6356,-16965,-9439,-12173,-16879,-15731,--,404,3021,426,-6851,4488,-3356,374,10787,
应付利息(万元),6702,21981,23844,18559,13198,18368,9253,15088,8822,5394,1967,10567,7405,4706,2001,9799,7318,5573,1732,9057,6587,4117,--,--,--,--,--,--,0,--,--,0,
应付股利(万元),2789,2789,2789,2789,2789,2789,2789,45007,2789,2789,2789,104112,2789,2789,2789,2789,5413,5709,5709,21442,3085,15055,3085,3085,3085,4085,4486,4486,10364,10364,6222,5177,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),59235,60477,97092,51939,110484,141678,23148,24761,22879,20840,19991,22421,24735,25331,27295,43577,35576,56821,27857,32042,37993,48123,23874,109416,26083,101877,30861,29399,32755,39316,38091,39169,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200000,205472,--,200000,0,--,--,0,
一年内到期的非流动负债(万元),497156,479782,224157,287326,270600,258450,244804,238901,252831,249490,68778,380102,57094,57828,53888,34294,34292,39071,24240,24239,29393,26232,26555,--,2960,--,1000,1000,2500,2500,--,2500,
其他流动负债(万元),8957,7107,19748,211241,230196,270890,105854,103906,103388,52390,3929,4630,2301,1665,2073,3075,3109,2020,1387,2139,2063,1643,2504,--,13414,--,14157,7780,5712,4199,3402,1885,
流动负债合计(万元),1474067,1350311,1325345,1756323,1589996,1598167,1158031,934613,877253,876894,619634,1162860,415927,299987,198050,231954,191480,204402,144199,194130,156464,130563,87214,152561,342394,350882,136898,317885,186800,193176,113854,102879,
长期借款(万元),2068291,2203389,2520925,2246484,2302777,2337688,1252548,282358,180267,194159,390751,387068,405384,416092,433751,470689,470636,466413,--,--,--,--,--,--,--,4475,2800,2800,1000,1000,5000,0,
应付债券(万元),200000,200000,200000,200000,200000,200000,200000,400000,400000,200000,200000,200000,550491,543872,200000,200000,200000,200000,200000,200000,200000,200000,200000,--,--,--,200000,--,0,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3110,--,--,--,--,--,--,--,--,2959,--,--,0,--,--,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
预计非流动负债(万元),196455,204990,199790,180510,175259,175779,31772,31358,30217,29091,23236,24160,27130,28095,31417,31692,26459,26126,4757,4757,4757,4698,4615,--,4531,--,4440,4368,4315,4262,4213,4394,
长期递延收益(万元),6547,7289,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3717,--,24600,--,--,0,--,--,0,
递延所得税负债(万元),831738,860359,929176,957173,991008,1005513,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,301,
其他非流动负债(万元),367076,360034,357181,817470,57172,63844,8423,7816,7056,6241,3932,3531,2416,2988,2787,2461,3670,3708,2496,2530,2569,2530,2701,--,28043,--,24983,26953,26966,2488,2735,1844,
非流动负债合计(万元),3676545,3842500,4207071,4401638,3726216,3782824,1492743,721532,617540,429490,617919,614760,985421,991047,667955,704842,703874,696247,207253,207287,207326,207229,207317,8303,32573,32034,232223,34121,32280,7749,11947,6539,
负债合计(万元),5150612,5192811,5532416,6157961,5316212,5380991,2650774,1656146,1494793,1306384,1237553,1777619,1401348,1291034,866005,936795,895354,900649,351452,401417,363790,337792,294530,160864,374967,382916,369122,352006,219080,200925,125801,109418,
实收资本(或股本)(万元),431985,431985,431985,337744,337744,337744,337744,337744,337744,337744,112581,102895,101523,101523,101523,101523,101523,101523,101523,101523,101523,101523,101523,97523,97523,97523,97523,97523,97523,97523,97523,97523,
资本公积(万元),2758280,2758279,2763653,1072848,1072031,1072031,1072031,1072031,1072031,1072031,1297193,995667,952987,952987,810298,810298,810298,810298,810298,810298,810298,810298,810298,--,758483,--,758483,758483,758483,758483,758483,758483,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
专项储备(万元),696,773,94,647,724,857,116,4720,5258,11520,13999,21348,28903,27192,27735,24594,22348,19959,14319,12442,11759,7894,14616,1046276,9956,972349,6020,5917,10414,9439,15015,40622,
盈余公积(万元),96819,96819,84010,84010,84010,84010,78605,78605,78605,78605,70490,70490,70490,70490,70490,70490,70490,70490,70490,70490,70490,70490,70490,--,70490,--,59458,59458,59458,59458,61098,94950,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),706744,551744,452228,375288,410601,350879,314830,307670,312807,298698,294789,276999,362473,332020,296106,250083,258393,220661,193477,163730,185212,164155,197787,--,132953,--,97315,61337,227699,201022,136321,172980,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,4466,6809,4941,-5103,-230,-260,-219,-206,-272,--,-210,--,-267,-440,-409,-374,-174,-223,
归属于母公司股东权益合计(万元),3891847,3815718,3727851,1870892,1933310,1873806,1783349,1731974,1757461,1735348,1731189,1421039,1483379,1463357,1310618,1263797,1267993,1217828,1189876,1158223,1179063,1154153,1194441,1143799,1069196,1069872,1015272,982278,1153169,1125551,1068267,1123713,
少数股东权益(万元),777514,775195,760449,769189,1559312,1559887,44825,45320,45714,46321,47876,48572,49832,51096,51617,52380,70784,71438,73396,75330,80926,82986,86408,85896,87116,86885,87759,86599,84951,44488,32027,40796,
所有者权益(或股东权益)合计(万元),4669361,4590913,4488300,2640081,3492621,3433693,1828175,1777294,1803175,1781669,1779065,1469611,1533211,1514453,1362235,1316177,1338777,1289265,1263272,1233553,1259989,1237139,1280850,1229695,1156312,1156758,1106291,1068877,1238120,1170039,1100294,1164509,
负债和所有者权益(或股东权益)总计(万元),9819974,9783725,10020716,8798042,8808833,8814684,4478949,3433440,3297968,3088053,3016618,3247230,2934559,2805488,2228241,2252972,2234131,2189914,1614724,1634970,1623778,1574932,1575380,1390559,1531279,1539673,1475412,1420882,1457200,1370964,1226096,1273927,		
  
