报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),58682,63466,55327,60900,54546,50293,43650,37700,37839,34150,31135,28227,22436,17806,9550,6648,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,
归属于母公司股东权益合计(万元),265758,269750,260752,156259,149353,144770,137383,129092,128802,124805,121309,118132,58576,53210,44357,36609,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),265758,269750,260752,156259,149353,144770,137383,129092,128802,124805,121309,118132,58576,53210,44357,36609,
负债和所有者权益(或股东权益)总计(万元),421177,409130,355291,235681,232713,236174,240460,217429,207011,198296,190141,177713,128519,108143,106757,91182,		
  
