报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),8756,7505,7505,7505,7505,6332,6332,6332,6332,5694,5694,5694,5694,5484,5484,5484,5484,4765,4765,4765,4765,3100,3100,3100,3100,1683,1683,1683,1683,1242,1242,806,806,196,282,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
未分配利润(万元),46485,44125,40167,43561,42526,40046,36223,35989,35289,33812,30332,30199,29940,28213,25380,28788,29689,28643,26411,29181,28048,27512,22104,22025,18002,15489,11945,13593,10647,8188,11174,9413,7253,1766,10977,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
归属于母公司股东权益合计(万元),203381,199771,195812,199207,198171,194517,190694,190460,189761,187646,132599,132467,132207,130270,127437,130845,131747,129981,127749,130520,129386,127186,121778,121699,117676,113746,110201,111850,108904,106003,108989,28249,26089,19992,11760,
少数股东权益(万元),1432,1407,1395,1379,1380,1339,1336,1320,1320,1289,1291,4419,4435,4466,4406,4499,4499,4500,4449,4472,4500,4508,1096,--,--,--,--,--,--,--,--,0,--,--,--,
所有者权益(或股东权益)合计(万元),204813,201178,197208,200586,199551,195856,192030,191780,191081,188934,133891,136886,136642,134736,131844,135344,136246,134481,132198,134991,133887,131694,122874,121699,117676,113746,110201,111850,108904,106003,108989,28249,26089,19992,11760,
负债和所有者权益(或股东权益)总计(万元),369020,367166,389971,390971,379210,374430,390851,380039,373983,392098,358235,365003,382134,352821,347481,329304,326742,297063,277947,274921,267656,275329,255438,249382,221941,206987,211730,181728,178015,172240,189846,104930,85724,44728,22735,		
  
