报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
固定资产减值准备(万元),--,243,--,243,--,243,--,243,--,243,--,93,--,93,--,93,--,93,--,93,--,93,--,349,--,349,--,349,--,349,--,349,--,0,
固定资产(万元),192864,188966,174014,169842,170200,148565,127064,129044,131418,134502,126919,128306,128976,130396,126675,113777,113955,96793,86386,87174,83637,83715,67317,68022,63059,64584,52295,51083,48625,49590,49795,50002,45641,30528,
在建工程(万元),28859,21823,21384,19733,15044,11063,19909,17261,14251,11859,17379,15662,15517,15861,15976,29595,30215,23530,31342,28376,27592,21851,28404,16608,14416,9195,16535,15441,13153,7360,3168,280,6283,2634,
工程物资(万元),--,--,21,0,1,--,26,8,0,0,5,72,56,49,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
生产性生物资产(万元),12974,12632,11701,11159,10992,6360,4848,4525,3802,2752,2205,2163,2484,2664,3398,4246,4494,4481,3255,3372,2532,1533,1694,1301,1207,1282,1691,1320,1324,1167,787,821,1114,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
无形资产(万元),46746,46946,45778,45268,44788,28748,23947,24108,24314,24372,24025,23706,22862,23792,21874,21751,20859,16756,15919,15804,15827,15896,13896,14208,12921,12401,11668,12153,11703,12192,11750,10795,10468,7442,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
商誉(万元),64839,64839,66914,66914,66914,51196,41197,41197,41197,41197,37600,37600,37600,37600,40178,40178,40248,70,70,70,70,70,--,--,--,--,--,--,--,--,--,--,--,0,
长期待摊费用(万元),3735,3610,3980,3705,3676,3449,2761,2669,2476,2749,2405,2449,2724,2680,4056,1544,1578,1472,1471,1494,1232,1045,919,944,947,778,118,769,763,730,56,50,96,65,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),3636,3600,3252,2754,2273,2272,1843,1877,1371,1335,1404,1743,1514,1489,1171,1134,1191,915,774,774,774,823,929,964,955,1032,1055,1055,1067,1123,858,1158,1596,1961,
其他非流动资产(万元),11825,10762,9322,5339,1128,625,--,564,495,495,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
非流动资产合计(万元),387492,380679,354770,343866,329993,267405,230664,230409,229700,229613,222558,222567,223943,227375,225769,224249,224666,156289,151230,149223,144165,137133,125268,113933,105951,102179,96153,92376,86941,81720,74745,71279,72666,44807,
资产总计(万元),616952,605532,580876,550563,546069,473321,409834,397353,379661,403116,357972,366393,377021,366002,368766,377984,375719,267438,253785,253322,252406,238064,231162,219020,212632,206739,194094,193566,246507,145097,142213,125174,117360,106509,
短期借款(万元),59990,57690,56390,76251,73651,50300,52650,39650,36650,51750,66414,66025,66336,64016,66745,101431,100659,41945,32650,23588,26000,26000,24000,11000,3000,8000,4000,--,44700,38702,34374,28200,22000,18965,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,1500,--,1500,1500,--,--,10500,--,765,765,--,2200,2200,--,--,--,600,600,600,600,--,--,3774,3200,
应付账款(万元),65674,51470,50898,47010,44439,57945,41081,38099,26631,24028,30049,31025,36942,33605,40763,41784,32996,21260,25987,26921,19518,20012,25647,20281,18674,19802,22467,17715,17286,16041,17756,13378,15914,20646,
预收账款(万元),17983,16613,16227,20572,27078,15548,12631,23026,10228,10605,9766,18716,22666,9158,10615,25034,20646,8906,11792,22780,28440,8086,6668,17399,24150,8754,8158,16153,13752,4766,15839,8572,4148,3859,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付职工薪酬(万元),5235,10117,7188,5761,5756,5454,4174,3288,3141,3581,3529,2880,2524,3466,3342,2635,2390,3070,2044,1499,1521,2827,1712,1589,1422,3149,1440,954,1500,1992,954,1473,1207,992,
应交税费(万元),6578,5975,8253,6952,7318,7095,5046,4507,4069,5026,3676,3498,2314,3635,2541,2021,1934,1711,1104,152,1469,2161,1613,979,1235,1350,947,331,575,468,-411,-203,341,1144,
应付利息(万元),105,78,25,389,7,26,16,--,22,23,--,19,--,213,179,232,87,0,--,--,--,--,--,--,--,--,--,--,27,29,--,0,1,0,
应付股利(万元),3000,3000,984,984,984,984,--,--,--,--,--,988,--,--,--,1001,--,--,--,1013,--,--,--,0,--,256,857,648,554,482,2085,750,530,1100,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
其他应付款(万元),29256,39316,30424,26198,19031,25188,8285,8472,12556,12864,15262,12087,9615,19684,14713,10509,10333,12002,6275,7381,7162,10792,10110,13935,9623,11066,4920,7767,9226,9161,7121,9336,6587,15443,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
保险合同准备金(万元),1140,1065,956,605,419,276,219,183,150,151,158,153,154,147,189,141,132,123,40,40,40,40,4,4,4,4,--,--,--,--,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动负债(万元),3067,3067,3972,3972,2667,2667,--,--,--,4800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1500,--,--,0,
其他流动负债(万元),--,47,72,85,125,167,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,--,--,--,0,
流动负债合计(万元),192027,188437,175390,188779,181475,165649,124103,117224,93446,112830,130355,135392,142052,135424,139085,184790,179677,89018,80656,84140,84150,72119,71954,65187,58108,52380,43391,44169,88218,72243,79218,61507,54502,65349,
长期借款(万元),17267,17267,15333,6458,8083,5333,--,--,5600,14400,19200,29800,29800,30000,30000,--,--,--,--,--,--,--,--,--,--,--,--,--,10800,14300,10800,9800,14500,5500,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
长期应付款(万元),444,444,445,454,942,483,843,837,848,521,521,529,529,549,557,--,565,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,
专项应付款(万元),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
预计非流动负债(万元),--,--,--,6,2,6,32,32,32,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,300,
长期递延收益(万元),3343,3447,3166,4240,4327,2431,1727,1759,1808,1823,1247,1273,1299,1325,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延所得税负债(万元),1439,1454,544,553,561,537,362,362,385,362,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1355,1381,1435,1428,1468,1486,1505,1522,929,941,952,959,777,790,802,814,843,771,--,0,
非流动负债合计(万元),22504,22623,19498,11721,13925,8801,2974,3000,8683,17148,20978,31612,31638,31884,31921,1391,2010,1438,1478,1496,1515,1532,939,951,962,969,787,800,11612,15124,11653,10581,14510,5888,
负债合计(万元),214531,211059,194888,200500,195400,174450,127077,120224,102129,129978,151334,167004,173690,167307,171007,186181,181687,90456,82134,85636,85665,73651,72893,66137,59070,53349,44178,44968,99830,87367,90870,72087,69012,71236,
实收资本(或股本)(万元),83657,83657,83657,80188,53459,49320,49320,49320,49320,49320,42079,42079,42079,42079,42079,42079,42079,42079,42079,42079,27600,27600,27600,27600,13800,13800,13800,13800,13800,10300,10300,10300,10300,8933,
资本公积(万元),158408,158408,158408,136181,162910,125490,125490,125490,125490,125490,75586,75586,75586,75586,75586,75586,75586,75586,75387,75387,85339,85339,84742,84742,98542,98542,98542,98542,98542,14450,14449,14395,14470,5576,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8296,--,--,--,--,0,
盈余公积(万元),22991,22991,19975,19975,19975,19975,17421,17421,17421,17421,15586,15586,15586,15586,13889,13889,13889,13889,11442,11442,11442,11442,8296,8296,8296,8296,8296,8296,20603,8296,8296,8308,8308,7895,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
未分配利润(万元),82238,77798,71122,63558,63337,57803,53742,46919,49047,46666,46977,42581,47356,45791,45114,41370,44530,43149,40680,36693,40215,37843,34971,29594,31282,28157,24137,21995,--,19017,13070,14617,10267,8075,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,33,33,33,33,33,33,33,33,--,--,--,--,--,--,--,--,--,0,
归属于母公司股东权益合计(万元),347877,343437,333272,300012,299779,252685,246087,239238,241348,238958,180244,175849,180628,179059,176700,172956,176116,174735,169620,165633,164630,162258,155642,150266,151921,148796,144775,142634,141242,52063,46116,47621,43345,30478,
少数股东权益(万元),54545,51036,52716,50051,50889,46185,36670,37891,36184,34181,26394,23541,22704,19635,21059,18847,17916,2247,2031,2053,2111,2155,2626,2617,1642,4594,5140,5964,5435,5667,5227,5465,5003,4795,
所有者权益(或股东权益)合计(万元),402421,394473,385988,350063,350669,298871,282757,277129,277532,273139,206638,199389,203331,198694,197760,191803,194032,176982,171651,167686,166740,164413,158269,152883,153563,153390,149916,148598,146677,57730,51343,53086,48347,35273,
负债和所有者权益(或股东权益)总计(万元),616952,605532,580876,550563,546069,473321,409834,397353,379661,403116,357972,366393,377021,366002,368766,377984,375719,267438,253785,253322,252406,238064,231162,219020,212632,206739,194094,193566,246507,145097,142213,125174,117360,106509,		
  
