报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
一年内到期的非流动资产(万元),--,--,280,61,55,143,31,57,54,98,--,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),13223,12096,10055,9848,9610,8660,8763,8532,9515,14286,--,26000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
流动资产合计(万元),233088,254660,273333,182392,174064,160613,155590,121374,122593,141213,181864,179980,282534,158499,171202,142230,144875,148026,140429,141960,130890,142058,167537,172001,139632,167283,177031,187685,230008,72692,62544,48877,29660,39997,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
可供出售金融资产(万元),1636,1636,1636,1636,1636,1636,6289,11289,11289,11289,11289,11289,11289,11289,11289,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),4262,1275,1783,1988,2299,2299,2137,2339,2397,2426,3193,3227,50163,50194,50082,65215,65274,65891,64777,64864,64866,64979,63038,61503,27700,22483,16009,14568,14034,13933,12810,11950,10452,10452,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),--,318787,--,314118,--,315868,--,258485,--,261108,--,259980,--,257806,--,259893,--,254974,--,253725,--,252898,--,243283,--,232937,--,183391,--,182950,--,0,0,--,
累计折旧(万元),--,128321,--,125573,--,117334,--,109966,--,103530,--,96539,--,89140,--,82351,--,75365,--,70646,--,62839,--,55424,--,47177,--,35845,--,29083,--,0,0,--,
固定资产净值(万元),--,190467,--,188545,--,198534,--,148519,--,157578,--,163441,--,168666,--,177542,--,179609,--,183078,--,190058,--,187858,--,185760,--,147546,--,153867,--,0,0,--,
固定资产减值准备(万元),--,1136,--,400,--,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
固定资产(万元),184779,189331,179770,188145,193696,198134,203712,148519,151861,157578,159872,163441,165407,168666,174564,177542,180770,179609,179592,183078,186345,190058,187939,187858,182784,185760,149132,147546,150680,153867,145569,103494,81026,45598,
在建工程(万元),461319,456863,380241,345184,341128,333151,272293,305877,289653,281320,261480,199813,117432,107720,90551,75961,67761,65005,49397,44510,40368,38804,33894,24122,23649,22280,23486,16902,14997,13814,12419,42856,55077,22314,
工程物资(万元),1406,1271,6786,9661,5013,3612,3609,5906,4112,1992,2800,1003,820,540,1596,3298,2645,1037,4106,3900,2104,2086,5733,7282,4739,1356,1167,724,193,210,545,490,50,8,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),55945,56616,54153,56860,57854,58509,59817,60232,59489,60055,64126,61389,49263,49822,50210,50607,51290,51732,53302,53060,53272,53954,53721,52533,48159,48789,25380,19606,18639,18755,18605,16412,11536,4207,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
商誉(万元),8421,8421,8421,8421,8421,8421,8421,8421,8421,8421,8421,6595,2832,2832,3187,4846,4846,5191,5191,5191,5191,5191,5191,5191,5191,5191,1700,--,--,--,0,0,0,0,
长期待摊费用(万元),680,760,626,664,819,908,875,487,557,643,768,764,594,790,882,887,1006,1111,1025,1108,1137,1351,1443,825,785,558,221,143,151,192,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
递延所得税资产(万元),10424,7927,6685,6110,5710,4761,7076,8270,7845,7575,7844,7368,6183,6023,5242,5232,5334,5777,6360,5720,5510,5062,3905,2587,2504,2371,2192,2081,2064,2018,1886,2098,2031,966,
其他非流动资产(万元),44300,46825,120786,129455,130060,128921,147567,129041,136203,131444,86120,110186,10451,10328,11427,11280,11207,11153,8675,8665,8665,8665,8158,7549,7549,7545,7531,6485,6308,5937,5115,4866,3556,2235,
非流动资产合计(万元),773173,770926,760887,748126,746637,740353,711798,680382,671828,662743,605914,565073,414433,408203,399029,394867,390133,386507,372425,370096,367459,370151,363021,349450,303059,296332,226819,208054,207065,208727,196948,182166,163728,85780,
资产总计(万元),1006262,1025586,1034220,930518,920700,900966,867388,801756,794421,803957,787778,745053,696967,566702,570231,537097,535008,534533,512854,512056,498348,512209,530558,521450,442692,463614,403850,395739,437073,281418,259492,231043,193388,125777,
短期借款(万元),85500,88500,77500,94000,124000,124000,120500,141000,139000,139000,139000,119000,109000,109000,109000,82500,74000,74000,66500,62500,65500,66500,69000,45000,66500,66500,39000,53000,71000,71500,72300,50100,15800,15500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应付票据(万元),8870,5000,10000,8000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付账款(万元),67084,84373,75083,81847,67393,69982,60713,59767,55251,61126,64621,43187,19199,19745,23004,28917,30299,29685,15906,27220,6756,7656,12612,17570,11364,22407,18550,22375,37228,47933,31955,31100,41388,12220,
预收账款(万元),11883,14721,40325,36809,18238,30591,14448,4588,4371,5310,4546,3471,9750,8366,11647,9106,8364,10989,16501,6959,6205,11022,8362,8196,7796,16158,12962,6670,14292,20130,15922,23320,13098,5437,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应付职工薪酬(万元),2632,3469,2223,2162,2022,2452,1681,1900,1665,1809,2377,2273,2186,2257,2426,2244,2028,1930,2160,2885,1460,1816,2142,2248,1943,1796,1072,900,1320,810,855,770,451,632,
应交税费(万元),10573,5252,4239,2855,5823,3105,2179,626,1114,2112,-2685,-2101,-1513,899,-123,-2653,-1503,-1126,-693,-3073,-1689,-1920,1182,1027,1563,405,3179,962,1477,-2763,-5009,-4548,904,111,
应付利息(万元),176,2575,1887,1253,2672,1901,1288,732,2186,1679,1137,625,7282,5473,3632,1734,7225,5425,3537,1703,7228,5430,3600,1736,166,180,118,141,184,187,176,162,181,97,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,5470,--,--,--,--,--,--,--,54,--,--,--,11610,--,1131,--,--,--,--,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
其他应付款(万元),62779,72831,73113,74689,52320,52857,73121,33337,32385,32328,34119,31475,11732,11033,13076,9678,9946,11187,11722,11712,15061,19847,19973,19893,29031,38779,7947,249,930,1196,2540,148,274,9628,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
一年内到期的非流动负债(万元),7167,--,--,14039,41947,42773,--,--,--,--,--,--,--,--,--,--,--,--,2500,2500,5000,5000,11500,11500,12000,12000,11000,11000,12500,12500,14000,10500,3500,5500,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
流动负债合计(万元),256666,276722,284370,315653,314415,327662,273930,241949,235972,243364,243116,203400,157636,156772,162662,131525,130359,132089,118134,112461,105521,115351,128372,118780,130363,159355,93826,95297,138931,151492,132738,111551,75597,49124,
长期借款(万元),53347,60514,60514,55787,49377,48523,49345,16522,16522,16522,--,--,--,--,--,--,--,--,--,--,--,--,2500,2500,5000,5000,14000,14000,17000,17000,25000,29500,45000,33500,
应付债券(万元),30526,30471,30416,30361,30383,--,27890,27871,27852,27832,27813,27793,99427,99366,99305,99243,99162,99102,99060,98998,98938,98882,98824,98767,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),196,196,245,245,245,245,295,295,295,295,344,344,344,344,393,393,393,393,442,442,1442,1442,1491,1491,4041,4090,4090,4090,4090,4090,4090,4090,540,540,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,1285,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
长期递延收益(万元),7935,8023,8004,8204,8914,9248,7979,8076,8032,10124,10583,10815,11309,11713,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7262,7721,7196,7183,2460,
递延所得税负债(万元),7378,7378,7378,7378,7378,7378,7378,7378,7378,7378,7378,7378,--,--,--,--,--,--,--,--,--,--,--,--,--,--,764,--,--,--,0,0,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,11251,11154,11558,11961,9689,10008,6328,6648,6967,7287,6457,6726,6595,6768,7015,--,0,0,0,0,
非流动负债合计(万元),99382,106583,106558,101976,96297,65394,92886,60141,60079,62152,46118,46330,111079,111422,110948,110790,111113,111456,109191,109448,106708,106971,109783,110045,15498,15816,25449,24858,28105,28352,36811,40786,52723,37785,
负债合计(万元),356048,383305,390929,417628,410712,393056,366817,302091,296051,305515,289234,249729,268715,268195,273610,242315,241472,243545,227324,221909,212228,222323,238154,228825,145861,175171,119276,120155,167036,179844,169549,152337,128320,86909,
实收资本(或股本)(万元),161115,161115,159138,136750,136750,136750,136750,136750,136750,136750,136750,54700,54700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,38700,29000,29000,29000,29000,18327,
资本公积(万元),317786,315780,305540,211758,211758,211758,211758,211758,211758,211758,211758,293808,293874,177993,177993,177993,177993,177993,177993,177993,177993,177993,177993,177993,177993,177993,177793,177793,177875,23345,23345,23345,22312,6248,
减:库存股(万元),9509,9509,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
专项储备(万元),3492,3415,3476,3434,3132,3060,2402,2528,2404,2575,2760,2544,2959,2898,2644,2683,2366,2054,2058,1799,1453,1285,1305,1087,849,648,692,1520,1448,1238,1052,829,553,--,
盈余公积(万元),9163,9163,6752,6752,6752,6752,5256,5256,5256,5256,5256,5256,5256,5256,5254,5254,5254,5254,5254,5254,5254,5254,5254,5254,5254,5254,4448,4448,4448,4448,2887,2887,1700,2576,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
未分配利润(万元),96085,90042,90980,82374,78461,76282,70915,69861,68674,68445,68390,67798,62851,64797,63196,61203,60185,57755,52169,56977,52941,56588,58834,59382,64155,60940,56844,49872,44417,40475,33079,22644,11503,10796,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
归属于母公司股东权益合计(万元),578131,570005,565886,441068,436853,434603,427081,426152,424841,424783,424914,424105,419639,289644,287786,285833,284498,281755,276172,280723,276341,279820,282085,282416,286950,283535,278477,272333,266888,98507,89364,78705,65068,37947,
少数股东权益(万元),72083,72276,77405,71822,73135,73307,73491,73514,73529,73658,73630,71218,8612,8864,8835,8949,9038,9233,9357,9424,9779,10066,10318,10209,9881,4908,6097,3251,3149,3068,580,0,0,922,
所有者权益(或股东权益)合计(万元),650214,642281,643291,512890,509988,507910,500572,499666,498370,498441,498544,495324,428251,298508,296621,294782,293536,290988,285530,290147,286120,289886,292404,292625,296831,288443,284574,275584,270037,101575,89943,78705,65068,38869,
负债和所有者权益(或股东权益)总计(万元),1006262,1025586,1034220,930518,920700,900966,867388,801756,794421,803957,787778,745053,696967,566702,570231,537097,535008,534533,512854,512056,498348,512209,530558,521450,442692,463614,403850,395739,437073,281418,259492,231043,193388,125777,		
  
